name,period,minutes_remaining,shot_made_flag,shot_distance,x,y,shot_clock,shot_2pnt
Brandon Jennings,3,0,1,4,-40,7,8.1,True
Brandon Jennings,1,6,1,3,-35,4,18.0,True
Brandon Jennings,1,6,1,0,0,1,21.6,True
Brandon Jennings,1,0,1,0,2,9,5.9,True
Brandon Jennings,3,7,0,4,-48,9,15.9,True
Brandon Jennings,1,10,1,0,4,1,16.6,True
Brandon Jennings,3,9,0,4,13,48,15.7,True
Brandon Jennings,1,8,1,3,0,34,11.0,True
Brandon Jennings,1,3,0,9,94,33,14.9,True
Brandon Jennings,4,0,1,0,-5,0,0.0,True
Brandon Jennings,1,5,1,0,-2,-3,18.0,True
Brandon Jennings,2,3,0,2,-29,4,18.1,True
Brandon Jennings,4,8,0,1,-2,11,12.0,True
Brandon Jennings,2,0,0,0,6,7,10.2,True
Brandon Jennings,3,0,1,2,-18,12,0.0,True
Brandon Jennings,3,6,1,0,4,1,10.7,True
Brandon Jennings,1,5,1,0,4,4,13.1,True
Brandon Jennings,1,6,1,0,6,7,15.4,True
Brandon Jennings,1,1,1,0,0,6,8.4,True
Brandon Jennings,1,8,1,0,-5,1,20.6,True
Brandon Jennings,2,0,0,2,26,0,0.0,True
Brandon Jennings,3,10,1,1,15,-11,3.0,True
Brandon Jennings,1,6,1,1,-13,3,17.7,True
Brandon Jennings,3,0,1,1,-7,-10,0.0,True
Brandon Jennings,4,3,0,1,-18,1,20.4,True
Brandon Jennings,3,2,1,0,1,9,18.0,True
Brandon Jennings,1,3,1,0,0,9,18.9,True
Brandon Jennings,1,1,1,0,-7,0,11.9,True
Brandon Jennings,5,1,1,0,-5,-5,7.1,True
Brandon Jennings,4,1,1,0,-8,4,14.5,True
Brandon Jennings,3,4,1,1,-10,1,18.0,True
Brandon Jennings,3,8,1,1,-13,-8,14.0,True
Brandon Jennings,2,1,1,0,1,4,18.2,True
Brandon Jennings,3,0,1,1,6,11,12.1,True
Brandon Jennings,1,9,0,1,-15,11,1.0,True
Brandon Jennings,3,6,0,2,0,25,21.2,True
Brandon Jennings,1,2,1,0,0,6,15.1,True
Brandon Jennings,4,3,1,0,-2,7,14.9,True
Brandon Jennings,1,4,1,0,0,6,12.7,True
Brandon Jennings,3,5,1,1,13,7,10.3,True
Brandon Jennings,3,0,1,0,4,6,12.4,True
Brandon Jennings,2,5,0,1,-11,7,11.6,True
Brandon Jennings,1,4,1,0,1,7,10.1,True
Brandon Jennings,1,4,1,1,-11,6,15.9,True
Brandon Jennings,1,4,0,1,-10,15,15.7,True
Brandon Jennings,3,10,0,0,0,3,16.1,True
Brandon Jennings,3,0,1,1,-11,-2,18.7,True
Brandon Jennings,3,2,1,1,-10,-3,19.0,True
Brandon Jennings,2,0,1,0,-7,-2,0.0,True
Brandon Jennings,2,0,1,1,-18,3,19.1,True
Brandon Jennings,3,1,1,0,0,3,17.3,True
Brandon Jennings,3,3,1,1,-5,9,11.6,True
Brandon Jennings,3,3,1,0,6,-2,0.2,True
Brandon Jennings,1,0,1,1,0,11,9.5,True
Brandon Jennings,1,4,0,1,1,12,15.6,True
Brandon Jennings,3,8,1,0,0,1,15.7,True
Brandon Jennings,3,2,0,1,17,6,18.8,True
Brandon Jennings,2,0,0,0,6,7,10.9,True
Brandon Jennings,4,2,0,2,-15,15,11.9,True
Brandon Jennings,3,6,1,0,2,1,10.0,True
Brandon Jennings,3,9,0,2,-24,6,13.0,True
Brandon Jennings,1,7,1,0,0,1,16.0,True
Brandon Jennings,1,2,0,2,-10,19,14.7,True
Brandon Jennings,3,2,1,0,4,3,15.4,True
Brandon Jennings,3,0,0,2,24,11,0.0,True
Brandon Jennings,3,7,0,3,-32,0,13.6,True
Brandon Jennings,3,1,1,0,2,1,14.4,True
Brandon Jennings,2,0,0,0,-5,0,16.8,True
Brandon Jennings,1,5,1,0,0,1,21.2,True
Brandon Jennings,1,1,1,0,0,1,21.5,True
Brandon Jennings,1,7,0,9,61,72,23.5,True
Brandon Jennings,1,1,0,14,-128,75,6.8,True
Brandon Jennings,1,5,1,19,-122,156,15.4,True
Brandon Jennings,3,6,1,15,-155,30,15.7,True
Brandon Jennings,1,6,1,23,-237,34,16.2,False
Brandon Jennings,1,7,1,18,-182,19,14.5,True
Brandon Jennings,2,1,1,11,118,-10,8.4,True
Brandon Jennings,1,7,1,13,135,17,18.3,True
Brandon Jennings,1,5,1,5,15,58,7.0,True
Brandon Jennings,4,0,0,2,12,26,19.5,True
Brandon Jennings,1,11,0,0,6,7,19.0,True
Brandon Jennings,1,5,0,7,0,74,3.4,True
Brandon Jennings,1,7,0,5,-43,39,2.5,True
Brandon Jennings,1,10,0,7,9,75,8.5,True
Brandon Jennings,3,9,1,4,-43,22,14.5,True
Brandon Jennings,1,10,1,5,48,20,15.8,True
Brandon Jennings,3,11,1,4,-15,42,15.5,True
Brandon Jennings,2,4,1,5,34,37,14.6,True
Brandon Jennings,4,0,0,8,-21,83,0.0,True
Brandon Jennings,4,2,0,14,-89,113,10.0,True
Brandon Jennings,4,5,1,9,31,85,14.6,True
Brandon Jennings,1,11,1,7,4,71,14.5,True
Brandon Jennings,2,2,1,8,-81,22,8.9,True
Brandon Jennings,3,2,0,7,20,71,8.9,True
Brandon Jennings,1,11,0,11,1,115,15.0,True
Brandon Jennings,3,7,0,6,-57,19,8.5,True
Brandon Jennings,4,0,0,12,-112,61,0.0,True
Brandon Jennings,3,11,0,6,20,67,3.7,True
Brandon Jennings,1,9,1,6,1,64,18.1,True
Brandon Jennings,3,1,0,6,20,67,8.3,True
Brandon Jennings,3,7,0,6,-7,63,14.7,True
Brandon Jennings,1,8,0,0,0,-6,15.5,True
Brandon Jennings,3,8,1,11,-59,101,16.2,True
Brandon Jennings,1,5,0,11,-103,42,8.3,True
Brandon Jennings,1,2,0,5,-48,28,18.0,True
Brandon Jennings,1,11,0,4,12,39,14.1,True
Brandon Jennings,1,9,1,11,-112,11,15.5,True
Brandon Jennings,1,7,0,20,-116,164,14.0,True
Brandon Jennings,3,4,0,26,56,255,18.0,False
Brandon Jennings,3,3,1,22,-228,30,9.0,False
Brandon Jennings,1,11,1,25,-131,216,8.7,False
Brandon Jennings,3,2,1,22,-226,20,13.0,False
Brandon Jennings,3,1,1,26,160,211,14.1,False
Brandon Jennings,3,0,1,26,50,265,0.0,False
