name,period,minutes_remaining,shot_made_flag,shot_distance,x,y,shot_clock,shot_2pnt
Brandon Knight,3,6,1,0,0,1,22.0,True
Brandon Knight,1,0,1,1,18,1,18.8,True
Brandon Knight,2,9,0,1,18,1,19.6,True
Brandon Knight,5,3,1,1,10,1,15.3,True
Brandon Knight,2,3,0,2,-19,11,15.4,True
Brandon Knight,2,8,0,1,0,12,15.2,True
Brandon Knight,2,0,0,2,23,7,18.3,True
Brandon Knight,2,6,1,1,13,0,17.7,True
Brandon Knight,1,6,1,0,0,1,21.5,True
Brandon Knight,4,3,1,0,0,1,22.1,True
Brandon Knight,3,10,1,5,-45,39,23.1,True
Brandon Knight,3,2,0,8,-75,48,16.6,True
Brandon Knight,1,5,1,7,2,77,13.3,True
Brandon Knight,2,11,0,5,54,7,12.0,True
Brandon Knight,2,7,0,7,70,26,15.2,True
Brandon Knight,4,2,0,26,171,197,7.9,False
Brandon Knight,2,10,1,21,133,168,9.1,True
Brandon Knight,3,5,1,8,-76,44,18.3,True
Brandon Knight,3,3,1,26,121,235,12.5,False
Brandon Knight,1,5,1,21,-114,187,14.9,True
Brandon Knight,1,4,0,25,-103,236,14.3,False
Brandon Knight,1,4,0,25,-164,201,14.5,False
Brandon Knight,3,10,1,26,168,200,2.2,False
Brandon Knight,5,0,1,9,-73,53,2.1,True
Brandon Knight,1,3,1,20,-4,209,16.0,True
Brandon Knight,1,0,0,21,-73,198,0.0,True
Brandon Knight,3,0,0,21,2,219,16.2,True
Brandon Knight,1,1,0,20,-175,115,16.3,True
Brandon Knight,5,2,0,20,-70,192,8.0,True
Brandon Knight,4,0,0,24,-29,246,20.7,False
Brandon Knight,1,8,1,20,-73,189,14.0,True
Brandon Knight,4,4,1,26,-213,156,14.4,False
Brandon Knight,4,0,1,19,100,168,6.0,True
Brandon Knight,4,5,1,26,130,228,16.2,False
Brandon Knight,2,8,0,25,181,179,20.4,False
Brandon Knight,3,11,0,23,45,235,4.1,False
Brandon Knight,1,6,0,24,-70,233,5.9,False
Brandon Knight,3,4,0,19,-95,168,16.1,True
Brandon Knight,2,7,0,22,-223,47,19.4,False
Brandon Knight,3,9,0,25,-218,131,12.0,False
Brandon Knight,3,5,0,24,146,197,5.6,False
Brandon Knight,1,7,0,26,230,123,20.0,False
