name,period,minutes_remaining,shot_made_flag,shot_distance,x,y,shot_clock,shot_2pnt
Brendan Haywood,4,1,1,0,0,1,15.7,True
Brendan Haywood,4,0,1,0,0,1,12.9,True
Brendan Haywood,4,1,1,4,-46,11,12.3,True
Brendan Haywood,4,2,1,4,4,42,9.0,True
Brendan Haywood,4,0,0,6,-5,64,7.6,True
Brendan Haywood,4,1,0,5,29,45,23.8,True
Brendan Haywood,4,1,0,6,64,28,8.9,True
Brendan Haywood,4,1,1,8,-86,26,15.8,True
Brendan Haywood,2,6,1,4,0,44,5.4,True
Brendan Haywood,2,3,1,4,-30,39,13.5,True
Brendan Haywood,4,7,0,7,18,71,8.1,True
Brendan Haywood,4,1,1,16,-164,-21,5.4,True
Brendan Haywood,4,4,0,8,84,14,16.7,True
Brendan Haywood,4,2,0,8,-81,34,11.5,True
Brendan Haywood,4,0,0,11,-114,-3,2.7,True
Brendan Haywood,4,3,0,8,84,4,11.2,True
Brendan Haywood,4,5,0,6,-13,67,8.3,True
Brendan Haywood,5,0,1,7,-13,71,6.0,True
Brendan Haywood,4,2,1,13,135,-8,3.1,True
Brendan Haywood,4,1,0,5,39,42,8.0,True
Brendan Haywood,4,10,0,4,-38,28,23.8,True
Brendan Haywood,4,2,1,0,-4,7,16.4,True
Brendan Haywood,3,11,0,5,39,39,5.0,True
Brendan Haywood,4,1,1,6,58,34,10.9,True
Brendan Haywood,4,3,0,8,70,44,6.8,True
Brendan Haywood,1,6,1,0,1,3,24.0,True
Brendan Haywood,2,3,0,1,-8,6,13.7,True
Brendan Haywood,4,0,0,14,-142,19,8.2,True
Brendan Haywood,4,7,0,8,-87,9,2.8,True
Brendan Haywood,4,2,1,11,-108,22,14.0,True
