name,period,minutes_remaining,shot_made_flag,shot_distance,x,y,shot_clock,shot_2pnt
Brian Roberts,4,7,1,2,-4,20,3.4,True
Brian Roberts,3,0,1,1,-5,11,16.2,True
Brian Roberts,4,8,1,1,-10,17,4.3,True
Brian Roberts,2,8,0,14,-34,146,11.4,True
Brian Roberts,1,4,0,7,58,52,16.5,True
Brian Roberts,4,4,1,16,-56,159,15.9,True
Brian Roberts,2,6,0,12,89,91,11.4,True
Brian Roberts,1,1,1,9,53,78,10.8,True
Brian Roberts,4,2,1,14,-141,36,4.7,True
Brian Roberts,4,8,1,7,-10,72,5.0,True
Brian Roberts,4,8,1,7,-67,30,6.1,True
Brian Roberts,2,9,0,9,95,22,9.6,True
Brian Roberts,4,5,0,5,-51,17,6.1,True
Brian Roberts,4,4,1,2,21,1,18.8,True
Brian Roberts,2,9,0,2,6,23,15.6,True
Brian Roberts,4,10,0,1,-15,3,6.5,True
Brian Roberts,4,4,1,3,31,6,9.0,True
Brian Roberts,2,10,1,2,-15,15,9.6,True
Brian Roberts,4,11,0,0,0,7,14.2,True
Brian Roberts,3,4,0,1,-4,17,2.8,True
Brian Roberts,2,0,0,1,-13,7,0.0,True
Brian Roberts,1,8,1,1,13,11,16.0,True
Brian Roberts,2,10,0,1,15,6,10.9,True
Brian Roberts,2,7,1,0,9,0,21.1,True
Brian Roberts,1,3,0,2,28,9,20.1,True
Brian Roberts,1,4,0,0,9,4,2.0,True
Brian Roberts,2,9,1,2,4,26,0.7,True
Brian Roberts,3,3,1,2,-24,6,7.0,True
Brian Roberts,2,7,1,2,0,26,13.5,True
Brian Roberts,4,1,1,19,124,146,12.8,True
Brian Roberts,1,1,0,16,168,14,7.4,True
Brian Roberts,1,3,1,1,17,9,7.5,True
Brian Roberts,4,2,0,7,-43,60,16.7,True
Brian Roberts,4,8,1,6,-57,37,1.3,True
Brian Roberts,1,1,0,6,6,66,16.4,True
Brian Roberts,1,0,0,6,32,55,0.0,True
Brian Roberts,1,0,0,10,53,88,13.5,True
Brian Roberts,2,9,1,8,15,88,0.0,True
Brian Roberts,4,11,1,13,88,108,9.4,True
Brian Roberts,2,9,1,3,28,14,11.3,True
Brian Roberts,2,5,0,8,-79,42,9.3,True
Brian Roberts,2,6,0,6,-59,30,14.7,True
Brian Roberts,4,0,0,10,28,101,6.3,True
Brian Roberts,2,7,0,11,-100,63,16.9,True
Brian Roberts,4,6,0,10,13,107,14.5,True
Brian Roberts,4,9,1,13,129,28,24.0,True
Brian Roberts,3,2,0,16,-16,162,15.8,True
Brian Roberts,3,5,1,23,231,28,9.4,False
Brian Roberts,2,11,0,26,-54,255,9.7,False
Brian Roberts,4,0,0,32,-106,307,0.0,False
Brian Roberts,2,8,1,18,182,-6,6.0,True
Brian Roberts,4,5,1,22,-125,184,7.9,True
Brian Roberts,1,7,0,20,-52,200,5.0,True
Brian Roberts,2,11,1,26,-65,257,5.5,False
Brian Roberts,4,7,0,11,43,107,24.0,True
Brian Roberts,2,9,1,18,-168,66,14.5,True
Brian Roberts,2,9,1,26,-98,244,10.4,False
Brian Roberts,3,0,1,14,2,143,15.3,True
Brian Roberts,4,8,1,19,-106,162,14.4,True
Brian Roberts,3,2,0,27,-179,205,8.7,False
Brian Roberts,1,0,0,20,135,149,3.0,True
Brian Roberts,2,7,0,25,-204,159,3.2,False
Brian Roberts,2,9,1,24,187,164,19.0,False
Brian Roberts,4,8,1,24,32,241,10.4,False
Brian Roberts,1,0,0,16,-54,159,14.8,True
Brian Roberts,1,0,1,21,212,1,3.6,True
Brian Roberts,2,11,1,24,-215,126,21.0,False
Brian Roberts,2,7,0,23,233,6,11.0,False
Brian Roberts,3,0,0,8,-71,47,17.1,True
Brian Roberts,3,0,1,18,89,160,3.6,True
Brian Roberts,1,0,1,27,209,184,0.0,False
Brian Roberts,1,0,1,20,-141,148,9.9,True
Brian Roberts,2,10,1,19,-164,99,4.4,True
Brian Roberts,2,6,0,23,234,26,4.5,False
Brian Roberts,1,0,0,24,-190,159,0.0,False
Brian Roberts,1,3,1,23,233,0,11.3,False
Brian Roberts,3,2,1,18,111,151,6.4,True
Brian Roberts,4,10,1,19,159,108,9.6,True
Brian Roberts,4,5,0,26,127,235,16.4,False
Brian Roberts,1,1,1,7,34,72,12.7,True
Brian Roberts,2,4,1,25,-163,200,8.3,False
Brian Roberts,2,11,1,17,105,135,13.6,True
Brian Roberts,2,8,1,25,149,208,17.9,False
Brian Roberts,4,10,1,20,159,135,15.1,True
Brian Roberts,4,9,0,27,179,208,17.4,False
Brian Roberts,3,7,0,24,230,78,10.0,False
Brian Roberts,1,0,0,40,-75,403,0.0,False
Brian Roberts,4,9,1,22,226,23,6.0,False
Brian Roberts,4,9,1,17,59,162,13.0,True
Brian Roberts,1,0,1,25,86,241,1.9,False
Brian Roberts,2,7,1,26,99,247,16.5,False
Brian Roberts,4,7,1,25,122,225,16.9,False
Brian Roberts,4,5,1,19,138,140,15.5,True
Brian Roberts,4,1,1,18,114,145,15.2,True
Brian Roberts,2,9,1,19,-183,55,14.8,True
Brian Roberts,2,4,1,25,-196,157,19.7,False
Brian Roberts,4,6,0,18,-7,183,14.5,True
Brian Roberts,2,8,1,25,99,235,2.6,False
Brian Roberts,4,11,1,26,75,249,21.7,False
Brian Roberts,2,7,1,25,-228,104,12.8,False
Brian Roberts,2,11,1,26,-71,255,9.1,False
Brian Roberts,1,0,0,47,130,455,0.0,False
Brian Roberts,2,8,1,16,163,-2,14.4,True
Brian Roberts,4,9,0,24,-242,19,13.7,False
Brian Roberts,2,11,1,20,-142,148,13.5,True
Brian Roberts,4,0,1,25,-82,244,20.4,False
Brian Roberts,2,11,1,20,-4,206,16.9,True
Brian Roberts,2,5,1,14,99,102,4.8,True
Brian Roberts,4,5,1,25,204,160,4.3,False
Brian Roberts,2,11,1,25,-23,255,13.8,False
Brian Roberts,1,0,1,24,13,244,16.3,False
Brian Roberts,4,9,1,24,-128,209,18.9,False
Brian Roberts,2,7,1,23,236,-3,9.3,False
Brian Roberts,2,8,0,26,0,266,13.9,False
Brian Roberts,2,6,1,16,45,159,14.0,True
Brian Roberts,2,5,1,17,0,178,7.6,True
Brian Roberts,4,7,1,19,198,-10,13.1,True
Brian Roberts,4,9,1,25,160,194,1.7,False
Brian Roberts,3,7,1,16,-164,36,11.7,True
Brian Roberts,3,3,1,23,225,66,15.1,False
Brian Roberts,3,7,1,24,-40,242,9.1,False
Brian Roberts,3,5,1,7,-75,19,15.1,True
Brian Roberts,4,3,1,24,190,159,7.1,False
Brian Roberts,1,1,0,25,72,249,10.3,False
Brian Roberts,1,5,1,24,-26,246,19.7,False
Brian Roberts,1,5,1,22,228,0,12.8,False
Brian Roberts,1,0,1,20,129,159,11.3,True
Brian Roberts,4,6,1,20,-5,209,15.3,True
Brian Roberts,4,9,1,20,-45,197,6.5,True
Brian Roberts,2,9,0,26,42,263,14.2,False
Brian Roberts,3,1,0,25,29,257,13.7,False
Brian Roberts,4,11,1,8,81,19,9.9,True
Brian Roberts,1,3,0,24,94,231,14.5,False
Brian Roberts,2,7,0,24,-67,238,2.9,False
Brian Roberts,2,8,0,24,133,201,15.7,False
Brian Roberts,3,4,1,19,43,190,14.5,True
Brian Roberts,4,1,1,20,48,195,3.0,True
Brian Roberts,3,0,1,25,-2,252,4.7,False
Brian Roberts,4,6,1,17,160,74,6.1,True
Brian Roberts,2,7,1,24,228,83,9.7,False
Brian Roberts,2,0,0,25,151,200,13.6,False
Brian Roberts,4,9,0,18,-131,127,6.5,True
Brian Roberts,4,6,0,24,17,242,20.7,False
Brian Roberts,3,5,0,23,231,-3,9.7,False
Brian Roberts,4,8,0,14,31,138,0.3,True
Brian Roberts,1,6,0,20,-120,167,11.8,True
Brian Roberts,4,3,0,32,217,247,0.9,False
Brian Roberts,2,11,0,20,36,197,6.5,True
Brian Roberts,4,3,0,18,12,189,15.8,True
Brian Roberts,2,9,0,24,106,222,18.2,False
Brian Roberts,1,1,0,19,193,-19,14.6,True
Brian Roberts,2,9,0,26,-111,238,5.8,False
Brian Roberts,3,5,0,19,-89,172,15.8,True
Brian Roberts,1,2,0,15,-116,99,10.3,True
Brian Roberts,4,9,0,28,92,266,15.7,False
Brian Roberts,4,7,0,11,-114,37,14.8,True
Brian Roberts,1,2,0,23,236,4,4.6,False
Brian Roberts,2,9,0,25,-131,219,6.2,False
Brian Roberts,2,8,0,18,54,176,14.6,True
Brian Roberts,4,8,0,25,-67,249,8.8,False
Brian Roberts,3,2,0,18,-188,19,10.0,True
Brian Roberts,4,8,0,23,233,9,23.3,False
Brian Roberts,4,10,0,19,-116,162,14.5,True
Brian Roberts,2,10,0,27,86,258,9.0,False
Brian Roberts,4,9,0,27,81,265,4.4,False
Brian Roberts,4,10,0,21,-185,110,12.2,True
Brian Roberts,2,9,1,15,-150,28,10.1,True
Brian Roberts,4,11,0,27,70,261,7.5,False
Brian Roberts,3,0,1,16,-160,26,6.5,True
Brian Roberts,2,5,1,23,-237,-2,11.2,False
Brian Roberts,4,10,1,26,189,179,17.1,False
Brian Roberts,1,0,1,17,86,151,19.5,True
Brian Roberts,1,3,0,25,80,239,17.5,False
Brian Roberts,2,11,0,25,70,250,12.9,False
Brian Roberts,1,0,1,19,-92,167,11.8,True
Brian Roberts,2,11,0,24,141,206,20.3,False
Brian Roberts,4,11,0,17,168,50,5.8,True
Brian Roberts,1,4,0,18,-131,132,10.6,True
Brian Roberts,4,11,0,25,-131,219,18.4,False
Brian Roberts,2,7,1,17,-174,14,13.6,True
Brian Roberts,4,6,0,25,209,153,7.3,False
Brian Roberts,4,0,1,21,86,198,8.4,True
Brian Roberts,2,11,0,25,51,250,11.0,False
Brian Roberts,2,5,0,18,-98,160,6.1,True
Brian Roberts,3,0,0,12,-97,72,17.8,True
Brian Roberts,2,1,1,19,-188,52,23.0,True
Brian Roberts,1,0,0,16,50,154,18.2,True
Brian Roberts,2,4,0,15,-123,97,11.8,True
Brian Roberts,3,0,1,26,220,145,13.4,False
Brian Roberts,2,3,0,23,236,12,6.2,False
Brian Roberts,1,3,0,19,86,178,13.5,True
Brian Roberts,2,2,0,26,69,252,16.9,False
Brian Roberts,4,2,1,25,-166,198,19.0,False
Brian Roberts,4,10,0,26,-172,200,18.2,False
Brian Roberts,4,5,0,26,-204,164,9.9,False
Brian Roberts,4,5,0,17,170,47,18.9,True
Brian Roberts,3,0,0,17,176,19,0.0,True
Brian Roberts,4,10,0,19,18,198,14.5,True
Brian Roberts,3,8,0,19,24,190,16.2,True
Brian Roberts,1,9,0,17,-114,135,15.0,True
Brian Roberts,5,2,0,4,-37,33,9.7,True
Brian Roberts,2,11,0,18,4,183,10.3,True
Brian Roberts,4,11,1,25,-8,252,9.8,False
Brian Roberts,2,11,0,25,-198,153,13.6,False
Brian Roberts,4,8,0,25,51,254,15.4,False
Brian Roberts,2,11,0,23,-235,11,17.4,False
Brian Roberts,2,6,0,26,73,250,16.0,False
Brian Roberts,2,8,0,24,78,228,11.2,False
Brian Roberts,4,3,1,25,218,131,2.2,False
Brian Roberts,4,10,1,25,-73,241,5.9,False
Brian Roberts,2,0,0,3,12,28,0.0,True
Brian Roberts,1,6,1,17,58,168,12.9,True
Brian Roberts,1,9,1,19,42,186,16.2,True
Brian Roberts,3,2,1,19,179,82,13.3,True
Brian Roberts,3,7,1,25,130,222,13.3,False
Brian Roberts,2,7,1,25,-114,224,7.8,False
Brian Roberts,4,11,1,13,-105,86,8.2,True
Brian Roberts,4,0,0,19,-48,186,6.6,True
Brian Roberts,2,5,1,28,-71,279,15.3,False
Brian Roberts,2,2,1,23,-237,12,15.4,False
Brian Roberts,4,6,1,23,230,-5,4.3,False
Brian Roberts,2,7,1,26,206,159,11.4,False
Brian Roberts,4,5,1,26,-122,230,18.6,False
Brian Roberts,4,5,0,18,152,97,11.0,True
Brian Roberts,2,10,0,18,70,167,16.0,True
Brian Roberts,2,4,0,14,73,131,12.7,True
Brian Roberts,2,10,0,18,-187,15,14.8,True
Brian Roberts,2,0,0,44,61,438,0.0,False
Brian Roberts,2,1,1,24,-43,244,15.9,False
Brian Roberts,4,3,0,15,43,153,8.0,True
Brian Roberts,1,2,1,16,-67,148,16.0,True
Brian Roberts,1,0,1,26,72,254,10.8,False
Brian Roberts,4,0,1,23,237,-2,7.9,False
Brian Roberts,2,8,1,24,125,214,9.8,False
Brian Roberts,3,6,1,7,-13,71,10.2,True
Brian Roberts,4,6,1,15,-130,86,0.8,True
Brian Roberts,2,9,1,14,17,140,17.4,True
Brian Roberts,4,10,0,20,184,101,11.6,True
Brian Roberts,3,4,0,20,-171,107,0.0,True
Brian Roberts,4,3,0,14,-60,134,17.3,True
Brian Roberts,3,2,0,17,-54,164,7.0,True
Brian Roberts,4,6,0,17,-174,20,7.5,True
Brian Roberts,4,8,0,25,-153,201,15.5,False
Brian Roberts,2,8,0,18,-141,115,9.1,True
Brian Roberts,4,5,0,24,99,227,12.4,False
Brian Roberts,1,0,0,29,144,255,3.4,False
Brian Roberts,1,0,0,18,54,173,6.0,True
Brian Roberts,4,9,1,26,15,265,16.2,False
Brian Roberts,2,9,0,17,70,162,10.9,True
Brian Roberts,4,1,0,3,31,12,15.9,True
Brian Roberts,4,5,1,11,47,104,8.7,True
Brian Roberts,4,3,0,20,-207,-19,1.8,True
Brian Roberts,4,0,0,25,130,217,16.8,False
Brian Roberts,4,5,0,17,69,159,16.1,True
Brian Roberts,4,7,0,25,-207,153,16.9,False
Brian Roberts,2,8,0,29,118,271,17.0,False
Brian Roberts,4,11,0,26,26,260,15.0,False
Brian Roberts,4,0,0,28,-105,260,17.0,False
Brian Roberts,2,6,0,25,118,228,19.5,False
Brian Roberts,4,9,1,26,-106,247,9.3,False
Brian Roberts,4,10,0,25,-213,132,8.7,False
Brian Roberts,2,6,1,20,78,189,6.5,True
Brian Roberts,2,10,1,24,116,220,6.4,False
Brian Roberts,4,10,1,25,-164,192,20.8,False
Brian Roberts,1,0,0,23,-235,6,6.8,False
Brian Roberts,2,8,0,25,204,146,17.6,False
Brian Roberts,2,1,1,23,233,39,4.7,False
Brian Roberts,2,11,0,25,-76,242,17.0,False
Brian Roberts,2,9,1,21,-155,146,14.3,True
Brian Roberts,4,1,0,25,-79,246,15.1,False
Brian Roberts,4,8,0,25,-92,239,17.8,False
Brian Roberts,4,5,0,25,-38,252,9.6,False
Brian Roberts,2,0,0,25,34,249,6.6,False
Brian Roberts,3,1,0,25,-149,208,16.1,False
Brian Roberts,4,8,0,24,95,231,21.2,False
Brian Roberts,3,0,1,3,12,31,11.9,True
Brian Roberts,4,6,0,25,-76,247,20.2,False
Brian Roberts,1,11,0,20,187,72,16.0,True
Brian Roberts,2,3,1,27,-127,247,6.2,False
Brian Roberts,2,0,0,20,-117,170,13.3,True
Brian Roberts,1,6,1,19,-123,153,16.7,True
Brian Roberts,1,5,0,26,124,236,7.2,False
Brian Roberts,2,8,0,25,-185,178,13.5,False
Brian Roberts,4,2,0,20,170,113,16.2,True
Brian Roberts,2,5,0,24,-122,216,8.5,False
Brian Roberts,4,8,0,25,-101,238,4.0,False
Brian Roberts,2,5,0,15,152,14,10.3,True
Brian Roberts,2,9,0,25,-11,257,5.5,False
Brian Roberts,1,2,0,24,-97,224,20.3,False
Brian Roberts,4,8,0,26,170,208,9.8,False
Brian Roberts,5,1,0,26,-30,260,21.1,False
Brian Roberts,1,3,0,16,163,12,10.4,True
Brian Roberts,2,9,0,20,-117,173,4.1,True
Brian Roberts,2,7,0,20,-114,165,14.1,True
Brian Roberts,2,10,0,17,-175,-6,14.2,True
Brian Roberts,2,8,0,23,237,14,12.5,False
Brian Roberts,1,9,0,26,211,160,19.9,False
Brian Roberts,4,9,0,23,233,56,14.7,False
Brian Roberts,4,7,0,23,230,17,14.7,False
Brian Roberts,4,7,0,25,-70,241,13.8,False
Brian Roberts,1,4,0,24,206,129,17.6,False
Brian Roberts,2,10,0,15,-123,88,24.0,True
Brian Roberts,2,9,0,22,226,4,5.0,False
Brian Roberts,2,10,0,25,-95,242,16.4,False
Brian Roberts,2,0,0,23,-103,216,0.0,False
Brian Roberts,3,9,0,24,-147,190,15.8,False
Brian Roberts,4,5,0,26,37,265,5.2,False
Brian Roberts,4,10,0,27,62,266,15.3,False
Brian Roberts,4,8,0,25,207,148,22.5,False
Brian Roberts,2,6,0,27,95,254,18.0,False
Brian Roberts,2,2,1,25,-130,214,20.2,False
Brian Roberts,2,11,0,25,77,242,6.1,False
Brian Roberts,3,0,0,26,163,206,1.7,False
Brian Roberts,4,2,0,25,220,131,17.6,False
Brian Roberts,2,7,0,11,118,4,11.8,True
Brian Roberts,1,0,0,18,-108,146,4.5,True
Brian Roberts,2,4,0,23,231,4,4.6,False
Brian Roberts,2,8,0,18,130,126,12.0,True
Brian Roberts,2,0,0,27,-79,265,20.2,False
Brian Roberts,3,7,0,25,-215,129,11.7,False
Brian Roberts,2,9,0,18,-171,82,24.0,True
Brian Roberts,3,2,0,26,53,263,13.9,False
Brian Roberts,4,9,0,25,196,160,8.1,False
Brian Roberts,3,6,0,13,130,-3,7.4,True
Brian Roberts,4,10,0,15,9,156,14.2,True
Brian Roberts,4,1,0,25,-116,227,11.7,False
Brian Roberts,3,2,0,25,-139,213,0.3,False
Brian Roberts,1,4,1,25,133,217,15.6,False
Brian Roberts,2,6,0,15,-4,159,17.4,True
Brian Roberts,4,4,0,26,121,233,11.1,False
Brian Roberts,4,11,0,25,160,200,10.9,False
Brian Roberts,4,11,0,13,135,22,13.2,True
Brian Roberts,4,0,0,20,189,89,23.4,True
