name,period,minutes_remaining,shot_made_flag,shot_distance,x,y,shot_clock,shot_2pnt
Bryce Cotton,2,11,1,0,0,1,13.8,True
Bryce Cotton,3,0,1,1,6,11,18.0,True
Bryce Cotton,3,4,0,2,-23,0,10.8,True
Bryce Cotton,4,5,0,16,-15,165,2.3,True
Bryce Cotton,4,9,1,3,-37,14,13.5,True
Bryce Cotton,3,4,1,0,0,7,20.6,True
Bryce Cotton,2,7,1,3,6,36,18.9,True
Bryce Cotton,2,11,1,12,116,45,9.8,True
Bryce Cotton,2,7,0,10,-90,44,18.1,True
Bryce Cotton,4,9,0,6,59,28,13.4,True
Bryce Cotton,1,0,0,25,144,211,19.4,False
Bryce Cotton,1,0,1,26,18,261,0.0,False
Bryce Cotton,4,11,0,24,64,235,12.8,False
Bryce Cotton,3,2,0,18,-168,86,13.0,True
Bryce Cotton,4,6,0,25,78,242,15.4,False
Bryce Cotton,2,8,0,24,-127,213,19.6,False
Bryce Cotton,2,1,0,24,56,235,13.2,False
Bryce Cotton,2,5,0,24,-169,181,8.0,False
Bryce Cotton,1,0,1,18,129,134,10.5,True
Bryce Cotton,4,1,1,20,116,168,3.2,True
Bryce Cotton,3,2,1,19,162,107,19.8,True
Bryce Cotton,3,2,1,25,10,254,1.8,False
Bryce Cotton,2,0,0,6,-40,45,0.0,True
Bryce Cotton,4,1,0,6,2,67,9.1,True
Bryce Cotton,4,7,0,21,21,213,17.5,True
Bryce Cotton,4,3,1,26,-147,219,18.3,False
Bryce Cotton,4,11,0,25,-27,252,6.3,False
Bryce Cotton,3,0,0,20,111,176,12.2,True
Bryce Cotton,4,8,1,16,-89,143,12.0,True
Bryce Cotton,1,0,0,20,-133,156,3.7,True
Bryce Cotton,4,9,1,19,181,60,13.0,True
Bryce Cotton,3,3,0,22,-229,17,15.7,False
Bryce Cotton,4,7,0,16,-37,162,5.9,True
Bryce Cotton,4,2,0,18,121,145,0.7,True
Bryce Cotton,3,3,1,24,108,225,11.3,False
Bryce Cotton,4,11,1,24,162,186,16.9,False
Bryce Cotton,1,0,0,24,138,198,8.6,False
Bryce Cotton,4,8,0,22,-112,194,16.0,True
Bryce Cotton,3,1,0,7,77,14,19.8,True
Bryce Cotton,4,10,0,19,-52,190,17.9,True
Bryce Cotton,3,3,0,20,200,4,18.9,True
Bryce Cotton,2,6,1,19,80,178,18.1,True
Bryce Cotton,4,8,1,25,-87,238,18.5,False
Bryce Cotton,2,8,1,23,231,55,3.4,False
Bryce Cotton,4,6,0,21,203,58,6.0,True
Bryce Cotton,4,10,0,25,-57,246,7.7,False
Bryce Cotton,4,5,0,25,13,254,16.0,False
Bryce Cotton,3,3,1,16,-152,56,21.9,True
Bryce Cotton,4,2,0,17,54,168,10.0,True
Bryce Cotton,4,4,0,24,-183,165,14.7,False
Bryce Cotton,4,0,0,21,-67,209,5.6,True
Bryce Cotton,4,0,0,14,122,85,4.4,True
Bryce Cotton,2,8,0,2,18,19,21.6,True
Bryce Cotton,4,1,1,19,89,173,13.1,True
Bryce Cotton,2,9,0,24,9,244,16.4,False
Bryce Cotton,4,9,0,17,2,172,15.2,True
Bryce Cotton,4,8,1,9,97,20,15.0,True
Bryce Cotton,4,11,1,9,99,9,12.5,True
Bryce Cotton,2,9,1,8,-40,71,2.6,True
Bryce Cotton,2,9,1,7,2,77,4.4,True
Bryce Cotton,4,1,0,7,40,63,3.9,True
Bryce Cotton,3,0,1,10,2,101,19.1,True
Bryce Cotton,2,10,0,8,12,86,14.4,True
Bryce Cotton,2,5,0,10,100,23,16.4,True
Bryce Cotton,4,6,1,11,-92,69,3.7,True
Bryce Cotton,4,0,1,5,20,56,19.4,True
Bryce Cotton,4,5,0,14,140,0,0.8,True
Bryce Cotton,4,0,1,0,0,1,21.0,True
Bryce Cotton,4,11,0,22,-128,190,14.0,True
