name,period,minutes_remaining,shot_made_flag,shot_distance,x,y,shot_clock,shot_2pnt
Cartier Martin,3,3,0,2,20,14,20.1,True
Cartier Martin,4,11,0,0,0,6,5.4,True
Cartier Martin,4,1,1,1,-5,15,1.7,True
Cartier Martin,3,1,1,8,-78,28,12.1,True
Cartier Martin,1,0,0,19,131,145,0.0,True
Cartier Martin,2,4,1,21,-82,197,11.3,True
Cartier Martin,4,4,1,26,110,242,7.8,False
Cartier Martin,2,11,0,3,26,19,19.3,True
Cartier Martin,1,0,0,22,228,28,3.5,False
Cartier Martin,2,11,1,27,-48,269,6.6,False
Cartier Martin,2,10,1,16,29,164,13.8,True
Cartier Martin,2,8,0,25,226,119,1.1,False
Cartier Martin,2,10,0,23,236,3,19.1,False
Cartier Martin,2,6,1,22,-228,3,17.8,False
Cartier Martin,4,8,1,24,-163,181,7.0,False
Cartier Martin,4,2,1,21,80,200,5.4,True
Cartier Martin,4,0,0,23,233,26,15.2,False
Cartier Martin,4,3,0,26,-235,131,7.6,False
Cartier Martin,4,0,0,24,245,4,14.8,False
Cartier Martin,4,1,0,25,-67,246,13.1,False
Cartier Martin,2,11,0,18,-157,93,9.7,True
Cartier Martin,4,6,0,25,54,254,12.0,False
Cartier Martin,1,1,0,25,-149,213,7.2,False
Cartier Martin,3,3,0,24,-240,22,5.4,False
Cartier Martin,2,11,0,15,-157,25,8.1,True
Cartier Martin,4,7,0,22,-229,-19,12.2,False
Cartier Martin,2,8,0,24,231,72,4.9,False
Cartier Martin,1,2,0,25,233,96,14.2,False
Cartier Martin,2,5,0,20,-16,208,12.5,True
Cartier Martin,3,0,0,56,-97,556,0.0,False
Cartier Martin,1,1,0,17,-93,154,11.2,True
Cartier Martin,4,9,0,26,83,250,3.9,False
Cartier Martin,4,3,1,25,-171,186,15.5,False
Cartier Martin,4,5,1,26,18,263,6.5,False
Cartier Martin,4,1,0,25,72,244,18.7,False
Cartier Martin,2,0,0,8,69,44,2.5,True
Cartier Martin,4,0,0,25,233,112,11.9,False
Cartier Martin,1,3,0,25,198,156,19.1,False
Cartier Martin,2,11,0,26,225,140,15.4,False
Cartier Martin,2,6,0,25,217,135,14.4,False
Cartier Martin,2,0,0,26,18,261,0.0,False
Cartier Martin,2,4,0,23,233,14,10.8,False
Cartier Martin,4,0,0,19,174,80,14.2,True
Cartier Martin,4,3,1,21,91,190,11.1,True
Cartier Martin,4,6,0,4,-30,28,12.8,True
Cartier Martin,4,4,1,19,149,119,14.3,True
Cartier Martin,4,10,0,26,69,255,9.6,False
Cartier Martin,4,6,0,28,143,244,24.0,False
Cartier Martin,4,1,0,25,144,205,10.0,False
Cartier Martin,4,9,0,25,-183,175,9.9,False
Cartier Martin,1,1,0,23,-228,37,10.7,False
Cartier Martin,4,3,1,1,15,-10,12.0,True
Cartier Martin,4,7,1,0,1,1,20.4,True
