name,period,minutes_remaining,shot_made_flag,shot_distance,x,y,shot_clock,shot_2pnt
Cole Aldrich,3,11,1,0,0,1,4.2,True
Cole Aldrich,2,4,1,0,0,1,13.3,True
Cole Aldrich,1,0,1,9,92,-4,6.4,True
Cole Aldrich,4,10,1,1,-15,4,13.3,True
Cole Aldrich,3,7,0,2,-18,15,12.5,True
Cole Aldrich,3,3,1,1,-15,7,5.7,True
Cole Aldrich,3,11,1,2,-18,20,10.1,True
Cole Aldrich,4,1,1,1,7,14,12.4,True
Cole Aldrich,3,10,1,0,0,1,19.0,True
Cole Aldrich,4,2,1,0,0,1,11.0,True
Cole Aldrich,2,6,1,0,0,1,7.1,True
Cole Aldrich,3,9,1,0,0,1,15.0,True
Cole Aldrich,1,0,1,0,0,1,15.3,True
Cole Aldrich,2,4,1,0,0,1,19.3,True
Cole Aldrich,1,5,1,0,0,1,12.3,True
Cole Aldrich,1,4,1,0,0,1,9.0,True
Cole Aldrich,2,10,1,0,0,1,1.9,True
Cole Aldrich,3,3,1,0,0,1,9.8,True
Cole Aldrich,4,1,1,0,0,1,11.8,True
Cole Aldrich,2,2,0,4,4,45,11.5,True
Cole Aldrich,3,6,1,1,0,15,4.5,True
Cole Aldrich,3,9,1,2,21,9,10.8,True
Cole Aldrich,2,3,0,9,81,45,10.1,True
Cole Aldrich,1,7,1,9,-64,71,8.0,True
Cole Aldrich,4,6,1,4,-27,31,1.5,True
Cole Aldrich,4,10,0,4,32,36,1.7,True
Cole Aldrich,4,2,0,5,-51,-27,12.4,True
Cole Aldrich,1,1,0,8,0,80,24.0,True
Cole Aldrich,1,0,0,9,10,96,0.0,True
Cole Aldrich,4,1,0,1,-11,15,7.5,True
Cole Aldrich,3,6,0,5,-7,58,13.0,True
Cole Aldrich,4,1,1,3,-7,39,2.0,True
Cole Aldrich,1,6,0,5,-15,56,2.0,True
Cole Aldrich,4,1,0,5,4,56,5.7,True
Cole Aldrich,3,9,0,7,77,7,16.9,True
Cole Aldrich,1,1,1,4,10,41,9.0,True
Cole Aldrich,2,11,0,4,-26,37,7.7,True
Cole Aldrich,1,7,1,4,-5,42,23.6,True
Cole Aldrich,1,6,1,3,-11,34,7.7,True
Cole Aldrich,1,8,0,4,28,34,9.0,True
Cole Aldrich,4,2,1,3,-35,9,23.4,True
Cole Aldrich,2,1,0,4,-13,47,8.4,True
Cole Aldrich,3,5,1,5,26,53,15.1,True
Cole Aldrich,2,1,1,9,47,85,8.9,True
Cole Aldrich,3,6,0,6,61,3,6.1,True
Cole Aldrich,2,1,1,8,1,80,5.5,True
Cole Aldrich,4,9,0,5,45,22,3.4,True
Cole Aldrich,4,4,0,3,9,36,23.0,True
Cole Aldrich,2,11,1,6,-68,9,17.0,True
Cole Aldrich,2,8,0,3,29,20,8.6,True
Cole Aldrich,2,7,1,3,-23,20,0.0,True
Cole Aldrich,2,10,1,7,-10,78,8.5,True
Cole Aldrich,3,2,0,9,59,77,7.6,True
Cole Aldrich,1,8,1,10,-100,4,3.7,True
Cole Aldrich,3,5,1,4,1,41,23.5,True
Cole Aldrich,4,1,1,7,12,72,11.5,True
Cole Aldrich,3,11,1,1,-8,11,8.7,True
Cole Aldrich,1,0,1,10,-101,3,7.1,True
Cole Aldrich,1,8,0,4,-38,28,6.3,True
Cole Aldrich,1,11,1,4,20,44,12.7,True
Cole Aldrich,3,11,0,3,-27,24,4.0,True
Cole Aldrich,3,5,0,4,1,45,7.0,True
Cole Aldrich,3,6,0,6,9,60,5.4,True
Cole Aldrich,2,9,1,7,-2,75,7.0,True
Cole Aldrich,2,9,0,10,24,101,6.3,True
Cole Aldrich,1,2,0,3,-30,26,15.7,True
Cole Aldrich,2,11,0,10,83,67,11.6,True
Cole Aldrich,1,3,0,5,-56,0,12.1,True
Cole Aldrich,4,6,1,4,-11,41,22.6,True
Cole Aldrich,2,8,0,5,1,52,13.3,True
Cole Aldrich,2,6,0,8,-4,80,5.2,True
Cole Aldrich,1,0,1,4,26,31,14.1,True
Cole Aldrich,3,8,0,4,-38,31,10.8,True
Cole Aldrich,3,8,1,7,-60,47,8.6,True
Cole Aldrich,2,9,0,6,48,41,6.0,True
Cole Aldrich,4,6,0,9,54,78,3.0,True
Cole Aldrich,2,7,0,3,32,19,11.0,True
Cole Aldrich,1,6,0,8,77,30,12.5,True
Cole Aldrich,2,7,0,5,-48,14,5.9,True
Cole Aldrich,4,1,0,5,-5,50,23.7,True
Cole Aldrich,4,1,0,4,15,45,10.7,True
Cole Aldrich,4,4,0,3,20,30,15.7,True
Cole Aldrich,4,1,0,5,-24,50,7.9,True
Cole Aldrich,3,8,0,4,-45,20,19.5,True
Cole Aldrich,1,5,1,8,7,89,9.3,True
