name,period,minutes_remaining,shot_made_flag,shot_distance,x,y,shot_clock,shot_2pnt
Darrell Arthur,3,0,1,2,-27,9,7.0,True
Darrell Arthur,2,10,1,0,0,1,21.8,True
Darrell Arthur,3,9,1,0,0,1,18.5,True
Darrell Arthur,4,9,1,0,0,1,21.0,True
Darrell Arthur,2,11,1,2,2,20,0.0,True
Darrell Arthur,2,10,1,2,20,9,18.5,True
Darrell Arthur,3,6,1,1,12,12,17.5,True
Darrell Arthur,4,1,1,0,0,1,21.9,True
Darrell Arthur,2,8,1,0,0,1,23.0,True
Darrell Arthur,3,9,1,0,0,1,17.0,True
Darrell Arthur,3,2,1,0,0,1,20.6,True
Darrell Arthur,3,1,0,0,0,1,22.5,True
Darrell Arthur,2,10,1,0,0,1,14.4,True
Darrell Arthur,3,4,1,15,111,115,10.3,True
Darrell Arthur,3,7,1,13,-131,34,16.9,True
Darrell Arthur,4,5,1,2,0,20,20.8,True
Darrell Arthur,3,1,1,0,7,4,19.3,True
Darrell Arthur,4,7,1,4,21,44,5.7,True
Darrell Arthur,3,3,0,8,32,78,16.0,True
Darrell Arthur,2,11,1,3,31,-2,12.7,True
Darrell Arthur,3,3,0,5,10,55,12.9,True
Darrell Arthur,2,10,0,2,15,19,5.2,True
Darrell Arthur,2,11,1,6,47,41,8.3,True
Darrell Arthur,4,9,1,4,-43,12,23.0,True
Darrell Arthur,4,8,1,15,43,154,10.4,True
Darrell Arthur,2,0,0,17,-112,135,16.5,True
Darrell Arthur,2,8,1,19,-168,89,9.9,True
Darrell Arthur,3,0,0,18,179,61,0.0,True
Darrell Arthur,4,11,1,19,15,190,14.9,True
Darrell Arthur,4,9,0,24,-35,241,10.8,False
Darrell Arthur,1,1,1,25,-114,225,11.5,False
Darrell Arthur,2,11,1,19,-7,190,16.1,True
Darrell Arthur,2,2,1,24,80,233,12.4,False
Darrell Arthur,1,3,1,20,125,157,18.7,True
Darrell Arthur,2,11,1,13,-48,121,14.6,True
Darrell Arthur,2,9,1,15,-152,-13,12.1,True
Darrell Arthur,4,10,1,22,-41,217,10.0,True
Darrell Arthur,1,0,1,20,-52,197,17.1,True
Darrell Arthur,2,1,0,25,214,143,13.3,False
Darrell Arthur,4,9,1,24,-152,195,9.6,False
Darrell Arthur,4,2,1,25,189,175,18.5,False
Darrell Arthur,2,11,1,26,-112,235,9.1,False
Darrell Arthur,2,0,1,22,223,3,10.5,False
Darrell Arthur,4,11,1,14,-48,142,16.5,True
Darrell Arthur,4,7,1,27,146,230,6.1,False
Darrell Arthur,1,1,1,26,-204,164,10.8,False
Darrell Arthur,2,8,1,17,149,88,10.0,True
Darrell Arthur,2,7,1,19,-190,-8,23.8,True
Darrell Arthur,1,0,1,7,24,66,12.7,True
Darrell Arthur,4,9,1,24,-16,246,14.7,False
Darrell Arthur,2,9,1,16,0,165,17.0,True
Darrell Arthur,2,7,1,25,-84,239,17.0,False
Darrell Arthur,3,2,0,24,146,198,14.8,False
Darrell Arthur,4,8,0,21,201,67,7.3,True
Darrell Arthur,2,8,1,24,97,222,14.6,False
Darrell Arthur,2,7,1,24,140,198,14.0,False
Darrell Arthur,3,0,1,20,193,56,16.7,True
Darrell Arthur,3,2,1,16,0,164,13.2,True
Darrell Arthur,3,3,1,18,-114,151,16.2,True
Darrell Arthur,1,2,1,21,81,194,14.6,True
Darrell Arthur,3,1,0,26,-103,247,6.9,False
Darrell Arthur,4,2,1,5,0,56,3.6,True
Darrell Arthur,4,2,1,19,-108,167,12.0,True
Darrell Arthur,5,1,0,11,-8,119,24.0,True
Darrell Arthur,2,11,1,25,-128,217,17.3,False
Darrell Arthur,1,1,1,25,59,249,12.2,False
Darrell Arthur,2,9,1,24,190,160,13.0,False
Darrell Arthur,3,7,1,17,-175,1,18.8,True
Darrell Arthur,3,2,1,25,184,175,20.1,False
Darrell Arthur,4,1,1,25,86,238,16.5,False
Darrell Arthur,4,0,0,27,-196,187,0.0,False
Darrell Arthur,2,8,1,25,-202,153,6.7,False
Darrell Arthur,3,6,0,21,-30,211,14.3,True
Darrell Arthur,3,2,1,26,40,263,16.2,False
Darrell Arthur,2,9,0,7,58,45,7.9,True
Darrell Arthur,2,1,0,12,108,60,10.8,True
Darrell Arthur,4,3,1,25,152,200,11.0,False
Darrell Arthur,5,3,1,18,181,7,19.7,True
Darrell Arthur,5,1,1,14,-146,15,11.6,True
Darrell Arthur,1,1,0,25,198,167,18.1,False
Darrell Arthur,3,1,1,20,152,142,9.5,True
Darrell Arthur,3,0,1,15,-157,25,13.3,True
Darrell Arthur,3,0,1,13,119,61,19.8,True
Darrell Arthur,4,11,0,25,75,239,12.3,False
Darrell Arthur,4,10,1,25,122,227,21.6,False
Darrell Arthur,4,8,0,24,26,247,10.2,False
Darrell Arthur,3,3,1,24,-239,30,17.1,False
Darrell Arthur,2,11,1,16,-101,129,13.3,True
Darrell Arthur,2,7,1,21,12,214,13.0,True
Darrell Arthur,3,5,0,8,-70,42,12.0,True
Darrell Arthur,4,2,1,18,80,170,7.1,True
Darrell Arthur,2,5,1,15,-150,17,13.3,True
Darrell Arthur,2,6,1,14,17,148,12.6,True
Darrell Arthur,4,11,1,16,-87,137,10.1,True
Darrell Arthur,2,8,1,14,-119,83,12.4,True
Darrell Arthur,1,1,1,20,95,176,12.6,True
Darrell Arthur,2,9,1,19,-2,190,6.1,True
Darrell Arthur,5,0,0,19,-196,20,0.0,True
Darrell Arthur,2,1,1,17,0,172,14.6,True
Darrell Arthur,5,2,1,16,-114,121,17.7,True
Darrell Arthur,2,6,0,15,-41,148,15.1,True
Darrell Arthur,4,9,0,17,-142,101,15.6,True
Darrell Arthur,2,7,1,24,36,241,13.5,False
Darrell Arthur,4,11,0,19,-199,-6,2.1,True
Darrell Arthur,4,9,0,25,187,170,10.5,False
Darrell Arthur,2,10,0,24,245,1,14.3,False
Darrell Arthur,3,2,0,26,48,257,13.0,False
Darrell Arthur,4,10,1,17,-18,170,14.0,True
Darrell Arthur,3,5,0,17,1,178,16.6,True
Darrell Arthur,3,2,0,24,-40,242,17.0,False
Darrell Arthur,1,0,0,14,-125,82,0.0,True
Darrell Arthur,3,1,1,19,31,190,17.8,True
Darrell Arthur,3,1,1,17,-105,143,20.1,True
Darrell Arthur,1,3,0,18,182,22,8.8,True
Darrell Arthur,2,10,0,17,61,168,15.3,True
Darrell Arthur,1,9,0,19,-114,157,7.4,True
Darrell Arthur,2,8,1,17,-141,110,8.5,True
Darrell Arthur,3,0,0,24,241,12,2.1,False
Darrell Arthur,2,11,0,25,170,192,3.3,False
Darrell Arthur,2,9,0,25,-134,220,6.6,False
Darrell Arthur,2,8,0,22,228,-3,10.4,False
Darrell Arthur,1,2,0,19,13,197,17.1,True
Darrell Arthur,4,11,0,25,83,239,7.6,False
Darrell Arthur,3,1,0,18,69,172,10.6,True
Darrell Arthur,4,10,0,18,-182,47,14.0,True
Darrell Arthur,1,4,0,24,-187,165,13.4,False
Darrell Arthur,2,3,0,14,-119,89,4.2,True
Darrell Arthur,4,11,0,20,146,137,19.9,True
Darrell Arthur,3,1,0,14,-142,-6,11.7,True
Darrell Arthur,2,0,0,25,-210,143,20.8,False
Darrell Arthur,4,1,0,18,133,131,5.1,True
Darrell Arthur,2,5,0,25,-2,257,17.3,False
Darrell Arthur,4,10,0,25,48,246,15.3,False
Darrell Arthur,2,10,0,9,99,0,17.5,True
Darrell Arthur,1,0,0,25,127,219,14.0,False
Darrell Arthur,3,3,0,24,-49,238,6.5,False
Darrell Arthur,2,6,0,25,-196,156,8.9,False
Darrell Arthur,3,0,0,23,-239,17,18.2,False
Darrell Arthur,3,9,0,15,102,113,17.2,True
Darrell Arthur,4,9,0,24,-68,239,2.3,False
Darrell Arthur,4,8,0,24,-202,146,9.8,False
Darrell Arthur,1,3,0,24,239,72,20.5,False
Darrell Arthur,4,8,0,25,15,252,10.9,False
Darrell Arthur,4,4,0,20,47,195,2.6,True
Darrell Arthur,1,1,1,18,0,189,14.0,True
Darrell Arthur,4,1,0,25,40,252,16.7,False
Darrell Arthur,1,0,0,20,58,198,0.0,True
Darrell Arthur,5,1,0,26,113,238,4.1,False
Darrell Arthur,1,0,0,24,0,249,14.0,False
Darrell Arthur,2,3,0,24,-187,153,15.3,False
Darrell Arthur,4,8,0,18,43,183,8.3,True
Darrell Arthur,3,0,0,15,-152,7,19.0,True
Darrell Arthur,4,10,0,20,88,181,9.7,True
Darrell Arthur,1,0,0,19,198,4,17.7,True
Darrell Arthur,3,8,0,26,24,263,11.7,False
Darrell Arthur,1,3,0,20,-98,178,8.3,True
Darrell Arthur,3,1,0,25,-158,200,1.1,False
Darrell Arthur,1,0,0,18,-142,124,0.0,True
Darrell Arthur,3,1,0,23,236,26,7.6,False
Darrell Arthur,4,3,0,28,-119,257,3.0,False
Darrell Arthur,1,1,0,23,-231,11,8.2,False
Darrell Arthur,2,10,0,25,10,257,9.6,False
Darrell Arthur,4,8,0,24,114,220,17.0,False
Darrell Arthur,4,1,0,23,-231,4,3.2,False
Darrell Arthur,4,9,0,18,125,138,12.2,True
Darrell Arthur,3,0,0,20,206,12,20.1,True
Darrell Arthur,4,3,0,16,129,110,17.4,True
Darrell Arthur,1,2,0,19,185,56,20.2,True
Darrell Arthur,4,11,0,24,7,249,16.3,False
Darrell Arthur,1,1,0,23,231,19,13.6,False
Darrell Arthur,2,10,0,21,24,213,17.4,True
Darrell Arthur,3,8,0,20,-51,198,14.0,True
Darrell Arthur,4,8,0,24,29,246,16.4,False
Darrell Arthur,3,9,0,22,0,222,13.7,True
Darrell Arthur,1,4,1,17,-163,63,16.3,True
Darrell Arthur,3,5,0,14,146,11,11.5,True
Darrell Arthur,3,0,1,19,-38,192,8.0,True
Darrell Arthur,2,9,1,20,-185,77,5.6,True
Darrell Arthur,1,3,0,18,-180,17,16.7,True
Darrell Arthur,4,0,0,16,-158,50,3.0,True
Darrell Arthur,3,7,0,13,-139,0,15.3,True
Darrell Arthur,1,2,0,4,-37,19,23.4,True
Darrell Arthur,2,8,0,25,223,129,19.5,False
Darrell Arthur,1,0,0,22,-226,14,0.0,False
Darrell Arthur,4,3,1,5,-32,42,11.9,True
Darrell Arthur,1,3,0,18,-67,172,17.6,True
Darrell Arthur,2,8,0,18,-160,83,1.9,True
Darrell Arthur,1,1,0,19,-75,178,12.3,True
Darrell Arthur,4,2,0,16,-157,42,7.7,True
Darrell Arthur,2,3,1,15,37,148,13.3,True
Darrell Arthur,3,0,1,17,-5,173,13.7,True
Darrell Arthur,3,3,0,15,-122,97,7.3,True
Darrell Arthur,2,9,0,14,-138,30,15.1,True
Darrell Arthur,2,2,0,16,159,45,12.0,True
Darrell Arthur,2,9,0,5,42,37,13.5,True
Darrell Arthur,3,2,0,25,-38,252,10.0,False
Darrell Arthur,4,1,0,26,-174,198,15.3,False
Darrell Arthur,2,6,0,19,-190,20,10.2,True
Darrell Arthur,4,7,1,20,-205,15,12.0,True
Darrell Arthur,4,5,1,18,-35,184,7.0,True
Darrell Arthur,2,11,0,20,-205,9,13.9,True
Darrell Arthur,1,9,1,3,34,12,19.3,True
Darrell Arthur,4,2,1,21,0,217,23.0,True
Darrell Arthur,1,10,0,18,-82,165,16.3,True
Darrell Arthur,2,1,0,7,-8,78,10.3,True
Darrell Arthur,4,5,0,17,-67,165,15.5,True
Darrell Arthur,2,6,0,17,-169,53,9.3,True
Darrell Arthur,4,3,0,18,-86,162,8.0,True
Darrell Arthur,2,0,0,19,-199,0,9.8,True
Darrell Arthur,1,10,0,16,-163,22,14.5,True
Darrell Arthur,2,11,1,18,-116,143,6.2,True
Darrell Arthur,2,9,0,13,-133,41,19.3,True
Darrell Arthur,2,0,0,17,171,20,5.0,True
Darrell Arthur,2,7,1,16,-87,138,9.9,True
Darrell Arthur,1,0,0,46,-11,465,0.0,False
Darrell Arthur,2,0,0,17,-97,148,3.7,True
Darrell Arthur,3,1,0,18,-97,160,13.7,True
Darrell Arthur,2,5,0,23,-234,-3,15.3,False
Darrell Arthur,2,7,1,21,94,189,16.0,True
Darrell Arthur,3,1,0,23,237,36,12.0,False
Darrell Arthur,3,0,0,25,111,225,10.0,False
Darrell Arthur,1,2,1,17,179,6,16.0,True
Darrell Arthur,4,10,0,16,-51,157,17.9,True
Darrell Arthur,3,4,1,16,-144,71,4.5,True
Darrell Arthur,2,10,1,19,152,119,20.1,True
Darrell Arthur,4,9,1,20,184,83,17.7,True
Darrell Arthur,2,10,0,17,173,17,14.9,True
Darrell Arthur,3,4,1,18,102,156,9.8,True
Darrell Arthur,3,7,1,19,45,192,12.0,True
Darrell Arthur,2,10,1,18,20,184,5.0,True
Darrell Arthur,3,5,1,18,54,181,14.0,True
Darrell Arthur,2,9,0,16,-122,113,9.9,True
Darrell Arthur,4,7,0,24,168,178,9.2,False
Darrell Arthur,4,8,0,25,-174,181,6.1,False
Darrell Arthur,4,9,0,24,-2,247,18.2,False
Darrell Arthur,4,11,0,25,212,134,10.6,False
Darrell Arthur,2,7,1,18,-177,67,8.8,True
Darrell Arthur,2,6,0,16,-155,55,11.3,True
Darrell Arthur,2,4,0,18,-2,183,14.0,True
Darrell Arthur,1,4,1,14,147,15,16.7,True
Darrell Arthur,1,6,1,24,143,201,16.1,False
Darrell Arthur,2,11,1,17,171,11,16.9,True
Darrell Arthur,3,11,0,17,-163,63,15.2,True
Darrell Arthur,1,5,0,24,-188,164,11.8,False
Darrell Arthur,2,1,0,24,75,231,13.3,False
Darrell Arthur,3,6,0,24,220,115,18.5,False
Darrell Arthur,1,0,1,22,-229,-8,10.0,False
Darrell Arthur,1,2,0,24,-120,213,14.7,False
Darrell Arthur,4,9,0,18,181,12,11.4,True
Darrell Arthur,1,2,1,15,154,23,10.5,True
Darrell Arthur,2,11,1,19,-97,172,9.0,True
Darrell Arthur,1,3,1,15,-155,20,18.0,True
Darrell Arthur,4,11,1,18,-187,17,3.0,True
Darrell Arthur,4,10,1,14,-142,11,16.7,True
Darrell Arthur,2,6,1,22,-138,172,15.9,True
