name,period,minutes_remaining,shot_made_flag,shot_distance,x,y,shot_clock,shot_2pnt
Darren Collison,4,6,1,0,0,1,21.6,True
Darren Collison,1,6,0,1,6,12,19.3,True
Darren Collison,3,5,1,2,12,-17,19.9,True
Darren Collison,1,8,0,5,40,33,19.5,True
Darren Collison,4,7,1,2,21,1,20.7,True
Darren Collison,1,1,1,1,12,0,20.6,True
Darren Collison,3,4,1,0,4,3,13.8,True
Darren Collison,1,11,1,2,17,12,19.5,True
Darren Collison,1,5,0,0,-2,3,8.3,True
Darren Collison,1,4,1,1,18,7,19.1,True
Darren Collison,3,7,1,2,23,-8,16.0,True
Darren Collison,3,5,1,1,1,14,20.2,True
Darren Collison,1,9,1,0,-2,0,12.5,True
Darren Collison,1,9,1,1,-16,9,18.4,True
Darren Collison,1,10,1,2,26,6,20.4,True
Darren Collison,4,6,1,0,-7,1,17.0,True
Darren Collison,3,9,1,1,-13,1,17.0,True
Darren Collison,3,4,1,1,-16,0,20.0,True
Darren Collison,2,2,1,1,17,0,20.5,True
Darren Collison,1,6,0,2,12,19,19.0,True
Darren Collison,1,0,1,2,-24,12,17.0,True
Darren Collison,2,2,1,1,15,-2,7.0,True
Darren Collison,2,2,1,1,17,-3,19.4,True
Darren Collison,5,2,1,1,-13,1,17.8,True
Darren Collison,1,0,1,1,-8,-6,4.9,True
Darren Collison,1,5,1,2,-16,12,17.3,True
Darren Collison,1,7,1,2,-15,14,21.0,True
Darren Collison,3,7,1,0,0,-8,19.1,True
Darren Collison,1,4,1,0,-2,-2,20.7,True
Darren Collison,3,6,1,1,12,0,20.2,True
Darren Collison,4,10,1,1,9,-5,20.2,True
Darren Collison,4,2,1,1,0,11,7.0,True
Darren Collison,4,7,1,1,-13,9,14.0,True
Darren Collison,3,10,1,0,-2,6,17.1,True
Darren Collison,4,7,1,0,1,7,12.6,True
Darren Collison,3,8,1,0,2,-5,13.5,True
Darren Collison,1,4,0,4,42,15,12.3,True
Darren Collison,1,0,1,0,2,-5,20.2,True
Darren Collison,3,8,1,0,-5,6,15.8,True
Darren Collison,3,8,0,1,-13,7,8.4,True
Darren Collison,1,5,1,2,20,6,19.7,True
Darren Collison,1,3,1,1,6,15,15.3,True
Darren Collison,2,5,1,2,-16,14,9.7,True
Darren Collison,5,2,0,2,-15,17,11.1,True
Darren Collison,3,1,0,3,37,3,20.1,True
Darren Collison,4,0,1,0,6,6,21.1,True
Darren Collison,1,11,0,1,11,6,19.9,True
Darren Collison,2,10,0,2,-21,14,6.4,True
Darren Collison,3,0,1,2,-23,4,15.4,True
Darren Collison,1,6,0,1,-10,11,19.8,True
Darren Collison,4,1,0,0,-5,1,11.0,True
Darren Collison,1,9,0,3,32,3,16.0,True
Darren Collison,1,0,1,2,18,12,14.7,True
Darren Collison,3,1,0,1,13,11,9.7,True
Darren Collison,2,2,1,1,-16,6,19.5,True
Darren Collison,2,1,1,1,18,-2,19.0,True
Darren Collison,2,5,1,2,21,-5,9.7,True
Darren Collison,4,4,1,1,10,4,14.3,True
Darren Collison,2,3,1,0,-7,-2,15.9,True
Darren Collison,1,2,1,1,18,7,12.3,True
Darren Collison,1,0,1,2,24,1,21.8,True
Darren Collison,2,5,1,1,-10,-14,19.4,True
Darren Collison,2,1,1,0,-5,6,16.0,True
Darren Collison,4,3,1,1,-11,12,0.0,True
Darren Collison,1,5,1,2,18,17,16.3,True
Darren Collison,1,10,1,1,10,3,19.8,True
Darren Collison,3,3,1,2,19,19,18.2,True
Darren Collison,1,10,1,1,-10,15,17.1,True
Darren Collison,3,9,1,1,-8,9,15.1,True
Darren Collison,1,10,0,1,6,15,19.2,True
Darren Collison,1,9,1,1,-13,6,16.0,True
Darren Collison,4,1,0,1,13,-2,10.3,True
Darren Collison,4,6,1,2,20,-2,14.9,True
Darren Collison,1,9,1,0,6,4,16.8,True
Darren Collison,3,0,0,1,15,0,8.2,True
Darren Collison,2,6,1,0,4,1,19.8,True
Darren Collison,1,9,1,3,29,20,21.4,True
Darren Collison,1,5,1,2,-26,4,20.3,True
Darren Collison,2,4,1,2,21,0,18.5,True
Darren Collison,3,5,1,1,-8,14,19.5,True
Darren Collison,4,5,1,3,37,0,6.3,True
Darren Collison,4,0,1,1,12,4,10.1,True
Darren Collison,1,10,1,1,-18,-2,16.0,True
Darren Collison,1,3,0,2,17,14,17.9,True
Darren Collison,1,4,1,0,2,3,12.8,True
Darren Collison,1,9,1,2,21,7,18.0,True
Darren Collison,1,11,0,2,21,-2,16.7,True
Darren Collison,4,0,1,0,-8,4,16.8,True
Darren Collison,1,4,1,0,0,1,20.9,True
Darren Collison,4,8,1,0,0,1,18.5,True
Darren Collison,3,6,1,13,-130,23,22.3,True
Darren Collison,3,4,1,1,1,14,21.4,True
Darren Collison,2,0,1,10,37,94,15.6,True
Darren Collison,1,9,1,13,-11,137,8.9,True
Darren Collison,3,11,1,8,-5,83,18.5,True
Darren Collison,3,9,1,16,140,89,11.0,True
Darren Collison,4,8,1,6,-62,15,21.2,True
Darren Collison,2,0,1,29,0,298,0.0,False
Darren Collison,3,0,1,26,159,213,0.0,False
Darren Collison,3,9,1,6,-64,25,21.3,True
Darren Collison,3,7,0,3,36,12,17.6,True
Darren Collison,2,3,1,12,116,56,19.5,True
Darren Collison,3,5,1,12,-116,39,19.9,True
Darren Collison,2,0,0,7,67,30,3.3,True
Darren Collison,3,7,0,14,-2,146,18.9,True
Darren Collison,3,0,1,23,236,17,17.7,False
Darren Collison,3,0,0,34,-62,337,0.0,False
Darren Collison,4,9,0,22,-226,15,22.0,False
Darren Collison,1,5,1,16,113,123,19.4,True
Darren Collison,4,1,0,26,-116,236,0.7,False
Darren Collison,4,0,1,16,88,140,16.4,True
Darren Collison,2,1,0,24,-205,137,21.7,False
Darren Collison,2,0,1,17,162,63,11.1,True
Darren Collison,3,4,1,18,-146,113,10.8,True
Darren Collison,3,2,1,18,108,151,6.8,True
Darren Collison,4,1,0,24,130,209,6.5,False
Darren Collison,4,0,0,16,162,23,4.6,True
Darren Collison,1,6,1,24,-209,123,18.9,False
Darren Collison,4,5,1,18,-73,168,18.0,True
Darren Collison,4,4,0,27,-185,200,5.4,False
Darren Collison,5,3,1,14,65,135,6.7,True
Darren Collison,3,6,1,18,132,126,18.3,True
Darren Collison,4,5,0,21,212,3,9.0,True
Darren Collison,4,3,1,21,-217,23,17.6,True
Darren Collison,4,0,0,24,151,195,0.0,False
Darren Collison,4,0,0,23,226,53,0.0,False
Darren Collison,1,7,0,21,-163,137,19.0,True
Darren Collison,1,0,0,16,114,123,0.0,True
Darren Collison,2,2,1,26,-59,258,6.3,False
Darren Collison,2,0,1,14,-144,11,9.7,True
Darren Collison,4,3,1,17,69,157,1.1,True
Darren Collison,2,7,0,10,-35,101,14.5,True
Darren Collison,2,0,1,17,-109,137,14.0,True
Darren Collison,3,9,1,16,9,167,7.5,True
Darren Collison,3,0,0,44,84,438,0.0,False
Darren Collison,1,9,1,25,31,252,4.0,False
Darren Collison,2,1,1,23,236,9,5.5,False
Darren Collison,3,3,0,18,181,7,2.2,True
Darren Collison,3,2,1,20,18,208,9.0,True
Darren Collison,3,0,1,20,77,189,13.8,True
Darren Collison,3,7,1,18,-125,135,12.9,True
Darren Collison,3,6,1,16,100,137,18.4,True
Darren Collison,3,5,1,18,-2,183,9.6,True
Darren Collison,3,2,0,16,-21,160,14.8,True
Darren Collison,2,3,1,22,228,14,9.1,False
Darren Collison,4,2,1,25,26,257,8.7,False
Darren Collison,1,3,1,16,-30,159,16.8,True
Darren Collison,2,0,0,18,141,119,0.0,True
Darren Collison,3,10,1,24,166,184,9.4,False
Darren Collison,3,6,1,20,2,205,16.1,True
Darren Collison,3,4,1,17,97,146,11.6,True
Darren Collison,4,1,1,26,-152,216,6.8,False
Darren Collison,3,0,0,32,13,323,0.0,False
Darren Collison,1,9,1,16,91,142,9.0,True
Darren Collison,2,0,0,15,132,88,0.0,True
Darren Collison,4,10,1,24,-215,119,14.3,False
Darren Collison,4,4,1,24,-231,80,10.4,False
Darren Collison,4,0,1,25,-144,208,0.0,False
Darren Collison,1,5,1,18,80,172,17.5,True
Darren Collison,2,3,1,15,45,153,13.2,True
Darren Collison,3,6,0,24,236,48,6.7,False
Darren Collison,4,4,0,17,125,129,11.4,True
Darren Collison,5,3,1,21,-142,160,11.9,True
Darren Collison,5,0,0,14,-141,9,2.7,True
Darren Collison,1,5,1,21,-142,159,6.9,True
Darren Collison,1,2,1,15,-5,157,9.0,True
Darren Collison,2,4,1,23,-235,31,4.4,False
Darren Collison,2,0,0,26,-89,250,0.0,False
Darren Collison,3,8,1,24,-64,235,16.8,False
Darren Collison,3,7,0,15,24,156,5.0,True
Darren Collison,3,0,1,11,0,118,0.0,True
Darren Collison,4,10,1,17,-29,176,16.9,True
Darren Collison,4,2,1,19,-65,179,2.5,True
Darren Collison,1,2,1,15,149,36,10.3,True
Darren Collison,1,10,1,17,-166,63,6.7,True
Darren Collison,3,8,0,23,237,3,1.4,False
Darren Collison,4,4,1,20,-40,197,3.5,True
Darren Collison,1,4,0,22,-89,206,3.3,True
Darren Collison,3,7,1,16,-134,104,11.9,True
Darren Collison,5,0,1,27,-166,216,17.0,False
Darren Collison,5,0,1,26,18,266,0.0,False
Darren Collison,5,0,0,30,-138,277,0.0,False
