name,period,minutes_remaining,shot_made_flag,shot_distance,x,y,shot_clock,shot_2pnt
DeMar DeRozan,2,4,1,0,0,1,12.0,True
DeMar DeRozan,2,5,1,0,0,1,12.0,True
DeMar DeRozan,3,10,1,0,0,1,24.0,True
DeMar DeRozan,3,8,1,2,-13,17,11.3,True
DeMar DeRozan,2,2,1,1,-15,4,20.0,True
DeMar DeRozan,2,1,0,1,-16,6,22.2,True
DeMar DeRozan,3,9,1,6,56,28,16.9,True
DeMar DeRozan,3,8,1,3,6,39,21.1,True
DeMar DeRozan,1,1,1,3,-35,6,13.2,True
DeMar DeRozan,3,4,1,2,-26,4,20.1,True
DeMar DeRozan,2,2,1,2,20,9,11.3,True
DeMar DeRozan,1,4,0,2,26,14,6.7,True
DeMar DeRozan,3,10,1,4,34,34,16.2,True
DeMar DeRozan,3,8,1,3,34,12,18.6,True
DeMar DeRozan,1,5,1,0,0,1,22.2,True
DeMar DeRozan,1,2,0,0,0,1,22.9,True
DeMar DeRozan,3,10,1,0,0,1,13.5,True
DeMar DeRozan,3,10,1,0,0,1,20.6,True
DeMar DeRozan,1,7,1,0,0,1,15.0,True
DeMar DeRozan,1,2,1,0,0,1,8.0,True
DeMar DeRozan,2,6,1,1,-10,12,11.2,True
DeMar DeRozan,3,8,1,2,28,9,11.0,True
DeMar DeRozan,2,2,1,2,-8,23,13.0,True
DeMar DeRozan,3,0,1,2,24,6,16.3,True
DeMar DeRozan,3,5,1,1,18,6,21.6,True
DeMar DeRozan,3,6,1,1,-11,7,21.6,True
DeMar DeRozan,3,7,1,1,6,11,23.0,True
DeMar DeRozan,1,8,1,2,12,19,24.0,True
DeMar DeRozan,2,1,0,4,13,44,8.5,True
DeMar DeRozan,1,1,0,5,-30,48,17.5,True
DeMar DeRozan,1,3,1,3,-30,0,13.3,True
DeMar DeRozan,3,5,0,2,20,17,14.7,True
DeMar DeRozan,1,7,0,5,37,34,2.4,True
DeMar DeRozan,4,3,0,4,-8,42,9.3,True
DeMar DeRozan,2,0,1,9,-4,99,0.0,True
DeMar DeRozan,2,5,1,4,15,47,2.3,True
DeMar DeRozan,3,2,1,5,-51,0,10.2,True
DeMar DeRozan,3,3,0,4,-18,37,12.0,True
DeMar DeRozan,3,6,1,2,-24,1,12.3,True
DeMar DeRozan,4,3,0,4,43,25,9.0,True
DeMar DeRozan,3,7,0,5,-54,-14,19.2,True
DeMar DeRozan,2,3,0,3,-32,17,5.3,True
DeMar DeRozan,2,2,0,4,-2,47,13.2,True
DeMar DeRozan,3,9,0,6,4,69,3.1,True
DeMar DeRozan,4,0,1,4,-23,44,0.0,True
DeMar DeRozan,4,0,0,9,84,44,0.0,True
DeMar DeRozan,3,4,1,5,21,56,0.0,True
DeMar DeRozan,1,7,1,4,23,34,14.3,True
DeMar DeRozan,3,4,0,5,42,31,14.0,True
DeMar DeRozan,3,5,0,5,6,50,7.9,True
DeMar DeRozan,2,8,0,3,29,26,20.4,True
DeMar DeRozan,1,5,0,3,20,31,2.7,True
DeMar DeRozan,2,3,1,6,37,58,8.7,True
DeMar DeRozan,2,3,0,5,-8,52,19.8,True
DeMar DeRozan,4,0,0,5,-32,42,20.8,True
DeMar DeRozan,3,2,1,5,45,34,10.5,True
DeMar DeRozan,2,5,0,8,-48,72,5.6,True
DeMar DeRozan,4,1,1,4,-35,25,4.3,True
DeMar DeRozan,1,7,1,4,20,36,11.4,True
DeMar DeRozan,2,1,1,7,-24,67,11.5,True
DeMar DeRozan,1,2,1,3,-29,12,18.7,True
DeMar DeRozan,1,11,1,5,-56,6,13.9,True
DeMar DeRozan,2,0,1,5,-46,22,14.3,True
DeMar DeRozan,3,11,1,4,10,41,13.9,True
DeMar DeRozan,2,3,1,14,143,9,16.0,True
DeMar DeRozan,1,7,0,6,-51,33,14.7,True
DeMar DeRozan,1,4,0,4,37,33,16.9,True
DeMar DeRozan,1,1,0,3,2,31,16.0,True
DeMar DeRozan,1,1,0,5,2,55,3.1,True
DeMar DeRozan,4,3,0,4,32,34,8.7,True
DeMar DeRozan,1,6,0,6,-60,9,19.4,True
DeMar DeRozan,4,5,1,5,21,56,11.6,True
DeMar DeRozan,5,0,0,0,-2,0,12.0,True
DeMar DeRozan,4,4,1,0,-7,6,15.2,True
DeMar DeRozan,2,0,1,2,-24,14,11.1,True
DeMar DeRozan,1,3,1,2,15,25,16.6,True
DeMar DeRozan,1,6,0,2,-21,7,23.4,True
DeMar DeRozan,4,1,0,1,17,7,12.1,True
DeMar DeRozan,3,6,1,1,1,11,5.1,True
DeMar DeRozan,4,0,1,0,-8,3,20.0,True
DeMar DeRozan,1,9,1,1,18,6,14.6,True
DeMar DeRozan,4,4,0,3,-27,20,13.1,True
DeMar DeRozan,2,3,1,2,24,17,18.0,True
DeMar DeRozan,1,3,1,1,-19,-5,8.3,True
DeMar DeRozan,4,2,0,2,23,4,13.7,True
DeMar DeRozan,1,7,0,1,-16,9,11.0,True
DeMar DeRozan,1,2,0,2,-27,0,11.2,True
DeMar DeRozan,3,11,0,2,-23,0,15.3,True
DeMar DeRozan,3,5,1,2,21,17,22.7,True
DeMar DeRozan,4,4,0,2,20,6,8.4,True
DeMar DeRozan,1,8,1,0,7,0,14.0,True
DeMar DeRozan,2,5,1,4,45,19,8.1,True
DeMar DeRozan,3,9,0,2,29,-3,11.7,True
DeMar DeRozan,3,5,1,1,-18,0,13.7,True
DeMar DeRozan,1,1,0,3,32,23,8.2,True
DeMar DeRozan,1,5,0,2,20,20,15.0,True
DeMar DeRozan,4,2,0,1,-11,14,13.2,True
DeMar DeRozan,3,6,0,1,-5,9,15.4,True
DeMar DeRozan,2,1,0,2,-15,17,12.7,True
DeMar DeRozan,4,1,1,1,-15,0,7.4,True
DeMar DeRozan,1,4,0,3,28,20,17.2,True
DeMar DeRozan,4,0,1,1,17,6,22.0,True
DeMar DeRozan,4,1,1,2,-27,1,15.9,True
DeMar DeRozan,3,5,1,2,-24,4,15.8,True
DeMar DeRozan,5,1,0,1,-8,12,21.0,True
DeMar DeRozan,5,2,1,2,-24,6,7.9,True
DeMar DeRozan,4,2,0,1,10,17,12.9,True
DeMar DeRozan,1,8,0,1,-18,-3,4.3,True
DeMar DeRozan,1,5,1,2,20,0,7.8,True
DeMar DeRozan,3,4,0,2,-2,23,16.5,True
DeMar DeRozan,4,0,0,3,29,11,0.0,True
DeMar DeRozan,4,3,1,2,-21,9,20.6,True
DeMar DeRozan,1,10,1,1,18,-5,20.1,True
DeMar DeRozan,3,8,0,1,-19,3,16.5,True
DeMar DeRozan,2,0,1,2,-27,-5,6.9,True
DeMar DeRozan,3,8,0,4,40,17,13.0,True
DeMar DeRozan,1,0,1,2,21,-3,12.8,True
DeMar DeRozan,4,1,1,2,-21,3,14.0,True
DeMar DeRozan,2,9,1,2,23,6,12.1,True
DeMar DeRozan,2,2,0,4,39,20,17.0,True
DeMar DeRozan,1,3,1,2,-24,-6,12.8,True
DeMar DeRozan,3,5,0,0,1,7,15.0,True
DeMar DeRozan,1,5,0,1,-13,4,11.5,True
DeMar DeRozan,1,8,0,1,-10,9,9.8,True
DeMar DeRozan,3,5,0,2,-23,6,18.0,True
DeMar DeRozan,1,6,0,2,-7,20,24.0,True
DeMar DeRozan,4,0,0,2,0,20,14.0,True
DeMar DeRozan,2,3,1,1,-19,3,19.6,True
DeMar DeRozan,3,1,0,1,15,11,14.9,True
DeMar DeRozan,1,4,0,1,-17,9,7.1,True
