name,period,minutes_remaining,shot_made_flag,shot_distance,x,y,shot_clock,shot_2pnt
DeMarre Carroll,1,5,1,10,4,108,0.0,True
DeMarre Carroll,4,7,1,0,0,1,12.0,True
DeMarre Carroll,1,6,1,0,0,1,20.1,True
DeMarre Carroll,4,4,1,0,0,1,22.7,True
DeMarre Carroll,2,5,1,0,0,1,16.4,True
DeMarre Carroll,4,0,1,1,0,19,14.0,True
DeMarre Carroll,1,6,1,6,4,67,4.1,True
DeMarre Carroll,3,5,0,8,29,78,11.8,True
DeMarre Carroll,3,2,0,7,0,78,2.0,True
DeMarre Carroll,2,8,0,9,43,80,11.0,True
DeMarre Carroll,2,3,1,6,47,39,1.7,True
DeMarre Carroll,3,6,1,5,24,52,11.6,True
DeMarre Carroll,1,3,0,6,-64,26,10.3,True
DeMarre Carroll,2,0,0,5,-8,53,7.4,True
DeMarre Carroll,4,7,0,4,40,28,10.3,True
DeMarre Carroll,2,1,1,4,4,47,24.0,True
DeMarre Carroll,3,9,0,5,24,47,12.9,True
DeMarre Carroll,4,6,0,11,113,22,7.3,True
DeMarre Carroll,2,0,0,11,0,113,17.2,True
DeMarre Carroll,4,3,0,11,105,34,17.4,True
DeMarre Carroll,3,11,0,5,53,22,18.2,True
DeMarre Carroll,3,10,0,3,29,25,7.1,True
DeMarre Carroll,3,2,1,11,13,113,9.2,True
DeMarre Carroll,2,5,0,7,50,52,7.8,True
DeMarre Carroll,1,9,1,6,59,19,5.2,True
DeMarre Carroll,3,9,1,9,-90,41,0.0,True
DeMarre Carroll,2,1,1,9,51,78,9.1,True
DeMarre Carroll,1,4,1,4,34,31,9.3,True
DeMarre Carroll,1,5,1,5,50,17,6.5,True
DeMarre Carroll,3,11,0,6,12,60,13.7,True
DeMarre Carroll,3,5,0,4,7,42,16.6,True
DeMarre Carroll,3,8,1,5,-5,55,9.5,True
DeMarre Carroll,1,5,1,4,0,41,10.6,True
DeMarre Carroll,3,8,1,5,0,53,12.7,True
DeMarre Carroll,2,11,1,0,2,0,2.4,True
DeMarre Carroll,3,8,1,2,20,11,9.1,True
DeMarre Carroll,1,9,1,1,12,1,12.9,True
DeMarre Carroll,1,5,1,1,4,-10,13.0,True
DeMarre Carroll,1,6,1,0,6,0,17.7,True
