name,period,minutes_remaining,shot_made_flag,shot_distance,x,y,shot_clock,shot_2pnt
Deron Williams,3,5,0,1,6,12,21.0,True
Deron Williams,2,7,1,7,73,23,17.4,True
Deron Williams,4,0,1,8,80,31,12.2,True
Deron Williams,2,4,0,7,73,26,16.7,True
Deron Williams,1,9,1,0,6,7,17.2,True
Deron Williams,2,2,1,2,0,24,15.5,True
Deron Williams,4,9,1,2,28,0,14.7,True
Deron Williams,4,3,1,1,12,0,15.9,True
Deron Williams,1,10,1,1,-11,7,17.8,True
Deron Williams,3,0,0,2,29,6,0.0,True
Deron Williams,3,5,1,0,9,1,5.7,True
Deron Williams,4,9,1,0,9,-2,10.9,True
Deron Williams,3,10,1,2,15,15,18.6,True
Deron Williams,2,10,1,2,17,19,0.7,True
Deron Williams,2,0,0,8,54,60,0.0,True
Deron Williams,2,4,1,4,21,39,8.5,True
Deron Williams,1,7,1,6,15,67,5.6,True
Deron Williams,3,2,0,4,36,28,3.8,True
Deron Williams,1,4,1,3,-30,6,15.1,True
Deron Williams,4,5,1,4,39,31,3.7,True
Deron Williams,1,1,0,3,13,36,11.4,True
Deron Williams,3,7,0,7,39,61,15.1,True
Deron Williams,2,9,0,7,50,50,17.1,True
Deron Williams,1,6,0,4,-2,48,2.2,True
Deron Williams,3,7,1,2,20,1,7.3,True
Deron Williams,4,6,1,0,2,-2,16.1,True
Deron Williams,4,3,0,1,13,6,9.5,True
Deron Williams,1,9,0,1,4,12,10.7,True
Deron Williams,1,3,0,1,15,3,17.1,True
Deron Williams,1,2,1,1,-11,0,18.5,True
Deron Williams,3,2,0,2,18,11,2.8,True
Deron Williams,3,9,0,2,23,6,11.5,True
Deron Williams,1,3,1,1,12,6,18.1,True
Deron Williams,4,7,1,2,24,14,9.0,True
Deron Williams,3,6,1,1,-11,4,17.3,True
Deron Williams,1,3,1,2,21,1,18.0,True
Deron Williams,4,3,0,0,8,1,14.4,True
Deron Williams,1,1,1,2,24,7,11.9,True
Deron Williams,1,4,1,1,4,11,8.6,True
Deron Williams,2,0,0,2,23,1,16.1,True
Deron Williams,1,8,0,2,28,1,14.9,True
Deron Williams,4,11,0,3,21,33,6.6,True
Deron Williams,3,4,0,2,13,23,4.5,True
Deron Williams,3,10,0,2,26,4,15.3,True
Deron Williams,3,3,0,3,26,22,13.1,True
Deron Williams,4,0,0,2,-16,12,19.9,True
Deron Williams,2,4,0,2,-21,14,12.1,True
Deron Williams,3,10,0,1,6,12,14.4,True
Deron Williams,4,0,1,1,18,4,19.8,True
Deron Williams,2,1,0,2,21,12,18.9,True
Deron Williams,3,9,1,0,1,4,19.4,True
Deron Williams,3,7,0,2,21,4,18.5,True
Deron Williams,4,3,1,1,7,9,21.8,True
Deron Williams,4,11,1,2,20,-5,9.1,True
Deron Williams,4,1,0,2,28,6,11.2,True
Deron Williams,4,8,1,2,21,19,11.6,True
Deron Williams,4,6,0,3,4,34,16.0,True
Deron Williams,4,1,1,0,-7,0,14.3,True
Deron Williams,1,10,1,1,-15,6,16.8,True
Deron Williams,3,6,0,2,20,12,18.0,True
