name,period,minutes_remaining,shot_made_flag,shot_distance,x,y,shot_clock,shot_2pnt
Elton Brand,1,3,0,2,23,0,7.6,True
Elton Brand,4,5,1,0,0,1,24.0,True
Elton Brand,3,3,0,4,-11,48,5.4,True
Elton Brand,2,7,1,4,43,6,22.4,True
Elton Brand,4,3,0,16,0,164,13.3,True
Elton Brand,2,7,0,11,2,110,7.6,True
Elton Brand,3,6,1,9,97,11,15.0,True
Elton Brand,4,5,1,15,-2,156,17.0,True
Elton Brand,4,4,1,15,-87,129,14.5,True
Elton Brand,1,1,1,12,110,53,5.1,True
Elton Brand,2,3,1,17,-105,146,13.6,True
Elton Brand,4,8,1,17,-43,168,8.2,True
Elton Brand,4,5,1,18,-120,145,12.7,True
Elton Brand,1,2,1,16,147,83,17.5,True
Elton Brand,3,3,1,16,6,160,10.6,True
Elton Brand,3,2,1,16,162,3,18.5,True
Elton Brand,1,4,1,18,-169,80,13.9,True
Elton Brand,3,2,1,11,2,119,17.2,True
Elton Brand,4,4,1,10,47,94,5.9,True
Elton Brand,1,10,1,16,21,167,16.0,True
Elton Brand,1,9,0,13,6,135,10.0,True
Elton Brand,1,4,0,10,-109,14,6.0,True
Elton Brand,3,9,1,6,29,56,16.0,True
Elton Brand,2,9,0,16,83,137,15.0,True
Elton Brand,1,3,0,16,132,97,11.3,True
Elton Brand,3,1,0,20,187,72,1.6,True
Elton Brand,1,4,0,15,-134,78,4.1,True
Elton Brand,3,0,0,17,-93,143,0.0,True
Elton Brand,2,6,0,9,-87,45,9.1,True
Elton Brand,4,6,0,15,-153,7,9.8,True
Elton Brand,1,1,0,16,-19,166,0.0,True
Elton Brand,4,0,0,15,6,151,3.0,True
Elton Brand,2,4,0,17,-21,175,15.3,True
Elton Brand,3,0,1,17,173,7,14.0,True
Elton Brand,3,7,1,11,0,116,11.0,True
Elton Brand,3,4,1,11,-114,25,7.9,True
Elton Brand,3,8,0,12,-122,4,11.0,True
Elton Brand,2,8,0,14,1,146,7.7,True
Elton Brand,3,4,0,9,-87,28,10.8,True
Elton Brand,1,11,0,12,-122,11,7.3,True
Elton Brand,2,6,1,15,91,131,9.3,True
Elton Brand,1,10,1,15,1,157,14.2,True
Elton Brand,1,2,1,13,29,129,2.5,True
Elton Brand,1,6,0,7,1,74,13.4,True
Elton Brand,4,2,0,15,-7,151,3.8,True
Elton Brand,4,6,0,13,0,137,20.5,True
Elton Brand,3,4,0,13,-134,31,4.2,True
Elton Brand,1,3,1,17,-105,142,5.0,True
Elton Brand,1,5,1,12,56,115,11.0,True
Elton Brand,2,4,0,17,105,143,17.3,True
Elton Brand,4,5,0,17,-19,175,9.9,True
Elton Brand,4,7,0,13,130,15,8.5,True
Elton Brand,1,0,0,5,50,-2,0.0,True
Elton Brand,2,10,0,10,-97,42,12.7,True
Elton Brand,2,9,0,3,34,19,18.6,True
Elton Brand,3,1,0,10,-2,101,6.6,True
Elton Brand,4,8,0,13,-90,105,10.5,True
Elton Brand,4,4,0,6,-21,60,8.0,True
Elton Brand,4,7,0,18,-52,175,13.2,True
Elton Brand,3,9,1,7,69,22,19.4,True
Elton Brand,1,8,1,15,152,4,8.6,True
Elton Brand,3,10,1,17,121,129,10.0,True
Elton Brand,2,6,0,16,50,157,16.3,True
Elton Brand,4,7,0,16,-168,12,2.9,True
Elton Brand,1,5,1,16,13,168,16.7,True
Elton Brand,2,2,1,3,-26,17,19.5,True
Elton Brand,2,2,0,17,-67,162,15.0,True
Elton Brand,1,11,0,18,13,187,7.2,True
Elton Brand,1,9,0,15,154,1,7.7,True
Elton Brand,3,3,0,18,-70,167,13.9,True
Elton Brand,3,0,0,13,-81,107,11.0,True
Elton Brand,4,1,1,17,-23,176,0.0,True
Elton Brand,4,0,0,23,-232,14,0.0,False
Elton Brand,1,0,0,17,95,146,13.2,True
Elton Brand,2,0,0,17,23,175,3.6,True
Elton Brand,1,1,0,17,4,172,9.8,True
Elton Brand,1,1,0,15,9,159,15.1,True
Elton Brand,4,2,0,16,-67,153,13.5,True
Elton Brand,4,6,1,0,-4,3,24.0,True
Elton Brand,4,11,1,1,14,5,2.5,True
Elton Brand,3,3,1,1,18,1,13.3,True
Elton Brand,3,4,1,1,15,7,16.0,True
Elton Brand,2,11,1,1,-8,6,15.3,True
Elton Brand,3,6,0,2,15,25,6.6,True
Elton Brand,3,2,0,2,-23,11,24.0,True
Elton Brand,3,8,0,0,2,-2,24.0,True
Elton Brand,3,11,1,1,-18,4,13.7,True
Elton Brand,3,4,1,1,12,1,9.3,True
Elton Brand,3,2,1,2,-8,20,24.0,True
Elton Brand,2,0,1,0,1,1,24.0,True
Elton Brand,1,4,1,1,-19,1,17.2,True
Elton Brand,4,1,0,0,0,4,6.7,True
Elton Brand,4,5,0,9,88,25,14.0,True
Elton Brand,2,4,1,12,9,124,10.6,True
Elton Brand,1,5,0,9,99,7,13.0,True
