name,period,minutes_remaining,shot_made_flag,shot_distance,x,y,shot_clock,shot_2pnt
Erick Green,2,8,1,0,0,1,21.0,True
Erick Green,4,0,1,10,31,96,0.0,True
Erick Green,4,6,0,8,36,80,16.4,True
Erick Green,4,1,0,2,-15,14,14.0,True
Erick Green,4,10,1,0,0,1,18.5,True
Erick Green,4,5,1,0,0,1,21.8,True
Erick Green,4,2,1,7,-18,72,11.8,True
Erick Green,2,10,0,21,-54,206,8.8,True
Erick Green,1,8,0,9,-16,94,7.5,True
Erick Green,4,0,1,4,-41,19,19.7,True
Erick Green,4,5,1,4,-40,26,18.1,True
Erick Green,4,8,1,21,15,216,10.3,True
Erick Green,4,6,0,23,-231,-11,11.7,False
Erick Green,4,11,1,21,211,41,11.3,True
Erick Green,4,8,1,21,-26,213,9.5,True
Erick Green,4,7,1,15,118,102,16.4,True
Erick Green,2,7,1,24,236,55,17.9,False
Erick Green,3,0,1,17,-128,124,3.8,True
Erick Green,3,0,1,25,165,195,0.0,False
Erick Green,3,1,0,17,168,64,12.7,True
Erick Green,3,1,1,19,-198,25,19.5,True
Erick Green,4,10,0,19,-105,160,12.5,True
Erick Green,3,10,1,25,-64,246,18.0,False
Erick Green,4,1,1,19,-2,198,5.7,True
Erick Green,4,0,0,25,-199,159,19.8,False
Erick Green,4,4,0,14,-2,143,20.5,True
Erick Green,4,5,1,22,220,52,20.2,True
Erick Green,1,0,0,39,13,397,0.0,False
Erick Green,3,1,0,19,-161,101,16.0,True
Erick Green,4,0,1,25,-172,187,7.5,False
Erick Green,4,9,1,14,91,118,6.2,True
Erick Green,2,5,0,19,177,75,19.1,True
Erick Green,4,9,0,25,-153,198,9.9,False
Erick Green,4,4,0,23,231,44,9.1,False
Erick Green,4,4,0,24,-112,216,11.0,False
Erick Green,4,7,0,9,47,86,19.9,True
Erick Green,4,1,0,23,-232,9,18.0,False
Erick Green,4,2,0,23,-234,12,13.2,False
Erick Green,3,2,0,18,-101,149,17.3,True
Erick Green,3,1,0,22,228,28,9.2,False
Erick Green,4,4,0,18,91,156,20.0,True
Erick Green,4,5,0,18,100,160,20.7,True
Erick Green,4,4,0,25,179,179,19.4,False
Erick Green,1,1,1,21,-212,1,19.2,True
Erick Green,2,9,0,26,190,189,7.2,False
Erick Green,2,2,0,25,45,254,5.9,False
Erick Green,4,0,0,25,-30,252,6.4,False
Erick Green,3,3,1,20,-188,75,8.0,True
Erick Green,3,8,1,15,23,151,13.6,True
Erick Green,2,7,1,17,-142,107,15.2,True
Erick Green,4,8,0,15,43,153,3.5,True
Erick Green,3,2,1,25,190,165,15.4,False
Erick Green,4,1,0,22,176,138,10.4,True
Erick Green,4,11,0,20,-5,203,12.7,True
Erick Green,4,8,0,17,-161,66,21.8,True
Erick Green,4,7,0,14,-142,17,9.5,True
Erick Green,4,4,0,24,-60,238,10.2,False
Erick Green,2,5,1,25,-138,220,19.1,False
Erick Green,4,7,0,17,130,112,0.4,True
Erick Green,2,3,1,22,-229,7,16.1,False
Erick Green,3,3,1,7,-40,66,12.7,True
Erick Green,2,5,0,19,-95,170,8.0,True
Erick Green,4,1,0,4,-37,25,16.9,True
Erick Green,4,0,0,19,-191,15,0.0,True
Erick Green,4,2,0,20,204,22,18.8,True
Erick Green,4,6,0,16,47,154,16.8,True
Erick Green,2,5,0,10,-100,23,7.7,True
Erick Green,4,3,1,24,-240,-3,10.4,False
Erick Green,2,2,1,23,-232,15,11.9,False
Erick Green,3,6,0,17,-160,74,11.4,True
Erick Green,2,4,0,10,-105,31,10.0,True
Erick Green,4,6,1,24,-193,145,6.2,False
Erick Green,4,8,0,22,-224,37,6.9,False
Erick Green,4,8,1,17,170,15,4.0,True
Erick Green,4,4,0,24,-2,242,2.0,False
Erick Green,4,1,0,21,114,187,5.0,True
Erick Green,4,9,0,24,-201,138,14.5,False
Erick Green,4,2,0,4,10,45,2.3,True
Erick Green,4,3,1,16,-46,159,17.6,True
Erick Green,2,10,1,23,233,4,11.7,False
Erick Green,2,11,0,24,159,183,0.7,False
Erick Green,2,5,1,9,-27,93,12.0,True
Erick Green,1,0,0,26,12,261,0.0,False
Erick Green,2,4,0,23,236,4,11.4,False
Erick Green,4,4,1,25,-79,244,9.3,False
Erick Green,2,6,0,24,-2,241,12.2,False
Erick Green,2,6,0,5,10,50,12.6,True
Erick Green,4,0,0,23,-235,30,0.0,False
Erick Green,4,11,0,25,-198,156,9.6,False
