name,period,minutes_remaining,shot_made_flag,shot_distance,x,y,shot_clock,shot_2pnt
Furkan Aldemir,2,8,1,0,0,7,6.9,True
Furkan Aldemir,3,4,0,3,-27,22,17.3,True
Furkan Aldemir,2,2,1,0,0,1,13.3,True
Furkan Aldemir,2,5,1,0,0,1,12.7,True
Furkan Aldemir,4,1,1,0,0,1,14.9,True
Furkan Aldemir,3,11,1,0,0,1,16.4,True
Furkan Aldemir,3,10,1,0,0,1,23.6,True
Furkan Aldemir,2,9,1,0,0,1,23.0,True
Furkan Aldemir,3,4,1,0,0,1,24.0,True
Furkan Aldemir,1,5,1,0,0,1,22.6,True
Furkan Aldemir,4,0,1,3,9,31,24.0,True
Furkan Aldemir,4,0,1,17,170,36,0.0,True
Furkan Aldemir,2,2,1,13,136,-5,5.5,True
Furkan Aldemir,3,10,0,24,-229,78,3.4,False
Furkan Aldemir,2,10,0,5,21,53,6.9,True
Furkan Aldemir,1,10,0,26,-136,228,12.9,False
Furkan Aldemir,3,6,0,24,80,227,2.0,False
Furkan Aldemir,2,6,0,19,192,26,8.6,True
Furkan Aldemir,1,8,1,19,-98,165,9.6,True
Furkan Aldemir,2,7,0,4,39,11,2.0,True
Furkan Aldemir,4,7,0,4,2,44,10.4,True
Furkan Aldemir,3,1,0,18,173,55,11.0,True
Furkan Aldemir,3,3,1,18,189,15,11.4,True
Furkan Aldemir,1,7,0,3,-30,9,22.9,True
Furkan Aldemir,1,4,0,16,-150,66,13.7,True
Furkan Aldemir,4,8,0,4,-13,42,8.3,True
Furkan Aldemir,4,0,1,16,-168,7,0.0,True
Furkan Aldemir,2,8,0,25,42,252,13.6,False
Furkan Aldemir,2,7,0,5,58,1,4.8,True
Furkan Aldemir,1,2,0,25,0,250,10.4,False
Furkan Aldemir,4,6,0,9,-57,74,10.4,True
Furkan Aldemir,1,9,0,17,170,-16,4.0,True
Furkan Aldemir,2,8,0,17,174,14,12.0,True
Furkan Aldemir,3,8,0,8,81,-1,20.1,True
Furkan Aldemir,2,1,0,20,-201,-5,12.2,True
Furkan Aldemir,4,0,0,8,32,78,0.0,True
Furkan Aldemir,1,1,0,3,0,37,23.6,True
Furkan Aldemir,4,1,0,20,203,4,6.6,True
Furkan Aldemir,2,3,1,0,0,6,22.4,True
Furkan Aldemir,2,6,1,2,6,26,7.5,True
Furkan Aldemir,1,0,1,0,0,6,23.3,True
Furkan Aldemir,2,7,1,0,2,-3,18.2,True
Furkan Aldemir,4,5,1,1,9,17,12.5,True
Furkan Aldemir,4,0,0,2,-16,19,16.2,True
Furkan Aldemir,1,1,1,2,-23,18,14.1,True
Furkan Aldemir,1,2,0,2,-16,17,0.7,True
Furkan Aldemir,1,1,1,2,18,12,24.0,True
Furkan Aldemir,1,11,0,2,20,-6,12.0,True
Furkan Aldemir,2,0,0,1,18,7,21.0,True
Furkan Aldemir,2,1,0,1,9,12,24.0,True
Furkan Aldemir,4,2,1,1,-5,17,24.0,True
Furkan Aldemir,2,7,0,1,-8,17,6.9,True
Furkan Aldemir,3,1,0,2,23,7,5.0,True
Furkan Aldemir,4,7,1,1,12,12,23.1,True
Furkan Aldemir,4,0,1,1,-10,9,22.5,True
Furkan Aldemir,1,10,0,2,1,26,21.0,True
Furkan Aldemir,1,1,1,0,-5,-2,11.9,True
Furkan Aldemir,4,8,1,1,18,6,22.4,True
Furkan Aldemir,4,10,1,2,24,0,13.8,True
Furkan Aldemir,1,5,0,1,-16,7,7.7,True
Furkan Aldemir,2,9,1,0,-2,-3,8.1,True
Furkan Aldemir,1,6,1,0,0,1,8.1,True
Furkan Aldemir,2,1,1,2,21,7,24.0,True
Furkan Aldemir,1,11,1,0,-2,6,8.9,True
Furkan Aldemir,3,9,1,1,0,-19,9.9,True
Furkan Aldemir,2,9,1,2,1,22,24.0,True
Furkan Aldemir,2,2,1,2,9,20,12.5,True
Furkan Aldemir,4,0,1,1,-10,1,0.0,True
Furkan Aldemir,2,9,0,2,0,24,24.0,True
Furkan Aldemir,4,6,0,1,-8,17,8.9,True
Furkan Aldemir,4,6,0,0,0,7,24.0,True
Furkan Aldemir,4,8,1,1,10,7,24.0,True
Furkan Aldemir,2,3,0,2,1,22,0.0,True
Furkan Aldemir,4,8,1,0,6,3,24.0,True
Furkan Aldemir,3,11,1,0,-4,4,3.8,True
Furkan Aldemir,1,0,0,0,2,1,0.0,True
Furkan Aldemir,2,0,0,0,1,1,10.4,True
Furkan Aldemir,2,6,1,1,13,4,24.0,True
