name,period,minutes_remaining,shot_made_flag,shot_distance,x,y,shot_clock,shot_2pnt
Gal Mekel,1,0,1,6,34,61,0.5,True
Gal Mekel,3,0,1,1,18,-5,0.0,True
Gal Mekel,4,11,1,2,6,26,19.9,True
Gal Mekel,2,11,0,11,21,108,17.1,True
Gal Mekel,1,0,0,24,209,137,0.0,False
Gal Mekel,4,7,0,3,-2,30,16.8,True
Gal Mekel,4,9,0,21,-75,197,12.4,True
Gal Mekel,4,7,0,23,231,55,5.0,False
Gal Mekel,4,0,0,11,-59,104,9.6,True
Gal Mekel,4,8,0,7,-54,47,14.2,True
Gal Mekel,2,7,0,4,0,44,3.6,True
Gal Mekel,4,0,0,24,-190,160,15.0,False
Gal Mekel,1,0,0,18,114,149,0.0,True
Gal Mekel,2,8,0,13,111,83,7.6,True
Gal Mekel,4,9,0,8,80,6,3.3,True
Gal Mekel,2,10,0,19,-138,142,3.9,True
Gal Mekel,4,7,0,2,-7,25,4.6,True
Gal Mekel,4,6,0,1,-15,3,20.5,True
Gal Mekel,2,8,0,3,-27,20,8.6,True
Gal Mekel,4,9,0,16,-92,134,10.5,True
