name,period,minutes_remaining,shot_made_flag,shot_distance,x,y,shot_clock,shot_2pnt
Garrett Temple,3,7,1,0,0,1,13.0,True
Garrett Temple,1,7,0,2,15,15,23.0,True
Garrett Temple,1,0,0,2,-7,26,13.7,True
Garrett Temple,1,8,0,0,6,4,21.4,True
Garrett Temple,4,0,1,1,2,17,14.7,True
Garrett Temple,1,9,1,0,4,7,21.7,True
Garrett Temple,1,5,1,0,-2,0,17.2,True
Garrett Temple,4,10,1,0,-2,4,22.0,True
Garrett Temple,1,11,1,1,13,-2,22.0,True
Garrett Temple,3,10,1,0,4,1,13.9,True
Garrett Temple,4,3,1,18,181,9,8.7,True
Garrett Temple,4,10,0,17,-172,7,0.9,True
Garrett Temple,4,10,1,16,147,71,9.5,True
Garrett Temple,1,2,1,19,-150,129,3.2,True
Garrett Temple,2,3,1,10,-101,12,10.3,True
Garrett Temple,2,0,1,23,236,31,0.0,False
Garrett Temple,3,11,1,23,237,-3,10.0,False
Garrett Temple,3,0,0,53,-73,533,0.0,False
Garrett Temple,3,6,1,23,239,-2,13.1,False
Garrett Temple,4,3,1,26,-125,230,11.9,False
Garrett Temple,1,9,1,23,230,11,2.9,False
Garrett Temple,1,5,1,22,225,-3,4.9,False
Garrett Temple,1,3,1,20,-207,-6,20.0,True
Garrett Temple,2,0,0,25,84,239,12.9,False
Garrett Temple,4,4,0,21,170,137,4.4,True
Garrett Temple,1,2,0,24,-130,209,6.6,False
Garrett Temple,1,1,1,15,-101,115,6.3,True
Garrett Temple,1,1,1,23,-234,-11,12.5,False
Garrett Temple,3,9,1,24,-131,208,22.0,False
Garrett Temple,3,3,1,24,-125,214,0.0,False
Garrett Temple,4,0,1,23,237,28,10.8,False
Garrett Temple,1,8,1,25,174,183,19.3,False
Garrett Temple,1,1,1,22,-226,34,11.8,False
Garrett Temple,2,1,1,24,-237,42,18.5,False
Garrett Temple,4,10,1,25,-169,192,8.0,False
Garrett Temple,5,4,0,7,-70,20,5.5,True
Garrett Temple,3,7,1,24,245,39,16.0,False
Garrett Temple,1,11,0,5,47,25,19.3,True
Garrett Temple,1,5,0,25,220,131,10.5,False
Garrett Temple,2,11,1,23,-229,37,6.1,False
Garrett Temple,4,11,1,20,-75,186,16.3,True
Garrett Temple,4,5,1,24,-223,105,8.4,False
Garrett Temple,3,1,0,23,-235,19,2.6,False
Garrett Temple,2,2,0,27,189,195,14.6,False
Garrett Temple,2,1,1,26,75,257,13.2,False
Garrett Temple,3,9,0,26,-152,216,12.0,False
Garrett Temple,3,0,0,26,-226,129,21.8,False
Garrett Temple,4,11,0,17,136,110,2.9,True
Garrett Temple,3,7,0,18,-116,142,1.8,True
Garrett Temple,3,10,0,22,-229,9,9.0,False
Garrett Temple,3,5,0,25,-218,131,5.4,False
Garrett Temple,3,1,0,9,-45,89,11.2,True
Garrett Temple,1,10,0,24,-242,15,11.9,False
Garrett Temple,1,4,0,23,-234,14,19.4,False
Garrett Temple,1,6,0,22,-228,0,10.6,False
Garrett Temple,4,11,0,23,231,14,17.0,False
Garrett Temple,4,7,0,25,-93,241,6.5,False
Garrett Temple,4,0,0,18,138,119,16.3,True
Garrett Temple,1,10,0,23,237,25,17.4,False
Garrett Temple,1,9,0,24,218,113,22.4,False
Garrett Temple,1,3,0,23,-237,25,11.7,False
Garrett Temple,3,8,0,11,-23,108,12.5,True
Garrett Temple,3,3,0,16,125,113,9.0,True
Garrett Temple,1,6,0,18,189,17,5.5,True
Garrett Temple,3,2,0,25,165,197,8.8,False
Garrett Temple,2,5,0,6,40,53,24.0,True
Garrett Temple,1,1,0,17,-75,157,16.5,True
Garrett Temple,2,10,0,17,-146,96,13.5,True
Garrett Temple,1,10,0,24,-147,201,12.1,False
Garrett Temple,3,10,0,25,-120,227,7.2,False
Garrett Temple,2,2,1,22,226,22,18.3,False
Garrett Temple,2,9,0,20,-149,142,5.0,True
Garrett Temple,4,10,0,18,127,140,14.3,True
