name,period,minutes_remaining,shot_made_flag,shot_distance,x,y,shot_clock,shot_2pnt
Hassan Whiteside,1,6,1,0,0,1,18.2,True
Hassan Whiteside,3,2,0,0,0,1,22.5,True
Hassan Whiteside,2,5,1,0,-2,3,15.7,True
Hassan Whiteside,1,2,1,0,0,1,10.8,True
Hassan Whiteside,1,10,1,0,0,1,12.0,True
Hassan Whiteside,2,7,1,0,0,1,15.5,True
Hassan Whiteside,4,6,1,0,0,1,8.6,True
Hassan Whiteside,2,7,1,0,0,1,13.5,True
Hassan Whiteside,1,9,0,0,0,1,12.8,True
Hassan Whiteside,4,11,1,0,-1,-1,24.0,True
Hassan Whiteside,2,6,1,0,0,1,13.4,True
Hassan Whiteside,1,6,1,0,0,1,24.0,True
Hassan Whiteside,1,4,1,0,0,1,16.1,True
Hassan Whiteside,4,4,1,0,0,1,6.1,True
Hassan Whiteside,4,1,1,0,0,1,14.5,True
Hassan Whiteside,1,7,1,0,0,1,24.0,True
Hassan Whiteside,2,9,1,0,0,1,24.0,True
Hassan Whiteside,4,1,1,0,0,1,8.5,True
Hassan Whiteside,4,0,1,0,0,1,6.6,True
Hassan Whiteside,1,6,1,0,0,1,1.1,True
Hassan Whiteside,1,10,1,0,0,1,12.1,True
Hassan Whiteside,2,8,0,0,0,1,19.2,True
Hassan Whiteside,2,1,1,0,0,1,10.1,True
Hassan Whiteside,2,1,1,0,0,1,13.4,True
Hassan Whiteside,4,4,1,0,0,1,13.8,True
Hassan Whiteside,1,5,1,0,0,1,24.0,True
Hassan Whiteside,1,9,1,0,0,1,24.0,True
Hassan Whiteside,1,5,1,0,0,1,24.0,True
Hassan Whiteside,2,1,1,0,0,1,12.0,True
Hassan Whiteside,1,3,1,0,0,4,10.3,True
Hassan Whiteside,3,0,0,2,-11,17,0.0,True
Hassan Whiteside,3,6,0,2,13,17,11.8,True
Hassan Whiteside,1,6,1,1,-8,11,24.0,True
Hassan Whiteside,1,9,1,1,-2,12,5.8,True
Hassan Whiteside,3,0,1,1,-8,9,0.0,True
Hassan Whiteside,3,8,1,0,0,1,14.2,True
Hassan Whiteside,1,11,1,3,7,33,7.8,True
Hassan Whiteside,1,4,1,5,0,52,20.0,True
Hassan Whiteside,4,3,1,4,40,25,7.1,True
Hassan Whiteside,3,3,0,0,6,6,21.0,True
Hassan Whiteside,4,6,1,1,13,6,6.0,True
Hassan Whiteside,3,8,0,0,2,6,11.0,True
Hassan Whiteside,2,3,0,2,21,4,10.8,True
Hassan Whiteside,3,11,1,2,17,11,6.6,True
Hassan Whiteside,3,8,1,1,-10,11,9.7,True
Hassan Whiteside,1,11,1,1,10,0,6.4,True
Hassan Whiteside,3,2,1,1,17,7,11.0,True
Hassan Whiteside,1,8,1,2,15,17,15.7,True
Hassan Whiteside,3,9,1,0,0,1,14.6,True
Hassan Whiteside,2,5,1,0,0,1,4.6,True
Hassan Whiteside,1,4,1,0,0,1,10.3,True
Hassan Whiteside,3,11,1,0,0,1,13.0,True
Hassan Whiteside,4,6,1,0,0,1,9.5,True
Hassan Whiteside,4,2,1,0,0,1,4.4,True
Hassan Whiteside,3,1,1,0,0,1,11.9,True
Hassan Whiteside,1,1,1,0,0,1,11.4,True
Hassan Whiteside,1,5,1,0,0,1,20.9,True
Hassan Whiteside,4,9,1,0,0,1,7.9,True
Hassan Whiteside,1,10,1,0,0,1,6.9,True
Hassan Whiteside,1,2,1,0,0,1,10.7,True
Hassan Whiteside,3,7,1,0,0,1,23.4,True
Hassan Whiteside,4,4,1,0,0,1,8.0,True
Hassan Whiteside,1,6,1,0,0,1,24.0,True
Hassan Whiteside,2,0,1,0,0,1,11.8,True
Hassan Whiteside,1,9,1,0,0,1,9.0,True
Hassan Whiteside,2,10,1,0,0,1,19.5,True
Hassan Whiteside,2,1,1,0,0,1,6.4,True
Hassan Whiteside,3,4,1,0,0,1,12.7,True
Hassan Whiteside,2,6,1,0,0,1,8.2,True
Hassan Whiteside,2,6,1,0,0,1,14.2,True
Hassan Whiteside,1,3,1,0,0,1,9.6,True
Hassan Whiteside,3,0,1,0,0,1,11.3,True
Hassan Whiteside,4,1,1,0,0,1,12.1,True
Hassan Whiteside,2,3,1,0,0,1,22.1,True
Hassan Whiteside,2,7,1,0,0,1,19.5,True
Hassan Whiteside,4,7,1,0,0,1,9.0,True
Hassan Whiteside,2,0,1,0,0,1,0.0,True
Hassan Whiteside,4,5,0,0,0,1,6.0,True
Hassan Whiteside,1,6,1,0,0,1,16.5,True
Hassan Whiteside,1,11,1,0,0,1,10.3,True
Hassan Whiteside,2,1,1,0,0,1,0.0,True
Hassan Whiteside,1,4,1,0,0,1,8.6,True
Hassan Whiteside,2,4,0,0,0,1,24.0,True
Hassan Whiteside,2,5,1,0,0,1,12.1,True
Hassan Whiteside,1,2,1,0,0,1,12.3,True
Hassan Whiteside,4,1,1,0,0,1,18.8,True
Hassan Whiteside,4,0,1,0,0,1,16.3,True
Hassan Whiteside,2,2,1,0,0,1,11.0,True
Hassan Whiteside,1,10,1,0,0,1,20.0,True
Hassan Whiteside,1,7,1,0,0,1,1.1,True
Hassan Whiteside,4,7,1,5,-11,50,6.2,True
Hassan Whiteside,1,9,1,4,1,44,12.7,True
Hassan Whiteside,1,1,1,2,-2,23,22.5,True
Hassan Whiteside,2,5,1,5,47,36,21.1,True
Hassan Whiteside,1,11,0,3,26,30,22.7,True
Hassan Whiteside,2,5,0,6,-29,53,13.7,True
Hassan Whiteside,4,6,1,3,-7,34,0.0,True
Hassan Whiteside,3,5,1,6,-4,69,21.1,True
Hassan Whiteside,2,2,0,7,15,75,23.8,True
Hassan Whiteside,1,7,0,9,-68,63,8.0,True
Hassan Whiteside,3,7,1,5,6,53,22.7,True
Hassan Whiteside,4,11,1,4,12,44,12.1,True
Hassan Whiteside,1,10,1,11,-51,104,12.1,True
Hassan Whiteside,1,10,1,8,78,41,4.5,True
Hassan Whiteside,1,9,1,3,0,31,22.2,True
Hassan Whiteside,4,4,0,5,51,12,12.1,True
Hassan Whiteside,2,2,1,6,-35,53,11.2,True
Hassan Whiteside,2,1,1,4,-46,11,5.1,True
Hassan Whiteside,2,5,1,8,21,78,6.9,True
Hassan Whiteside,1,8,1,6,0,61,18.3,True
Hassan Whiteside,3,10,1,5,50,11,8.1,True
Hassan Whiteside,2,6,0,6,24,64,8.9,True
Hassan Whiteside,3,0,0,2,-26,6,10.0,True
Hassan Whiteside,1,9,0,7,72,23,10.0,True
Hassan Whiteside,2,1,1,6,-4,61,24.0,True
Hassan Whiteside,1,1,1,2,0,25,1.3,True
Hassan Whiteside,4,6,1,6,31,53,22.9,True
Hassan Whiteside,3,10,0,7,73,6,14.1,True
Hassan Whiteside,3,5,1,8,61,55,9.3,True
Hassan Whiteside,1,7,0,4,45,1,10.2,True
Hassan Whiteside,3,11,1,5,24,47,24.0,True
Hassan Whiteside,1,10,0,9,45,83,6.3,True
Hassan Whiteside,2,10,0,6,48,44,14.0,True
Hassan Whiteside,3,1,0,6,10,64,3.0,True
Hassan Whiteside,1,6,0,10,-81,66,18.4,True
Hassan Whiteside,4,4,0,9,91,-2,10.7,True
Hassan Whiteside,2,2,1,5,-10,53,7.3,True
Hassan Whiteside,2,6,1,8,86,3,8.9,True
Hassan Whiteside,1,8,1,8,-4,85,0.0,True
Hassan Whiteside,3,5,0,6,48,42,23.3,True
Hassan Whiteside,2,2,1,8,21,80,22.0,True
Hassan Whiteside,1,8,1,7,-54,50,17.0,True
Hassan Whiteside,3,11,0,4,-26,37,14.2,True
Hassan Whiteside,4,3,1,3,18,25,8.0,True
Hassan Whiteside,3,11,0,7,-64,44,13.4,True
Hassan Whiteside,2,2,1,8,83,4,10.0,True
Hassan Whiteside,4,2,1,3,-4,39,1.5,True
Hassan Whiteside,1,4,1,7,0,74,21.0,True
Hassan Whiteside,4,0,1,8,-82,12,0.0,True
Hassan Whiteside,2,3,1,3,7,30,22.9,True
Hassan Whiteside,2,4,1,3,1,31,22.1,True
Hassan Whiteside,2,9,1,6,9,63,21.9,True
Hassan Whiteside,3,11,0,4,6,44,6.3,True
Hassan Whiteside,1,9,0,3,26,25,21.6,True
Hassan Whiteside,2,4,1,1,4,19,24.0,True
Hassan Whiteside,2,3,1,3,1,34,23.2,True
Hassan Whiteside,4,8,1,5,-56,17,11.0,True
Hassan Whiteside,1,6,0,5,-15,52,11.4,True
Hassan Whiteside,3,8,1,4,45,9,0.0,True
Hassan Whiteside,1,5,0,9,-7,91,5.5,True
Hassan Whiteside,2,4,1,4,43,22,3.6,True
Hassan Whiteside,1,0,1,2,23,19,3.0,True
Hassan Whiteside,4,3,1,3,-30,11,23.6,True
Hassan Whiteside,4,5,0,3,29,27,23.0,True
Hassan Whiteside,3,9,0,3,-15,34,22.6,True
Hassan Whiteside,2,0,0,6,2,61,0.0,True
Hassan Whiteside,3,4,0,5,-49,34,5.7,True
