name,period,minutes_remaining,shot_made_flag,shot_distance,x,y,shot_clock,shot_2pnt
Ish Smith,4,10,1,7,7,77,14.0,True
Ish Smith,4,9,0,3,-18,28,5.6,True
Ish Smith,4,0,1,3,2,30,5.3,True
Ish Smith,4,11,1,2,-24,0,10.4,True
Ish Smith,4,2,0,0,0,6,13.2,True
Ish Smith,4,4,1,1,15,7,18.5,True
Ish Smith,4,0,1,0,2,9,22.5,True
Ish Smith,4,1,1,1,9,7,21.2,True
Ish Smith,4,9,0,2,29,0,18.7,True
Ish Smith,5,1,1,0,2,3,13.3,True
Ish Smith,2,0,1,0,7,3,8.3,True
Ish Smith,4,6,1,0,1,1,14.4,True
Ish Smith,4,8,1,1,-15,3,9.6,True
Ish Smith,1,0,0,2,26,4,9.4,True
Ish Smith,4,1,0,1,-16,0,11.9,True
Ish Smith,4,9,1,0,0,1,20.0,True
Ish Smith,3,0,1,4,20,44,8.4,True
Ish Smith,4,1,1,26,129,227,2.9,False
Ish Smith,2,0,0,23,-226,77,0.2,False
Ish Smith,4,0,0,7,-64,33,17.9,True
Ish Smith,4,3,0,8,72,52,16.4,True
Ish Smith,1,2,0,3,21,22,4.7,True
Ish Smith,4,8,0,25,-106,227,5.1,False
Ish Smith,4,9,0,3,-2,31,24.0,True
Ish Smith,4,1,0,24,18,249,23.7,False
Ish Smith,2,2,0,8,-79,37,8.0,True
Ish Smith,4,11,0,24,114,222,11.4,False
Ish Smith,2,11,0,8,69,47,13.9,True
Ish Smith,4,2,0,6,61,26,3.3,True
Ish Smith,2,9,0,5,32,39,6.3,True
Ish Smith,4,2,0,3,-16,36,6.7,True
Ish Smith,4,4,0,20,-191,60,0.0,True
Ish Smith,4,9,0,0,0,1,16.9,True
Ish Smith,4,9,0,2,-15,17,19.9,True
Ish Smith,4,0,0,1,-16,9,22.1,True
Ish Smith,4,7,0,1,13,0,18.0,True
Ish Smith,4,2,0,2,28,7,18.8,True
Ish Smith,4,2,0,1,0,17,0.0,True
Ish Smith,4,10,1,4,9,42,13.3,True
Ish Smith,4,8,0,11,108,48,6.8,True
Ish Smith,4,0,0,8,78,34,12.0,True
Ish Smith,4,7,0,6,58,28,13.2,True
Ish Smith,2,9,0,9,20,89,19.7,True
Ish Smith,4,7,0,4,15,44,15.1,True
Ish Smith,2,10,1,2,20,-3,16.2,True
Ish Smith,4,3,1,5,10,50,14.0,True
Ish Smith,3,3,1,6,10,67,7.9,True
Ish Smith,4,7,1,5,45,30,13.4,True
Ish Smith,1,6,1,4,48,0,8.8,True
Ish Smith,4,1,1,3,-34,17,14.1,True
Ish Smith,3,7,1,5,53,20,10.0,True
Ish Smith,4,1,1,13,-114,67,19.7,True
Ish Smith,4,8,1,3,36,-14,13.1,True
Ish Smith,3,2,1,0,0,1,11.9,True
Ish Smith,1,6,1,1,9,14,3.1,True
Ish Smith,2,6,1,1,6,17,18.5,True
Ish Smith,1,6,1,2,23,-3,16.7,True
Ish Smith,3,5,1,0,-2,3,13.7,True
Ish Smith,1,9,1,1,13,0,17.4,True
Ish Smith,1,0,0,4,12,45,0.0,True
Ish Smith,3,5,1,1,2,12,10.5,True
Ish Smith,1,4,0,8,67,50,17.2,True
Ish Smith,1,6,1,0,9,1,15.5,True
Ish Smith,1,9,1,2,28,-6,12.0,True
Ish Smith,2,3,1,2,-15,23,8.9,True
Ish Smith,4,4,0,3,-5,31,15.5,True
Ish Smith,4,6,0,2,-10,28,6.4,True
Ish Smith,4,2,1,2,-4,25,6.7,True
