name,period,minutes_remaining,shot_made_flag,shot_distance,x,y,shot_clock,shot_2pnt
JJ Hickson,1,5,1,0,0,1,24.0,True
JJ Hickson,1,3,1,0,0,1,15.3,True
JJ Hickson,2,9,1,0,0,1,13.5,True
JJ Hickson,4,8,1,0,0,1,18.0,True
JJ Hickson,2,0,1,0,0,1,15.0,True
JJ Hickson,4,8,0,0,0,1,16.7,True
JJ Hickson,1,2,1,0,0,1,15.0,True
JJ Hickson,2,10,0,0,0,1,17.3,True
JJ Hickson,4,1,1,0,0,1,5.1,True
JJ Hickson,2,9,1,0,0,1,13.2,True
JJ Hickson,1,1,1,0,0,1,24.0,True
JJ Hickson,1,1,1,0,0,1,18.8,True
JJ Hickson,3,1,1,0,0,7,19.1,True
JJ Hickson,3,6,0,1,17,4,15.8,True
JJ Hickson,1,0,0,1,17,1,17.5,True
JJ Hickson,2,11,1,0,-5,3,18.3,True
JJ Hickson,2,8,1,2,-15,22,12.8,True
JJ Hickson,2,8,0,1,13,3,16.1,True
JJ Hickson,3,3,1,0,0,1,8.2,True
JJ Hickson,1,0,1,0,0,1,15.4,True
JJ Hickson,3,11,1,0,0,1,18.0,True
JJ Hickson,4,11,1,0,0,1,12.0,True
JJ Hickson,4,3,1,0,0,1,9.3,True
JJ Hickson,1,10,1,2,-5,22,13.0,True
JJ Hickson,4,9,0,3,15,31,10.2,True
JJ Hickson,1,3,1,4,-4,42,11.8,True
JJ Hickson,4,7,0,5,-35,42,6.4,True
JJ Hickson,2,9,1,0,-2,-5,18.1,True
JJ Hickson,3,0,1,0,4,4,0.0,True
JJ Hickson,3,9,0,3,4,34,12.0,True
JJ Hickson,3,8,1,2,21,-2,10.9,True
JJ Hickson,3,6,1,1,13,7,13.2,True
JJ Hickson,1,9,1,1,18,-2,20.2,True
JJ Hickson,4,3,1,0,0,7,7.7,True
JJ Hickson,1,10,1,3,21,28,13.0,True
JJ Hickson,1,3,1,0,-5,6,17.9,True
JJ Hickson,2,8,1,0,7,1,17.5,True
JJ Hickson,2,7,1,2,20,0,11.5,True
JJ Hickson,1,5,1,1,13,4,20.9,True
JJ Hickson,4,5,1,1,6,11,3.1,True
JJ Hickson,1,7,0,0,0,1,14.3,True
JJ Hickson,3,1,1,0,0,1,12.7,True
JJ Hickson,1,2,1,0,0,1,5.6,True
JJ Hickson,1,1,1,0,0,1,20.2,True
JJ Hickson,3,3,1,0,0,1,18.2,True
JJ Hickson,2,10,1,0,0,1,19.4,True
JJ Hickson,3,0,1,0,0,1,4.2,True
JJ Hickson,2,6,1,0,0,1,9.0,True
JJ Hickson,1,0,1,0,0,1,9.0,True
JJ Hickson,2,8,1,0,0,1,12.5,True
JJ Hickson,1,0,1,0,0,1,12.6,True
JJ Hickson,1,2,1,0,0,1,15.0,True
JJ Hickson,4,2,1,0,0,1,12.3,True
JJ Hickson,2,9,1,0,0,1,10.0,True
JJ Hickson,4,10,1,0,0,1,13.8,True
JJ Hickson,1,0,1,0,0,1,11.2,True
JJ Hickson,3,11,1,0,0,1,15.6,True
JJ Hickson,1,1,1,0,0,1,7.6,True
JJ Hickson,3,6,1,0,0,1,14.5,True
JJ Hickson,1,1,1,0,0,1,21.2,True
JJ Hickson,4,7,1,0,0,1,16.5,True
JJ Hickson,3,1,1,0,0,1,8.0,True
JJ Hickson,4,10,1,0,0,1,24.0,True
JJ Hickson,3,0,1,0,0,1,16.0,True
