name,period,minutes_remaining,shot_made_flag,shot_distance,x,y,shot_clock,shot_2pnt
Jae Crowder,2,0,1,0,1,-8,0.0,True
Jae Crowder,4,1,1,0,-2,1,11.0,True
Jae Crowder,2,1,1,1,17,0,18.5,True
Jae Crowder,3,2,0,0,0,1,21.7,True
Jae Crowder,4,5,1,0,0,1,21.1,True
Jae Crowder,4,3,1,0,4,0,20.9,True
Jae Crowder,2,7,0,2,18,22,14.8,True
Jae Crowder,3,6,1,0,2,0,20.2,True
Jae Crowder,2,6,1,0,4,-6,18.4,True
Jae Crowder,4,5,1,2,26,14,12.2,True
Jae Crowder,4,9,1,0,2,9,21.1,True
Jae Crowder,2,2,1,1,0,17,20.2,True
Jae Crowder,2,3,1,2,-21,6,19.5,True
Jae Crowder,1,0,0,3,-18,26,0.0,True
Jae Crowder,4,4,1,5,32,39,13.0,True
Jae Crowder,2,9,0,6,53,41,8.1,True
Jae Crowder,3,0,1,2,-23,-3,20.0,True
Jae Crowder,4,7,1,2,26,4,14.2,True
Jae Crowder,3,8,0,1,17,-6,12.0,True
Jae Crowder,4,1,1,2,26,14,20.9,True
Jae Crowder,2,3,1,2,20,0,8.0,True
Jae Crowder,4,1,1,1,18,0,22.0,True
Jae Crowder,2,9,1,1,9,-5,21.0,True
Jae Crowder,2,2,1,1,7,-10,21.1,True
Jae Crowder,2,10,0,1,0,15,21.1,True
Jae Crowder,2,10,1,0,0,-5,10.2,True
Jae Crowder,3,2,0,2,-24,0,12.8,True
Jae Crowder,3,1,1,0,2,1,12.8,True
Jae Crowder,3,8,0,2,28,3,13.3,True
Jae Crowder,1,1,0,2,-27,4,18.3,True
Jae Crowder,3,0,1,0,4,0,14.9,True
Jae Crowder,4,11,0,2,-26,4,19.7,True
Jae Crowder,2,10,0,0,1,9,12.1,True
Jae Crowder,3,3,1,0,1,9,22.0,True
Jae Crowder,1,3,1,2,1,20,11.9,True
Jae Crowder,3,7,0,1,-19,0,18.7,True
Jae Crowder,3,0,1,2,15,17,19.6,True
Jae Crowder,4,0,1,1,10,17,0.0,True
Jae Crowder,2,7,1,0,6,4,14.4,True
Jae Crowder,4,4,1,3,29,23,12.4,True
Jae Crowder,1,1,0,0,4,0,11.2,True
Jae Crowder,3,6,1,1,7,14,18.6,True
Jae Crowder,1,1,1,1,0,-10,11.9,True
Jae Crowder,2,11,0,2,-23,14,11.2,True
Jae Crowder,1,2,1,0,0,1,15.7,True
Jae Crowder,1,2,1,0,0,1,20.2,True
Jae Crowder,1,1,1,0,0,1,21.0,True
Jae Crowder,2,9,1,0,0,1,21.0,True
Jae Crowder,3,1,1,0,0,1,20.9,True
Jae Crowder,4,0,0,0,0,1,22.3,True
Jae Crowder,3,1,1,0,0,1,11.9,True
Jae Crowder,4,6,1,0,0,1,22.0,True
Jae Crowder,2,7,0,7,-71,25,5.1,True
Jae Crowder,3,8,0,6,13,67,11.4,True
Jae Crowder,2,8,1,13,124,58,5.7,True
