name,period,minutes_remaining,shot_made_flag,shot_distance,x,y,shot_clock,shot_2pnt
James Johnson,2,6,1,0,0,1,10.7,True
James Johnson,2,8,1,0,0,1,22.7,True
James Johnson,2,7,1,0,0,1,19.5,True
James Johnson,4,8,1,2,-24,11,14.9,True
James Johnson,3,5,1,2,29,4,19.1,True
James Johnson,4,3,1,2,-18,11,1.2,True
James Johnson,1,7,1,2,26,14,17.6,True
James Johnson,2,9,1,1,-11,3,2.5,True
James Johnson,4,8,1,5,53,19,10.7,True
James Johnson,2,6,1,0,0,1,15.5,True
James Johnson,2,10,1,0,0,1,14.0,True
James Johnson,3,6,1,0,0,1,24.0,True
James Johnson,4,7,1,0,0,1,10.0,True
James Johnson,3,8,1,0,0,1,19.1,True
James Johnson,2,6,1,0,0,1,24.0,True
James Johnson,3,11,1,0,0,1,21.7,True
James Johnson,2,0,1,0,0,1,5.3,True
James Johnson,4,7,1,0,0,1,9.6,True
James Johnson,4,5,1,0,1,0,22.1,True
James Johnson,1,0,0,3,7,33,13.7,True
James Johnson,2,10,0,2,-26,14,11.0,True
James Johnson,3,2,1,2,9,20,17.4,True
James Johnson,1,6,0,2,-8,25,20.3,True
James Johnson,3,8,0,2,0,26,5.9,True
James Johnson,4,9,1,3,29,12,5.4,True
James Johnson,2,8,0,5,6,50,11.5,True
James Johnson,2,1,1,1,0,14,16.0,True
James Johnson,3,5,1,2,9,26,18.1,True
James Johnson,2,9,1,3,-4,36,11.2,True
James Johnson,2,8,1,2,-13,17,10.0,True
James Johnson,4,11,0,2,0,23,12.3,True
James Johnson,3,10,1,2,12,26,14.8,True
James Johnson,3,1,1,3,0,31,11.0,True
James Johnson,2,6,1,3,0,39,5.4,True
James Johnson,4,1,0,6,48,44,6.5,True
James Johnson,1,5,1,5,42,36,15.9,True
James Johnson,3,7,0,4,43,9,10.0,True
James Johnson,2,7,0,4,-18,42,21.2,True
James Johnson,2,3,0,3,7,34,6.2,True
James Johnson,2,7,0,4,7,48,6.3,True
James Johnson,1,0,0,4,40,9,17.9,True
James Johnson,2,7,0,5,53,12,13.7,True
James Johnson,2,9,1,4,-5,45,9.4,True
James Johnson,4,8,1,3,1,30,8.6,True
James Johnson,4,7,1,3,6,36,12.3,True
James Johnson,1,3,0,2,-23,12,14.0,True
James Johnson,2,8,1,4,23,37,21.0,True
James Johnson,4,2,0,4,-43,15,4.1,True
James Johnson,1,1,1,3,-21,22,11.7,True
James Johnson,4,8,1,7,72,23,5.5,True
James Johnson,3,0,1,2,-11,22,7.5,True
James Johnson,3,3,0,3,32,22,12.6,True
James Johnson,4,7,0,1,15,9,15.5,True
James Johnson,1,5,1,2,23,3,5.9,True
James Johnson,2,2,0,1,12,15,20.7,True
James Johnson,1,6,1,2,1,22,13.2,True
James Johnson,2,2,0,3,28,11,15.5,True
James Johnson,1,11,1,3,-32,12,6.8,True
James Johnson,4,9,1,2,2,20,7.9,True
James Johnson,1,11,1,0,-7,-2,18.3,True
James Johnson,3,1,0,3,-32,3,5.3,True
James Johnson,4,9,0,3,0,36,9.7,True
James Johnson,2,7,1,1,18,6,9.7,True
James Johnson,4,7,1,2,26,14,11.0,True
James Johnson,3,1,1,2,-27,-2,13.7,True
James Johnson,1,1,1,1,-13,11,5.5,True
James Johnson,2,10,1,2,0,20,6.5,True
James Johnson,2,3,1,2,20,1,3.9,True
James Johnson,3,3,1,1,-10,-5,1.5,True
James Johnson,3,0,1,2,-23,12,12.0,True
James Johnson,3,3,1,4,39,17,12.0,True
James Johnson,2,1,0,4,34,22,4.2,True
James Johnson,2,9,1,1,15,6,18.8,True
James Johnson,2,7,1,2,21,12,19.1,True
James Johnson,4,8,1,0,4,0,16.6,True
James Johnson,2,2,1,3,-23,20,11.5,True
James Johnson,4,6,0,2,-21,7,0.4,True
James Johnson,2,6,0,3,34,-2,18.8,True
James Johnson,3,0,0,2,23,-2,10.1,True
James Johnson,1,0,0,1,-13,6,9.0,True
James Johnson,2,11,0,2,24,6,10.5,True
James Johnson,4,9,1,0,7,0,19.5,True
James Johnson,2,2,1,1,-18,4,11.0,True
James Johnson,1,5,1,1,-16,9,13.7,True
James Johnson,1,4,1,2,-24,9,8.0,True
James Johnson,2,0,0,3,9,33,16.5,True
James Johnson,2,7,1,0,-8,0,12.9,True
James Johnson,2,7,0,2,21,4,18.1,True
James Johnson,4,9,1,2,-26,4,6.9,True
James Johnson,2,3,1,1,-15,1,17.2,True
James Johnson,4,9,1,2,21,1,18.9,True
James Johnson,3,11,1,2,21,12,10.8,True
James Johnson,3,0,1,1,13,15,7.9,True
James Johnson,4,6,1,3,-32,0,3.4,True
James Johnson,2,10,0,1,6,9,18.6,True
James Johnson,4,10,1,1,10,-5,7.4,True
James Johnson,2,4,1,1,18,7,10.8,True
James Johnson,3,11,1,2,21,9,18.3,True
James Johnson,2,7,0,2,18,20,14.3,True
James Johnson,4,8,1,1,-11,0,11.0,True
James Johnson,4,9,1,4,43,17,11.4,True
James Johnson,3,4,1,3,-21,23,12.1,True
James Johnson,2,10,1,0,2,0,23.0,True
James Johnson,4,7,1,3,32,4,13.5,True
James Johnson,4,8,0,3,37,9,22.1,True
James Johnson,3,6,1,0,1,6,2.5,True
James Johnson,3,10,1,1,-11,9,9.8,True
James Johnson,4,10,0,4,34,25,2.4,True
James Johnson,2,4,1,1,-11,9,15.4,True
