name,period,minutes_remaining,shot_made_flag,shot_distance,x,y,shot_clock,shot_2pnt
James Jones,4,1,1,0,-2,0,8.9,True
James Jones,1,0,1,9,89,30,8.4,True
James Jones,4,1,0,24,-239,36,20.6,False
James Jones,4,0,0,25,-144,206,16.5,False
James Jones,4,0,0,25,-150,201,14.7,False
James Jones,4,3,1,24,-234,69,15.4,False
James Jones,4,3,1,23,239,-6,19.5,False
James Jones,2,10,1,23,-232,-5,11.7,False
James Jones,2,10,1,23,236,1,6.6,False
James Jones,3,0,0,12,61,104,9.9,True
James Jones,1,0,0,24,228,96,7.0,False
James Jones,2,10,1,25,220,127,12.1,False
James Jones,2,9,1,22,-221,-19,9.0,False
James Jones,2,6,1,28,159,235,10.8,False
James Jones,4,3,0,26,23,268,7.7,False
James Jones,4,2,1,24,173,172,10.4,False
James Jones,4,6,1,25,192,165,7.6,False
James Jones,4,6,1,26,136,230,13.2,False
James Jones,4,10,0,24,-243,8,12.1,False
James Jones,4,2,1,25,201,151,9.9,False
James Jones,3,7,1,22,-229,14,18.0,False
James Jones,4,6,1,24,209,135,14.3,False
James Jones,4,4,1,22,-228,3,22.0,False
James Jones,4,0,0,22,-229,17,0.0,False
James Jones,2,11,1,26,133,224,22.2,False
James Jones,4,9,1,22,228,12,6.9,False
James Jones,4,4,1,25,211,149,17.9,False
James Jones,1,1,0,23,234,7,11.7,False
James Jones,3,3,1,23,-234,48,14.7,False
James Jones,2,9,1,26,162,214,11.0,False
James Jones,2,8,1,25,165,197,8.0,False
James Jones,4,10,1,22,-221,-10,12.4,False
James Jones,4,4,0,26,133,224,10.6,False
James Jones,3,6,0,26,124,236,13.6,False
James Jones,3,0,1,26,-194,175,6.5,False
James Jones,2,2,0,26,18,263,11.8,False
James Jones,3,7,0,24,-239,50,16.2,False
James Jones,2,5,1,26,-7,263,14.2,False
James Jones,3,1,1,22,-223,42,4.5,False
James Jones,4,10,0,20,-157,138,10.2,True
James Jones,1,0,1,26,121,236,0.0,False
James Jones,4,8,1,26,-127,236,18.2,False
James Jones,4,7,0,26,-127,228,8.5,False
James Jones,1,11,1,25,-215,132,19.4,False
James Jones,2,1,0,25,-18,257,4.1,False
James Jones,4,1,0,25,70,249,6.8,False
James Jones,2,1,0,23,230,17,18.3,False
