name,period,minutes_remaining,shot_made_flag,shot_distance,x,y,shot_clock,shot_2pnt
Jason Thompson,1,11,0,2,29,7,24.0,True
Jason Thompson,2,1,0,2,21,-5,17.4,True
Jason Thompson,1,11,1,0,0,1,18.4,True
Jason Thompson,2,10,1,0,0,1,15.8,True
Jason Thompson,1,11,1,2,26,14,19.0,True
Jason Thompson,3,9,0,2,21,11,8.9,True
Jason Thompson,4,5,1,1,-10,17,11.8,True
Jason Thompson,1,8,0,2,-26,-11,6.9,True
Jason Thompson,3,1,1,1,0,19,7.4,True
Jason Thompson,3,6,0,0,0,1,10.2,True
Jason Thompson,2,4,0,0,0,1,12.3,True
Jason Thompson,1,9,1,0,0,1,13.7,True
Jason Thompson,2,8,1,0,0,1,15.0,True
Jason Thompson,1,3,1,0,0,1,24.0,True
Jason Thompson,2,0,1,0,0,1,10.7,True
Jason Thompson,3,3,1,0,0,1,5.1,True
Jason Thompson,4,1,1,0,0,1,2.2,True
Jason Thompson,4,8,0,0,0,1,13.0,True
Jason Thompson,1,4,0,0,0,1,17.0,True
Jason Thompson,1,11,1,0,0,1,14.4,True
Jason Thompson,4,9,1,0,0,1,16.5,True
Jason Thompson,1,2,1,0,0,1,16.3,True
Jason Thompson,1,3,1,0,0,1,24.0,True
Jason Thompson,4,8,0,0,0,1,14.0,True
Jason Thompson,3,5,1,0,0,1,10.7,True
Jason Thompson,1,6,1,0,0,1,18.0,True
Jason Thompson,1,8,1,0,0,1,11.3,True
Jason Thompson,1,0,1,0,0,1,18.0,True
Jason Thompson,2,3,1,0,0,1,11.8,True
Jason Thompson,2,2,0,0,0,1,20.4,True
Jason Thompson,2,8,1,0,0,1,13.9,True
Jason Thompson,2,11,0,0,0,1,9.2,True
Jason Thompson,4,10,1,0,0,1,17.3,True
Jason Thompson,2,6,1,0,0,1,12.1,True
Jason Thompson,3,11,1,16,6,167,7.3,True
Jason Thompson,2,5,0,15,141,53,0.7,True
Jason Thompson,3,1,1,4,-27,37,13.8,True
Jason Thompson,1,1,0,9,21,97,11.5,True
Jason Thompson,1,0,1,9,-26,88,5.8,True
Jason Thompson,1,2,1,15,6,157,6.6,True
Jason Thompson,1,11,1,15,83,135,11.9,True
Jason Thompson,1,9,1,6,-7,61,12.1,True
Jason Thompson,4,1,1,6,-4,63,13.1,True
Jason Thompson,3,2,1,5,13,55,8.3,True
Jason Thompson,4,4,1,7,-10,77,5.9,True
Jason Thompson,1,1,1,6,65,15,6.5,True
Jason Thompson,1,0,1,7,-7,78,4.2,True
Jason Thompson,2,10,1,4,6,46,24.0,True
Jason Thompson,1,9,0,8,7,82,13.8,True
Jason Thompson,3,10,0,6,4,63,14.3,True
Jason Thompson,3,5,0,6,-8,61,8.8,True
Jason Thompson,1,10,0,7,-48,52,10.0,True
Jason Thompson,1,11,1,12,127,12,10.1,True
Jason Thompson,1,11,1,8,80,26,8.0,True
Jason Thompson,3,9,1,3,-30,19,13.7,True
Jason Thompson,1,9,1,9,91,14,15.6,True
Jason Thompson,1,3,1,22,12,225,11.9,True
Jason Thompson,4,6,0,5,6,50,13.7,True
Jason Thompson,1,11,1,8,-73,33,10.0,True
Jason Thompson,1,4,1,8,34,77,5.9,True
Jason Thompson,1,11,0,5,15,50,17.1,True
Jason Thompson,3,2,0,7,-11,72,2.7,True
Jason Thompson,1,8,1,6,13,67,14.0,True
