name,period,minutes_remaining,shot_made_flag,shot_distance,x,y,shot_clock,shot_2pnt
Jerami Grant,2,7,1,0,0,1,24.0,True
Jerami Grant,2,0,0,4,45,-13,0.0,True
Jerami Grant,2,8,1,4,39,20,12.6,True
Jerami Grant,2,9,1,0,0,1,20.5,True
Jerami Grant,4,6,1,0,0,1,18.7,True
Jerami Grant,1,2,1,0,0,1,16.1,True
Jerami Grant,2,11,1,2,23,-3,1.4,True
Jerami Grant,2,10,1,1,12,6,19.8,True
Jerami Grant,4,1,1,2,-10,19,12.1,True
Jerami Grant,3,5,1,0,1,7,7.6,True
Jerami Grant,2,1,1,1,9,-5,17.4,True
Jerami Grant,2,10,0,0,-5,3,20.9,True
Jerami Grant,1,2,1,1,15,12,17.6,True
Jerami Grant,3,7,1,3,24,22,5.3,True
Jerami Grant,3,4,0,2,24,7,4.8,True
Jerami Grant,1,1,1,1,17,1,14.1,True
Jerami Grant,1,6,0,1,17,-2,14.4,True
Jerami Grant,4,7,0,0,4,6,12.5,True
Jerami Grant,1,0,1,0,1,0,0.0,True
Jerami Grant,2,1,0,2,24,11,12.4,True
Jerami Grant,1,1,1,0,4,7,18.3,True
Jerami Grant,1,4,1,0,1,9,10.9,True
Jerami Grant,1,0,1,1,-11,7,20.1,True
Jerami Grant,4,5,1,2,23,3,15.9,True
Jerami Grant,2,4,1,1,-8,6,12.4,True
Jerami Grant,3,2,1,1,4,17,9.4,True
Jerami Grant,4,3,1,1,-15,3,19.1,True
Jerami Grant,1,3,1,0,7,7,6.2,True
Jerami Grant,1,2,1,2,-21,15,19.2,True
Jerami Grant,2,5,1,0,0,1,11.0,True
Jerami Grant,2,4,1,0,0,1,20.6,True
Jerami Grant,4,0,1,0,0,1,0.0,True
Jerami Grant,4,7,1,0,0,1,5.0,True
Jerami Grant,3,2,1,0,0,1,22.9,True
Jerami Grant,1,7,1,0,0,1,18.6,True
Jerami Grant,1,11,1,0,0,1,4.9,True
Jerami Grant,3,0,1,0,0,1,13.5,True
Jerami Grant,3,0,0,0,0,1,14.6,True
Jerami Grant,3,4,1,0,0,1,15.4,True
Jerami Grant,4,6,1,0,0,1,21.1,True
Jerami Grant,2,2,1,7,-34,71,9.8,True
Jerami Grant,1,0,0,12,113,50,8.9,True
Jerami Grant,2,10,0,26,149,217,9.3,False
Jerami Grant,3,6,0,25,88,238,5.1,False
Jerami Grant,1,0,0,10,106,1,1.2,True
Jerami Grant,1,3,1,17,176,14,18.0,True
Jerami Grant,3,0,1,27,206,178,14.8,False
Jerami Grant,4,7,0,10,1,102,3.6,True
Jerami Grant,4,8,1,12,127,1,14.5,True
Jerami Grant,3,4,0,24,-248,-6,10.3,False
Jerami Grant,3,2,1,22,-226,-14,7.6,False
Jerami Grant,4,5,1,26,149,214,7.2,False
Jerami Grant,1,5,1,17,176,0,16.3,True
Jerami Grant,3,0,0,24,177,173,4.0,False
Jerami Grant,2,1,0,4,40,6,0.5,True
Jerami Grant,2,5,1,23,-231,4,10.8,False
Jerami Grant,2,5,0,20,119,162,13.1,True
Jerami Grant,3,0,0,26,121,233,17.8,False
Jerami Grant,1,8,1,25,-119,231,15.4,False
Jerami Grant,2,6,0,25,97,239,7.0,False
Jerami Grant,4,2,0,25,-64,242,15.4,False
Jerami Grant,3,11,0,25,42,250,14.8,False
Jerami Grant,1,10,0,22,-223,0,11.2,False
Jerami Grant,2,1,0,25,-27,255,11.4,False
Jerami Grant,4,11,1,25,2,250,19.0,False
Jerami Grant,1,6,0,25,-89,242,17.4,False
Jerami Grant,3,0,0,16,-158,47,10.0,True
Jerami Grant,3,6,0,23,-226,72,17.5,False
Jerami Grant,3,0,0,22,-223,1,15.0,False
Jerami Grant,4,5,1,26,-67,257,15.1,False
Jerami Grant,2,4,0,12,-71,105,11.4,True
Jerami Grant,3,1,0,26,-183,186,14.7,False
Jerami Grant,3,7,0,23,236,25,6.9,False
Jerami Grant,2,10,1,23,-237,25,17.8,False
Jerami Grant,1,0,1,20,-82,190,15.2,True
Jerami Grant,4,8,0,26,-172,205,10.8,False
Jerami Grant,3,6,0,3,1,34,17.3,True
Jerami Grant,2,0,0,19,198,-2,1.8,True
Jerami Grant,2,3,0,16,-157,48,11.4,True
Jerami Grant,2,11,0,19,152,115,4.8,True
Jerami Grant,4,11,0,23,-232,6,19.0,False
Jerami Grant,4,6,1,26,31,260,9.4,False
Jerami Grant,2,5,0,15,7,156,15.5,True
Jerami Grant,4,9,0,24,167,176,13.9,False
Jerami Grant,4,7,0,23,229,43,16.9,False
Jerami Grant,3,2,1,23,237,1,13.9,False
Jerami Grant,2,3,1,24,-7,242,18.0,False
Jerami Grant,4,4,0,10,4,101,24.0,True
Jerami Grant,2,11,1,27,-196,194,18.0,False
Jerami Grant,3,0,0,26,171,201,0.0,False
Jerami Grant,2,1,0,16,160,53,19.7,True
Jerami Grant,4,1,0,27,212,170,16.5,False
Jerami Grant,4,1,0,26,-123,238,15.3,False
Jerami Grant,4,11,0,4,29,37,15.6,True
