name,period,minutes_remaining,shot_made_flag,shot_distance,x,y,shot_clock,shot_2pnt
Jordan Farmar,4,10,1,2,9,23,17.1,True
Jordan Farmar,4,10,1,0,4,4,9.0,True
Jordan Farmar,2,11,0,2,29,6,11.7,True
Jordan Farmar,2,7,1,1,-16,7,1.7,True
Jordan Farmar,4,10,1,2,-26,11,7.0,True
Jordan Farmar,2,9,1,2,-16,12,15.7,True
Jordan Farmar,2,10,1,1,10,0,7.8,True
Jordan Farmar,2,9,1,1,13,12,8.3,True
Jordan Farmar,2,7,1,1,-11,-3,9.3,True
Jordan Farmar,2,10,0,20,-158,137,8.0,True
Jordan Farmar,4,7,1,4,0,44,9.7,True
Jordan Farmar,4,1,0,7,70,25,4.5,True
Jordan Farmar,4,5,0,16,0,168,6.9,True
Jordan Farmar,2,11,1,29,-164,250,2.3,False
Jordan Farmar,2,9,0,3,-23,20,11.0,True
Jordan Farmar,2,8,1,26,-18,261,4.3,False
Jordan Farmar,4,9,1,13,102,88,11.0,True
Jordan Farmar,2,8,1,23,234,1,6.5,False
Jordan Farmar,3,0,1,23,-235,11,8.5,False
Jordan Farmar,2,10,1,23,230,53,19.5,False
Jordan Farmar,2,8,0,16,31,165,0.0,True
Jordan Farmar,4,11,0,24,1,249,16.3,False
Jordan Farmar,1,1,1,23,234,19,8.3,False
Jordan Farmar,3,1,0,24,159,190,0.6,False
Jordan Farmar,2,7,0,20,132,151,16.1,True
Jordan Farmar,2,6,0,25,173,181,14.0,False
Jordan Farmar,2,7,1,26,122,231,15.7,False
Jordan Farmar,4,11,1,25,40,252,5.8,False
Jordan Farmar,4,5,1,24,-163,179,9.8,False
Jordan Farmar,2,6,1,24,-198,149,12.8,False
Jordan Farmar,2,8,1,18,187,23,14.9,True
Jordan Farmar,4,9,1,26,-60,258,11.1,False
Jordan Farmar,2,9,1,20,-34,203,7.9,True
Jordan Farmar,3,0,1,18,-185,-17,11.0,True
Jordan Farmar,4,10,1,25,-123,219,20.6,False
Jordan Farmar,4,9,1,24,-172,179,12.0,False
Jordan Farmar,2,9,1,26,129,236,9.6,False
Jordan Farmar,4,7,1,24,-130,206,15.1,False
Jordan Farmar,4,1,1,26,141,225,11.7,False
Jordan Farmar,4,11,1,23,-231,37,9.2,False
Jordan Farmar,2,7,1,19,196,34,15.5,True
Jordan Farmar,3,1,1,24,-223,91,10.2,False
Jordan Farmar,4,11,1,24,168,181,8.6,False
Jordan Farmar,1,0,1,24,-169,183,2.2,False
Jordan Farmar,2,8,1,16,127,108,16.2,True
Jordan Farmar,2,8,1,25,138,216,4.0,False
Jordan Farmar,2,5,1,22,37,220,12.7,True
Jordan Farmar,4,4,1,25,-168,186,9.1,False
Jordan Farmar,2,10,1,12,95,86,9.4,True
Jordan Farmar,2,7,0,23,233,-14,21.1,False
Jordan Farmar,4,10,1,26,-157,213,5.0,False
Jordan Farmar,2,10,0,26,132,230,1.6,False
Jordan Farmar,4,10,0,16,-166,17,1.5,True
Jordan Farmar,2,11,1,22,-228,1,13.0,False
Jordan Farmar,3,0,0,22,-27,222,16.0,True
Jordan Farmar,4,10,1,19,102,164,13.2,True
Jordan Farmar,4,8,1,25,-157,201,10.0,False
Jordan Farmar,4,10,1,27,-144,230,12.1,False
Jordan Farmar,3,0,0,25,190,168,0.0,False
Jordan Farmar,1,0,1,25,144,209,0.0,False
Jordan Farmar,2,6,1,24,190,157,13.4,False
Jordan Farmar,4,0,1,24,-153,190,18.4,False
Jordan Farmar,4,11,1,26,-168,205,5.6,False
Jordan Farmar,4,6,1,25,-223,116,7.0,False
Jordan Farmar,4,9,1,20,-187,88,12.9,True
Jordan Farmar,2,8,0,25,125,224,15.7,False
Jordan Farmar,2,8,0,20,125,157,16.2,True
Jordan Farmar,4,11,0,24,147,194,13.9,False
Jordan Farmar,4,10,0,23,234,17,5.9,False
Jordan Farmar,2,11,0,22,-226,-6,9.3,False
Jordan Farmar,4,7,1,26,233,123,9.2,False
Jordan Farmar,2,9,0,25,147,203,9.3,False
Jordan Farmar,4,9,0,28,-166,236,1.0,False
Jordan Farmar,1,0,0,27,-108,257,0.0,False
Jordan Farmar,2,7,1,24,-161,189,16.6,False
Jordan Farmar,1,0,0,26,116,235,19.1,False
Jordan Farmar,1,0,0,23,236,11,4.8,False
Jordan Farmar,2,9,0,26,-41,261,20.5,False
Jordan Farmar,2,10,0,25,-161,192,7.1,False
Jordan Farmar,4,6,0,25,116,227,12.4,False
Jordan Farmar,4,10,0,26,-114,239,9.0,False
Jordan Farmar,2,11,0,26,231,137,16.7,False
