name,period,minutes_remaining,shot_made_flag,shot_distance,x,y,shot_clock,shot_2pnt
Justin Holiday,3,5,1,0,0,1,19.5,True
Justin Holiday,2,9,1,0,0,1,24.0,True
Justin Holiday,2,11,0,0,0,1,22.5,True
Justin Holiday,2,0,1,0,0,1,21.4,True
Justin Holiday,4,0,1,0,0,1,22.2,True
Justin Holiday,4,2,0,1,10,7,10.7,True
Justin Holiday,4,3,0,1,13,3,10.8,True
Justin Holiday,2,8,1,3,-32,3,19.1,True
Justin Holiday,1,0,0,3,-13,28,0.0,True
Justin Holiday,4,3,0,1,6,14,10.8,True
Justin Holiday,1,10,1,1,-15,1,20.8,True
Justin Holiday,4,3,1,2,17,14,19.9,True
Justin Holiday,2,10,0,2,18,15,12.4,True
Justin Holiday,1,3,1,2,17,11,18.3,True
Justin Holiday,4,10,0,2,23,-3,5.6,True
Justin Holiday,4,8,1,2,6,20,10.3,True
Justin Holiday,2,9,1,2,-16,19,20.0,True
Justin Holiday,3,6,1,1,1,11,20.3,True
Justin Holiday,4,11,0,2,17,14,19.3,True
Justin Holiday,3,1,1,1,12,-2,19.0,True
Justin Holiday,4,8,1,1,1,11,19.6,True
Justin Holiday,2,1,1,0,0,1,17.1,True
Justin Holiday,2,1,1,0,0,1,15.2,True
Justin Holiday,1,9,1,0,0,1,15.4,True
Justin Holiday,3,1,1,0,0,1,22.0,True
Justin Holiday,3,8,1,0,0,1,21.3,True
Justin Holiday,4,2,1,0,0,1,20.5,True
Justin Holiday,4,1,1,0,0,1,21.1,True
Justin Holiday,4,0,0,0,0,1,19.4,True
Justin Holiday,4,9,1,2,-8,19,6.4,True
Justin Holiday,4,10,1,18,-103,157,16.7,True
Justin Holiday,2,10,0,25,-149,209,6.7,False
Justin Holiday,4,0,0,25,-232,94,1.0,False
Justin Holiday,4,2,0,17,173,25,14.7,True
Justin Holiday,4,5,0,26,-169,198,21.5,False
Justin Holiday,4,5,0,11,4,110,14.8,True
Justin Holiday,4,2,1,25,-37,255,9.9,False
Justin Holiday,4,0,0,25,225,124,0.0,False
Justin Holiday,4,0,0,25,190,168,17.7,False
Justin Holiday,2,11,0,25,-217,126,17.0,False
Justin Holiday,4,0,1,16,-76,151,17.3,True
Justin Holiday,1,6,1,24,-125,214,16.0,False
Justin Holiday,1,7,1,26,187,181,16.7,False
Justin Holiday,4,7,1,21,214,25,10.9,True
Justin Holiday,2,5,1,25,-185,176,22.6,False
Justin Holiday,4,8,1,18,-52,179,15.4,True
