name,period,minutes_remaining,shot_made_flag,shot_distance,x,y,shot_clock,shot_2pnt
Jusuf Nurkic,1,7,1,1,-2,12,24.0,True
Jusuf Nurkic,3,4,1,0,0,1,13.4,True
Jusuf Nurkic,1,10,1,5,42,41,8.1,True
Jusuf Nurkic,1,7,1,2,-10,28,6.6,True
Jusuf Nurkic,1,5,1,1,10,3,14.9,True
Jusuf Nurkic,2,7,1,2,1,25,11.1,True
Jusuf Nurkic,3,7,1,1,12,3,17.7,True
Jusuf Nurkic,3,8,1,2,-5,23,13.8,True
Jusuf Nurkic,4,6,1,1,-7,14,12.0,True
Jusuf Nurkic,4,10,1,1,17,3,17.7,True
Jusuf Nurkic,2,0,1,1,-13,15,10.3,True
Jusuf Nurkic,3,10,0,2,24,11,15.0,True
Jusuf Nurkic,3,6,1,0,0,1,7.9,True
Jusuf Nurkic,4,9,0,0,0,1,9.4,True
Jusuf Nurkic,2,8,1,0,0,1,20.7,True
Jusuf Nurkic,2,5,1,0,0,1,8.4,True
Jusuf Nurkic,2,2,1,0,0,1,14.0,True
Jusuf Nurkic,3,5,1,0,0,1,13.7,True
Jusuf Nurkic,1,6,1,0,0,1,20.0,True
Jusuf Nurkic,3,0,1,0,0,1,14.7,True
Jusuf Nurkic,1,7,1,0,0,1,22.6,True
Jusuf Nurkic,4,11,1,0,0,1,10.2,True
Jusuf Nurkic,1,1,1,0,0,1,21.8,True
Jusuf Nurkic,3,4,0,0,0,1,16.0,True
Jusuf Nurkic,4,6,1,0,0,1,13.8,True
Jusuf Nurkic,3,1,1,0,0,1,8.5,True
Jusuf Nurkic,4,6,1,0,0,1,7.0,True
Jusuf Nurkic,4,7,1,0,0,1,13.5,True
Jusuf Nurkic,1,6,0,0,0,1,16.6,True
Jusuf Nurkic,2,2,1,0,0,1,8.1,True
Jusuf Nurkic,4,9,0,7,47,58,7.1,True
Jusuf Nurkic,1,0,0,18,187,1,1.0,True
Jusuf Nurkic,4,0,0,13,127,28,4.3,True
Jusuf Nurkic,3,7,0,2,23,4,12.3,True
Jusuf Nurkic,2,2,0,7,26,74,10.1,True
Jusuf Nurkic,4,10,1,3,2,31,17.6,True
Jusuf Nurkic,2,6,1,11,-119,14,13.0,True
Jusuf Nurkic,4,10,1,8,36,78,9.0,True
Jusuf Nurkic,3,1,0,6,21,60,15.4,True
Jusuf Nurkic,4,10,1,3,-37,11,16.1,True
Jusuf Nurkic,3,7,0,7,0,78,14.2,True
Jusuf Nurkic,2,7,1,5,50,31,12.9,True
Jusuf Nurkic,3,2,1,5,54,15,8.1,True
Jusuf Nurkic,2,6,0,5,58,14,11.5,True
Jusuf Nurkic,3,1,1,4,40,1,10.2,True
Jusuf Nurkic,4,4,0,3,-29,15,10.7,True
Jusuf Nurkic,2,4,0,5,48,25,11.4,True
Jusuf Nurkic,1,7,0,4,6,41,8.7,True
Jusuf Nurkic,3,8,1,2,0,26,11.8,True
Jusuf Nurkic,2,2,1,5,-23,47,23.1,True
Jusuf Nurkic,1,8,1,5,-34,48,3.2,True
Jusuf Nurkic,4,5,0,1,-10,12,8.3,True
Jusuf Nurkic,3,10,0,5,59,-3,5.9,True
Jusuf Nurkic,2,4,0,4,28,30,17.1,True
Jusuf Nurkic,1,9,0,0,0,1,17.9,True
Jusuf Nurkic,2,9,0,3,-24,22,6.1,True
Jusuf Nurkic,4,7,1,3,2,39,23.8,True
Jusuf Nurkic,4,4,0,4,37,28,8.2,True
Jusuf Nurkic,4,1,1,6,-56,23,7.4,True
Jusuf Nurkic,3,2,1,2,6,20,10.5,True
Jusuf Nurkic,4,1,0,4,48,11,13.0,True
Jusuf Nurkic,2,9,1,1,18,7,10.5,True
