name,period,minutes_remaining,shot_made_flag,shot_distance,x,y,shot_clock,shot_2pnt
KJ McDaniels,1,10,1,0,0,1,12.7,True
KJ McDaniels,3,4,1,0,0,1,19.8,True
KJ McDaniels,2,5,1,0,0,1,20.2,True
KJ McDaniels,4,11,1,0,0,1,15.7,True
KJ McDaniels,2,0,1,0,0,1,21.0,True
KJ McDaniels,4,7,1,0,0,1,21.6,True
KJ McDaniels,2,1,1,0,0,1,19.7,True
KJ McDaniels,1,7,1,0,0,1,12.4,True
KJ McDaniels,4,3,1,0,0,1,2.0,True
KJ McDaniels,4,0,1,0,0,1,18.4,True
KJ McDaniels,3,5,1,0,0,1,10.5,True
KJ McDaniels,4,3,1,0,0,1,14.0,True
KJ McDaniels,4,5,0,0,0,1,1.5,True
KJ McDaniels,1,2,0,2,4,24,8.1,True
KJ McDaniels,3,6,1,0,0,1,8.4,True
KJ McDaniels,4,1,1,1,-15,9,10.5,True
KJ McDaniels,2,8,1,3,-4,33,13.5,True
KJ McDaniels,2,9,0,6,-57,23,11.6,True
KJ McDaniels,3,2,0,2,6,25,3.8,True
KJ McDaniels,2,1,1,1,-10,-11,10.5,True
KJ McDaniels,1,4,0,1,-11,14,15.0,True
KJ McDaniels,4,10,1,1,-10,12,17.0,True
KJ McDaniels,1,2,1,1,-11,0,20.9,True
KJ McDaniels,2,11,1,1,9,12,10.6,True
KJ McDaniels,3,7,1,1,-19,-5,18.1,True
KJ McDaniels,4,7,0,0,0,7,6.5,True
KJ McDaniels,4,8,0,1,-10,6,18.1,True
KJ McDaniels,4,0,0,0,7,6,20.3,True
KJ McDaniels,4,1,0,2,18,11,21.7,True
KJ McDaniels,2,11,1,2,-21,-3,19.3,True
KJ McDaniels,2,7,1,1,18,-3,12.5,True
KJ McDaniels,3,2,0,2,-24,1,15.2,True
KJ McDaniels,1,1,0,2,12,19,5.8,True
KJ McDaniels,3,3,1,0,-8,4,10.1,True
KJ McDaniels,1,0,1,1,17,9,9.0,True
KJ McDaniels,3,0,1,1,13,14,20.0,True
KJ McDaniels,1,0,1,1,0,11,4.5,True
KJ McDaniels,3,1,1,0,-8,0,8.3,True
KJ McDaniels,3,4,1,2,4,22,18.7,True
KJ McDaniels,2,8,0,3,-38,1,6.4,True
KJ McDaniels,2,1,1,1,-13,6,20.2,True
KJ McDaniels,3,0,1,0,7,3,0.0,True
KJ McDaniels,1,1,1,1,12,6,20.9,True
KJ McDaniels,2,4,1,0,-4,-5,20.0,True
KJ McDaniels,2,11,1,0,2,6,3.0,True
KJ McDaniels,3,0,1,2,28,0,2.0,True
KJ McDaniels,3,5,1,2,-5,20,16.5,True
KJ McDaniels,1,2,1,0,0,1,2.4,True
KJ McDaniels,1,5,1,0,0,1,21.3,True
