name,period,minutes_remaining,shot_made_flag,shot_distance,x,y,shot_clock,shot_2pnt
Kenneth Faried,3,8,1,0,0,1,20.4,True
Kenneth Faried,4,2,1,0,0,1,24.0,True
Kenneth Faried,1,9,0,0,0,1,21.1,True
Kenneth Faried,3,4,1,0,0,1,14.6,True
Kenneth Faried,3,7,1,0,0,1,8.6,True
Kenneth Faried,2,0,1,0,0,1,20.8,True
Kenneth Faried,1,7,1,0,0,1,21.2,True
Kenneth Faried,2,0,0,0,0,1,15.1,True
Kenneth Faried,2,9,1,0,0,1,16.1,True
Kenneth Faried,2,3,1,0,0,1,18.5,True
Kenneth Faried,4,2,1,0,0,1,15.2,True
Kenneth Faried,3,10,1,0,0,1,20.0,True
Kenneth Faried,1,8,0,0,0,1,10.4,True
Kenneth Faried,2,0,1,0,0,1,16.6,True
Kenneth Faried,1,7,1,0,0,1,15.0,True
Kenneth Faried,3,11,0,0,0,1,20.1,True
Kenneth Faried,4,4,1,0,0,1,21.7,True
Kenneth Faried,1,7,1,0,0,1,19.8,True
Kenneth Faried,2,2,0,0,0,1,20.3,True
Kenneth Faried,2,3,1,0,0,1,17.8,True
Kenneth Faried,1,3,0,2,28,6,21.3,True
Kenneth Faried,3,10,1,1,18,7,20.2,True
Kenneth Faried,1,9,1,2,21,0,15.5,True
Kenneth Faried,2,0,1,1,12,3,4.0,True
Kenneth Faried,1,9,0,2,21,1,19.8,True
Kenneth Faried,2,11,1,0,7,4,24.0,True
Kenneth Faried,3,8,1,0,0,1,20.9,True
Kenneth Faried,4,1,1,0,0,1,14.9,True
Kenneth Faried,3,8,1,0,0,1,23.0,True
Kenneth Faried,2,1,1,0,0,1,14.3,True
Kenneth Faried,2,0,1,0,0,1,16.7,True
Kenneth Faried,2,9,1,0,0,1,22.0,True
Kenneth Faried,1,8,1,0,0,1,21.6,True
Kenneth Faried,2,6,1,0,0,1,19.4,True
Kenneth Faried,3,1,1,0,0,1,21.1,True
Kenneth Faried,2,0,0,1,4,17,21.0,True
Kenneth Faried,1,8,1,0,0,1,10.8,True
Kenneth Faried,3,7,1,1,10,4,19.6,True
