name,period,minutes_remaining,shot_made_flag,shot_distance,x,y,shot_clock,shot_2pnt
Kevin Love,1,7,1,0,0,1,13.9,True
Kevin Love,3,4,1,1,13,-2,20.0,True
Kevin Love,1,6,0,0,0,1,16.1,True
Kevin Love,3,3,1,0,-5,4,11.8,True
Kevin Love,3,4,1,0,0,1,14.5,True
Kevin Love,2,7,1,0,0,1,20.5,True
Kevin Love,2,1,1,0,-8,-2,19.3,True
Kevin Love,2,5,1,1,-13,4,22.4,True
Kevin Love,1,2,1,0,0,1,14.4,True
Kevin Love,1,11,1,0,4,-3,9.0,True
Kevin Love,1,9,1,1,-10,11,11.6,True
Kevin Love,1,5,1,0,-4,0,4.0,True
Kevin Love,3,7,1,0,-2,9,12.6,True
Kevin Love,3,3,1,0,0,1,12.3,True
Kevin Love,1,7,1,0,2,-5,11.0,True
Kevin Love,3,11,0,2,-18,15,13.3,True
Kevin Love,1,2,0,3,15,26,7.7,True
Kevin Love,3,8,0,4,47,17,9.6,True
Kevin Love,3,11,0,7,-37,63,9.1,True
Kevin Love,2,1,0,0,6,6,7.1,True
Kevin Love,1,1,1,0,2,-8,5.1,True
Kevin Love,2,7,1,0,-7,7,11.6,True
Kevin Love,1,8,1,1,2,14,16.0,True
Kevin Love,2,3,1,0,1,1,3.4,True
Kevin Love,3,5,1,3,-34,7,10.7,True
Kevin Love,2,7,0,1,-11,6,4.5,True
Kevin Love,4,11,1,0,0,7,13.3,True
Kevin Love,2,0,0,0,-4,3,20.1,True
Kevin Love,4,0,1,3,-26,15,0.0,True
Kevin Love,1,5,0,2,4,23,14.6,True
Kevin Love,2,4,1,2,-13,20,9.1,True
Kevin Love,1,8,0,1,-15,6,23.2,True
Kevin Love,1,9,1,0,7,1,4.3,True
Kevin Love,3,7,0,2,26,3,7.1,True
Kevin Love,4,1,1,0,0,1,16.6,True
Kevin Love,1,9,1,0,0,1,21.0,True
Kevin Love,2,4,1,0,0,1,21.5,True
Kevin Love,2,6,1,0,0,1,17.1,True
Kevin Love,1,4,0,0,0,1,20.6,True
Kevin Love,1,4,1,0,0,1,22.7,True
Kevin Love,1,7,1,0,0,1,7.0,True
Kevin Love,2,3,1,0,0,1,9.0,True
Kevin Love,1,6,1,0,0,1,22.8,True
Kevin Love,1,2,1,0,0,1,6.9,True
Kevin Love,1,4,1,0,0,1,21.5,True
Kevin Love,2,5,1,0,0,1,20.9,True
Kevin Love,4,1,1,0,0,1,7.0,True
Kevin Love,1,7,1,0,0,1,23.3,True
Kevin Love,1,0,1,0,0,1,5.9,True
Kevin Love,1,11,1,0,0,1,13.2,True
Kevin Love,2,0,0,5,53,11,14.5,True
Kevin Love,1,7,0,8,-76,40,4.8,True
Kevin Love,1,2,1,7,9,74,13.5,True
Kevin Love,3,2,0,15,-152,12,8.4,True
Kevin Love,3,7,1,16,-155,50,1.5,True
Kevin Love,3,4,0,7,-46,58,13.0,True
Kevin Love,1,5,1,15,-155,7,10.2,True
Kevin Love,3,10,0,10,-105,-11,24.0,True
Kevin Love,2,8,0,12,-120,26,2.4,True
Kevin Love,2,2,1,15,-158,14,0.9,True
Kevin Love,2,11,1,12,-24,127,9.9,True
Kevin Love,2,8,0,6,-16,63,15.4,True
Kevin Love,1,6,0,1,-16,9,7.2,True
Kevin Love,1,8,1,3,32,11,8.9,True
Kevin Love,2,0,1,8,-57,58,15.2,True
Kevin Love,1,6,0,2,-11,25,12.6,True
Kevin Love,4,10,1,6,-62,31,9.0,True
Kevin Love,2,9,1,4,28,37,3.7,True
Kevin Love,1,11,0,9,20,96,9.2,True
Kevin Love,1,6,0,4,-13,39,17.8,True
Kevin Love,3,8,1,6,1,61,0.0,True
Kevin Love,2,5,0,8,-2,89,0.0,True
Kevin Love,1,2,0,4,-7,44,9.3,True
Kevin Love,1,2,1,4,45,-2,19.0,True
Kevin Love,3,10,0,7,-11,77,10.4,True
Kevin Love,2,6,0,7,-13,72,11.0,True
Kevin Love,2,5,1,3,0,34,8.4,True
Kevin Love,3,1,0,9,0,96,10.2,True
Kevin Love,1,6,1,5,28,42,14.2,True
Kevin Love,2,11,0,8,84,6,4.0,True
Kevin Love,1,3,0,6,-16,61,10.1,True
Kevin Love,1,9,0,12,-127,11,13.3,True
Kevin Love,1,11,0,4,2,48,22.1,True
Kevin Love,2,6,0,4,-18,44,10.0,True
Kevin Love,2,0,0,7,-46,56,8.2,True
Kevin Love,3,2,1,5,-29,41,12.0,True
Kevin Love,3,2,1,5,-4,50,10.8,True
Kevin Love,2,11,0,7,-48,60,7.6,True
Kevin Love,1,10,0,4,42,17,9.0,True
Kevin Love,1,7,0,10,103,25,13.0,True
Kevin Love,3,11,0,3,-24,22,13.3,True
Kevin Love,2,4,0,5,-15,48,7.9,True
Kevin Love,1,7,1,7,-15,74,14.2,True
