name,period,minutes_remaining,shot_made_flag,shot_distance,x,y,shot_clock,shot_2pnt
Klay Thompson,3,6,1,0,0,1,18.8,True
Klay Thompson,1,5,1,1,7,14,17.4,True
Klay Thompson,1,10,0,0,1,1,16.4,True
Klay Thompson,1,8,1,0,-4,-2,24.0,True
Klay Thompson,3,11,1,8,-68,55,6.0,True
Klay Thompson,2,5,1,9,-87,45,6.4,True
Klay Thompson,2,4,0,3,31,12,7.2,True
Klay Thompson,2,4,0,7,51,58,15.0,True
Klay Thompson,1,6,0,0,0,1,17.7,True
Klay Thompson,3,10,1,0,0,1,20.8,True
Klay Thompson,3,3,1,0,0,1,16.0,True
Klay Thompson,1,8,1,2,0,25,14.8,True
Klay Thompson,1,10,1,1,-2,11,11.0,True
Klay Thompson,4,2,1,2,6,28,8.0,True
Klay Thompson,1,11,1,1,6,11,14.1,True
Klay Thompson,1,10,1,2,-16,23,5.0,True
Klay Thompson,1,4,1,1,0,15,14.9,True
Klay Thompson,1,5,1,2,-11,23,14.0,True
Klay Thompson,2,2,1,1,6,12,13.4,True
Klay Thompson,2,4,1,1,-5,17,9.5,True
Klay Thompson,1,3,1,0,-7,7,16.8,True
Klay Thompson,1,6,1,2,15,22,13.0,True
Klay Thompson,1,10,1,0,9,0,21.3,True
Klay Thompson,2,3,0,2,23,12,15.8,True
Klay Thompson,1,10,1,2,13,19,11.4,True
Klay Thompson,1,8,1,1,6,11,12.3,True
Klay Thompson,3,4,1,1,-10,4,9.3,True
Klay Thompson,3,7,1,0,0,9,20.9,True
Klay Thompson,3,8,1,2,-5,25,14.1,True
Klay Thompson,2,4,1,1,9,17,19.3,True
Klay Thompson,2,2,0,3,10,34,16.5,True
Klay Thompson,3,8,1,1,6,11,6.5,True
Klay Thompson,4,4,1,1,-8,14,6.9,True
Klay Thompson,4,10,1,0,1,9,15.0,True
Klay Thompson,1,4,0,5,34,41,15.1,True
Klay Thompson,1,10,0,4,34,22,18.6,True
Klay Thompson,3,5,1,12,4,121,10.2,True
Klay Thompson,3,8,0,7,-65,44,4.0,True
Klay Thompson,1,11,0,6,62,4,18.3,True
Klay Thompson,4,2,1,3,0,37,10.4,True
Klay Thompson,3,8,0,3,28,14,15.6,True
Klay Thompson,1,7,0,5,-23,50,6.0,True
Klay Thompson,2,8,1,5,23,47,4.4,True
Klay Thompson,3,1,1,5,42,34,9.0,True
Klay Thompson,2,8,1,1,13,11,11.1,True
Klay Thompson,1,6,1,1,0,15,15.0,True
Klay Thompson,4,4,1,1,-11,4,4.6,True
Klay Thompson,2,1,1,2,1,20,9.6,True
Klay Thompson,1,10,0,2,-21,6,16.3,True
Klay Thompson,1,10,1,1,-8,9,10.0,True
Klay Thompson,3,3,1,2,-2,28,5.5,True
Klay Thompson,1,6,0,1,18,4,17.4,True
Klay Thompson,2,3,1,0,0,6,19.1,True
Klay Thompson,2,0,0,1,13,14,10.1,True
