name,period,minutes_remaining,shot_made_flag,shot_distance,x,y,shot_clock,shot_2pnt
Kostas Papanikolaou,4,3,0,2,-23,7,10.8,True
Kostas Papanikolaou,2,3,0,5,-54,15,18.7,True
Kostas Papanikolaou,4,10,0,0,0,-3,11.6,True
Kostas Papanikolaou,4,9,1,0,0,9,14.5,True
Kostas Papanikolaou,4,10,0,0,-2,-6,0.0,True
Kostas Papanikolaou,1,5,0,0,6,-5,9.5,True
Kostas Papanikolaou,3,0,0,2,-8,22,15.8,True
Kostas Papanikolaou,4,10,0,0,-7,4,11.0,True
Kostas Papanikolaou,2,1,0,0,2,-5,15.7,True
Kostas Papanikolaou,2,4,1,0,-4,-5,11.2,True
Kostas Papanikolaou,3,1,1,4,-15,39,7.4,True
Kostas Papanikolaou,4,8,0,2,26,0,11.9,True
Kostas Papanikolaou,4,7,1,0,0,1,20.4,True
Kostas Papanikolaou,4,3,1,3,-29,8,5.4,True
Kostas Papanikolaou,2,11,1,0,0,1,19.6,True
Kostas Papanikolaou,4,8,1,0,0,1,20.0,True
Kostas Papanikolaou,4,1,1,0,0,1,22.3,True
Kostas Papanikolaou,4,11,0,11,-111,-8,1.8,True
Kostas Papanikolaou,3,5,0,5,7,55,8.8,True
Kostas Papanikolaou,4,0,0,23,233,30,14.1,False
Kostas Papanikolaou,1,2,0,22,228,4,1.3,False
Kostas Papanikolaou,1,3,1,22,228,15,15.5,False
Kostas Papanikolaou,1,3,0,6,-7,61,9.8,True
Kostas Papanikolaou,2,4,1,25,-62,244,0.0,False
Kostas Papanikolaou,2,3,1,24,-59,242,0.0,False
Kostas Papanikolaou,2,0,1,23,231,47,16.4,False
Kostas Papanikolaou,3,0,0,25,132,214,0.0,False
Kostas Papanikolaou,3,1,1,23,-232,14,3.9,False
Kostas Papanikolaou,1,9,1,23,-232,3,18.0,False
Kostas Papanikolaou,4,2,0,26,189,184,4.9,False
Kostas Papanikolaou,4,1,1,24,28,242,1.2,False
Kostas Papanikolaou,3,5,0,20,-202,34,0.0,True
Kostas Papanikolaou,3,8,0,24,83,233,21.8,False
Kostas Papanikolaou,4,4,0,24,-49,242,18.5,False
Kostas Papanikolaou,1,1,0,5,-5,53,0.0,True
Kostas Papanikolaou,1,1,1,25,-218,127,0.0,False
Kostas Papanikolaou,2,9,1,24,192,151,0.0,False
Kostas Papanikolaou,3,6,1,23,-221,69,0.0,False
Kostas Papanikolaou,4,10,1,24,-239,69,0.0,False
Kostas Papanikolaou,1,0,0,24,83,233,0.0,False
Kostas Papanikolaou,1,3,0,5,20,48,8.3,True
Kostas Papanikolaou,1,0,0,23,231,14,18.1,False
Kostas Papanikolaou,4,6,0,23,-229,39,12.2,False
Kostas Papanikolaou,1,4,1,23,230,33,17.0,False
Kostas Papanikolaou,1,0,1,22,-226,19,7.3,False
Kostas Papanikolaou,2,11,1,24,-153,186,10.9,False
Kostas Papanikolaou,2,2,1,24,116,216,10.6,False
Kostas Papanikolaou,2,1,0,26,-141,222,1.9,False
Kostas Papanikolaou,3,2,1,23,-234,-2,13.4,False
Kostas Papanikolaou,2,11,1,23,231,25,18.2,False
Kostas Papanikolaou,2,10,1,23,-231,34,11.4,False
Kostas Papanikolaou,2,3,1,21,-213,31,18.0,True
Kostas Papanikolaou,1,5,1,24,248,0,17.5,False
Kostas Papanikolaou,4,2,1,25,-228,108,9.4,False
Kostas Papanikolaou,2,8,1,21,-212,1,10.4,True
Kostas Papanikolaou,2,2,1,23,-235,41,12.0,False
Kostas Papanikolaou,3,0,0,40,157,373,0.0,False
Kostas Papanikolaou,3,6,1,25,-29,250,14.0,False
Kostas Papanikolaou,4,4,0,25,102,236,17.0,False
Kostas Papanikolaou,4,2,0,23,237,26,15.3,False
Kostas Papanikolaou,3,3,0,23,230,17,13.0,False
Kostas Papanikolaou,2,1,0,24,-228,86,12.3,False
Kostas Papanikolaou,4,4,0,24,-150,194,3.9,False
Kostas Papanikolaou,2,11,0,24,-177,165,11.6,False
Kostas Papanikolaou,3,5,0,15,-158,12,13.0,True
Kostas Papanikolaou,4,8,0,24,-191,154,10.4,False
Kostas Papanikolaou,4,11,1,25,-134,214,5.4,False
Kostas Papanikolaou,4,10,1,25,122,225,3.1,False
Kostas Papanikolaou,2,8,0,24,53,244,10.7,False
Kostas Papanikolaou,3,6,0,23,-234,7,16.4,False
Kostas Papanikolaou,3,0,1,25,26,250,4.5,False
Kostas Papanikolaou,1,0,1,24,23,244,14.9,False
Kostas Papanikolaou,3,2,0,25,133,216,2.0,False
Kostas Papanikolaou,4,10,0,23,-232,17,9.2,False
Kostas Papanikolaou,4,1,0,5,-5,55,6.3,True
Kostas Papanikolaou,4,5,0,9,-78,53,1.9,True
Kostas Papanikolaou,1,11,0,22,-223,22,4.7,False
Kostas Papanikolaou,1,1,0,23,-232,4,8.5,False
Kostas Papanikolaou,1,2,0,7,-60,42,8.6,True
