name,period,minutes_remaining,shot_made_flag,shot_distance,x,y,shot_clock,shot_2pnt
Kris Humphries,3,1,1,0,0,1,19.9,True
Kris Humphries,2,11,1,3,36,15,4.6,True
Kris Humphries,3,5,1,0,0,1,15.0,True
Kris Humphries,4,9,1,0,0,1,21.0,True
Kris Humphries,1,1,1,0,0,1,0.0,True
Kris Humphries,2,11,1,0,0,1,9.7,True
Kris Humphries,2,0,1,0,0,1,3.5,True
Kris Humphries,1,10,1,0,0,1,19.5,True
Kris Humphries,1,10,1,0,0,1,19.9,True
Kris Humphries,3,1,1,0,0,1,9.8,True
Kris Humphries,2,9,1,0,0,1,19.5,True
Kris Humphries,1,5,1,0,0,1,9.1,True
Kris Humphries,3,0,1,4,10,47,4.5,True
Kris Humphries,2,11,1,1,12,9,3.0,True
Kris Humphries,1,3,1,0,-4,3,8.3,True
Kris Humphries,3,10,0,0,-5,1,14.0,True
Kris Humphries,2,0,1,1,0,12,14.0,True
Kris Humphries,1,3,0,1,10,9,12.6,True
Kris Humphries,2,9,0,2,18,9,17.9,True
Kris Humphries,1,9,1,0,0,1,13.0,True
Kris Humphries,1,1,1,0,0,1,8.8,True
Kris Humphries,3,8,1,0,0,1,19.5,True
Kris Humphries,4,7,1,0,0,1,20.4,True
Kris Humphries,2,4,1,0,0,1,19.0,True
Kris Humphries,2,3,1,0,0,1,24.0,True
Kris Humphries,1,8,1,0,0,1,0.9,True
Kris Humphries,4,3,1,0,0,1,1.3,True
Kris Humphries,1,8,1,0,0,1,18.2,True
Kris Humphries,4,6,1,1,-15,-5,10.6,True
Kris Humphries,1,5,1,0,0,1,8.7,True
Kris Humphries,2,7,1,0,0,1,19.3,True
Kris Humphries,2,8,1,0,0,1,19.7,True
Kris Humphries,4,1,1,0,0,1,15.0,True
Kris Humphries,1,10,1,0,0,1,21.1,True
Kris Humphries,1,11,1,0,0,1,9.7,True
Kris Humphries,4,6,1,7,-70,23,6.6,True
Kris Humphries,2,6,1,7,72,0,7.0,True
Kris Humphries,1,3,0,8,89,7,10.3,True
Kris Humphries,1,0,1,15,-134,80,15.0,True
Kris Humphries,1,1,0,6,51,33,10.0,True
Kris Humphries,4,7,0,5,-29,42,16.8,True
Kris Humphries,2,9,1,10,-100,36,10.9,True
Kris Humphries,4,9,1,10,-106,22,11.6,True
Kris Humphries,2,0,1,14,-141,42,15.6,True
Kris Humphries,2,10,1,14,-142,28,12.6,True
Kris Humphries,3,5,0,6,13,66,4.1,True
Kris Humphries,3,0,0,23,237,-14,1.2,False
Kris Humphries,2,10,0,18,10,187,12.0,True
Kris Humphries,4,9,0,16,-163,0,15.3,True
Kris Humphries,3,2,0,17,170,-10,13.2,True
Kris Humphries,3,3,1,20,-205,9,10.3,True
Kris Humphries,3,1,0,4,2,42,23.4,True
Kris Humphries,2,7,1,12,-41,119,9.6,True
Kris Humphries,1,3,1,19,-127,142,12.6,True
Kris Humphries,2,9,1,15,15,154,16.6,True
Kris Humphries,4,10,1,20,125,165,11.1,True
Kris Humphries,2,10,1,20,81,186,7.2,True
Kris Humphries,4,8,1,20,81,192,12.5,True
Kris Humphries,4,7,1,19,-49,189,8.2,True
Kris Humphries,4,6,1,12,61,105,5.0,True
Kris Humphries,2,9,1,17,-2,178,10.1,True
Kris Humphries,4,8,0,1,-11,14,24.0,True
Kris Humphries,1,5,1,16,54,157,14.9,True
Kris Humphries,2,3,1,15,86,134,7.9,True
Kris Humphries,1,3,1,20,-45,201,9.0,True
Kris Humphries,3,11,0,16,130,105,13.1,True
Kris Humphries,2,0,1,18,7,184,4.6,True
Kris Humphries,3,5,1,15,152,7,7.5,True
Kris Humphries,2,8,1,15,-10,157,10.3,True
Kris Humphries,2,5,1,18,-90,159,18.3,True
Kris Humphries,2,3,1,17,39,170,12.1,True
Kris Humphries,3,11,1,17,173,-10,3.0,True
Kris Humphries,3,6,1,8,-68,45,13.9,True
Kris Humphries,3,5,1,16,163,-2,10.7,True
Kris Humphries,1,10,1,18,184,7,14.2,True
Kris Humphries,2,0,0,15,-147,55,14.3,True
Kris Humphries,3,4,1,17,13,179,10.0,True
Kris Humphries,1,6,1,18,-7,186,14.7,True
Kris Humphries,1,2,1,21,-23,216,13.6,True
Kris Humphries,3,10,1,15,-16,156,6.7,True
Kris Humphries,3,7,1,17,170,31,21.3,True
Kris Humphries,3,4,1,18,1,187,8.3,True
Kris Humphries,1,5,1,22,29,222,16.4,True
Kris Humphries,3,10,1,19,-40,194,7.1,True
Kris Humphries,3,6,1,10,-108,7,11.7,True
Kris Humphries,3,5,1,15,-153,26,11.3,True
Kris Humphries,3,11,1,16,-147,83,21.3,True
Kris Humphries,1,11,1,18,-49,181,4.4,True
Kris Humphries,3,8,1,14,-2,148,12.0,True
Kris Humphries,3,7,1,19,53,186,5.8,True
Kris Humphries,3,4,1,15,159,7,12.3,True
Kris Humphries,4,8,0,21,108,183,2.8,True
Kris Humphries,4,5,0,21,-212,-3,0.6,True
Kris Humphries,1,4,1,17,173,37,15.0,True
Kris Humphries,1,4,1,18,181,55,3.3,True
Kris Humphries,1,2,1,3,1,36,13.6,True
Kris Humphries,2,8,1,13,-5,137,14.1,True
Kris Humphries,3,3,1,18,179,44,9.0,True
Kris Humphries,4,9,1,15,18,153,10.0,True
Kris Humphries,4,8,1,19,1,194,11.8,True
Kris Humphries,1,1,1,19,7,194,11.8,True
Kris Humphries,2,8,1,17,171,41,8.8,True
Kris Humphries,3,1,1,17,69,156,14.7,True
Kris Humphries,4,8,1,17,37,173,12.0,True
Kris Humphries,1,3,1,13,-125,44,19.1,True
Kris Humphries,1,2,1,14,-4,148,5.0,True
Kris Humphries,4,9,1,15,-57,142,12.2,True
Kris Humphries,2,7,1,17,125,123,7.0,True
Kris Humphries,2,5,1,20,-60,195,9.1,True
Kris Humphries,4,7,0,18,106,146,3.0,True
Kris Humphries,1,0,0,17,9,179,11.3,True
Kris Humphries,1,9,0,16,2,160,16.8,True
Kris Humphries,2,5,1,15,-150,47,16.4,True
Kris Humphries,3,3,0,14,-73,124,2.7,True
Kris Humphries,2,7,1,17,-120,132,12.0,True
Kris Humphries,2,0,1,18,-75,173,0.0,True
Kris Humphries,4,2,0,19,-190,19,13.0,True
Kris Humphries,4,2,0,19,10,192,11.0,True
Kris Humphries,3,0,0,11,-40,104,14.5,True
Kris Humphries,4,7,0,14,146,3,13.6,True
Kris Humphries,4,8,0,19,-8,197,11.2,True
Kris Humphries,4,9,0,19,26,195,8.0,True
Kris Humphries,3,8,0,16,-169,17,5.5,True
Kris Humphries,4,5,0,17,-109,131,9.2,True
Kris Humphries,1,1,0,17,1,173,13.3,True
Kris Humphries,1,9,0,18,-144,123,19.8,True
Kris Humphries,3,5,0,12,125,7,9.5,True
Kris Humphries,2,7,0,19,-109,164,1.9,True
Kris Humphries,4,6,0,7,65,30,12.9,True
Kris Humphries,1,7,0,16,166,7,14.3,True
Kris Humphries,1,2,0,20,111,178,15.8,True
Kris Humphries,4,6,0,17,-45,164,10.1,True
Kris Humphries,3,0,0,17,-141,99,4.7,True
Kris Humphries,2,9,0,20,207,17,21.2,True
Kris Humphries,2,0,0,19,149,131,4.5,True
Kris Humphries,2,2,0,15,77,137,9.2,True
Kris Humphries,4,11,0,16,6,165,4.7,True
Kris Humphries,4,2,0,3,-23,20,24.0,True
Kris Humphries,2,8,0,19,-52,184,11.7,True
Kris Humphries,2,4,0,12,-32,123,3.5,True
Kris Humphries,4,9,0,16,-18,162,4.0,True
Kris Humphries,3,4,0,16,-119,107,7.6,True
Kris Humphries,2,10,0,20,204,1,2.2,True
Kris Humphries,1,8,0,19,110,164,8.9,True
Kris Humphries,1,4,0,17,174,6,10.8,True
Kris Humphries,1,2,0,15,92,124,12.8,True
Kris Humphries,1,1,0,19,119,149,8.1,True
Kris Humphries,1,0,0,6,-30,52,15.1,True
Kris Humphries,4,0,0,24,-239,23,0.0,False
Kris Humphries,3,7,0,18,173,77,4.4,True
Kris Humphries,2,9,0,13,26,135,6.8,True
Kris Humphries,2,1,0,18,-161,94,14.8,True
Kris Humphries,2,10,0,21,0,217,19.7,True
Kris Humphries,1,1,0,16,155,53,9.8,True
Kris Humphries,4,3,0,18,162,96,3.6,True
Kris Humphries,1,0,0,18,174,64,5.4,True
Kris Humphries,2,8,1,21,72,198,2.0,True
Kris Humphries,2,9,0,9,88,23,10.7,True
Kris Humphries,1,1,1,18,-105,148,0.0,True
Kris Humphries,3,2,1,22,-21,224,0.0,True
Kris Humphries,1,5,1,20,61,192,9.0,True
Kris Humphries,3,4,0,17,179,-10,11.5,True
Kris Humphries,4,10,0,15,110,112,11.6,True
Kris Humphries,4,10,0,21,130,175,9.7,True
Kris Humphries,4,5,0,3,26,15,7.9,True
Kris Humphries,1,0,0,23,233,12,3.4,False
Kris Humphries,3,2,1,17,159,78,6.2,True
Kris Humphries,4,5,1,19,133,140,7.6,True
Kris Humphries,1,1,0,18,18,187,7.1,True
Kris Humphries,3,1,0,17,7,176,15.7,True
Kris Humphries,4,11,0,15,149,52,19.0,True
Kris Humphries,4,6,0,18,-64,172,9.7,True
Kris Humphries,4,8,0,19,114,153,10.7,True
Kris Humphries,2,10,0,3,-5,-32,18.6,True
Kris Humphries,2,4,0,15,-37,154,14.6,True
Kris Humphries,1,1,0,8,-60,61,17.1,True
Kris Humphries,4,2,0,21,45,211,3.5,True
Kris Humphries,4,11,0,17,56,162,7.6,True
Kris Humphries,2,10,1,18,21,186,4.6,True
Kris Humphries,3,5,0,11,75,88,11.1,True
Kris Humphries,2,10,1,15,0,154,5.5,True
Kris Humphries,2,6,1,16,42,156,6.0,True
Kris Humphries,3,4,1,19,13,197,16.9,True
Kris Humphries,1,3,1,19,54,187,21.5,True
Kris Humphries,4,9,1,20,7,206,14.5,True
Kris Humphries,4,10,0,3,-5,37,24.0,True
Kris Humphries,2,4,1,16,-116,112,9.8,True
Kris Humphries,2,7,1,15,133,80,14.7,True
Kris Humphries,2,4,0,3,-10,30,24.0,True
Kris Humphries,2,9,1,19,143,131,8.1,True
Kris Humphries,4,10,1,19,21,194,5.5,True
Kris Humphries,4,10,0,19,-101,162,5.7,True
Kris Humphries,2,11,0,17,62,167,5.9,True
Kris Humphries,2,6,1,15,-138,77,11.4,True
Kris Humphries,3,4,0,17,-49,170,5.1,True
Kris Humphries,4,9,1,16,24,162,13.5,True
Kris Humphries,2,9,1,16,-123,104,8.1,True
Kris Humphries,4,5,0,14,-73,127,9.7,True
Kris Humphries,1,7,0,14,18,145,16.0,True
Kris Humphries,2,1,1,19,24,195,10.8,True
Kris Humphries,3,10,0,16,165,30,12.6,True
Kris Humphries,1,9,1,21,6,219,20.0,True
Kris Humphries,1,5,0,14,146,15,15.7,True
Kris Humphries,3,6,0,11,75,82,9.9,True
Kris Humphries,1,7,0,9,-92,15,1.3,True
Kris Humphries,3,4,0,17,170,14,3.1,True
Kris Humphries,2,3,1,17,122,129,9.2,True
Kris Humphries,4,8,0,7,-67,37,12.0,True
Kris Humphries,4,0,0,3,-23,22,3.0,True
Kris Humphries,2,11,0,14,-62,129,1.7,True
Kris Humphries,1,0,1,20,-116,170,14.0,True
Kris Humphries,2,8,0,16,-5,160,5.0,True
Kris Humphries,4,11,0,17,116,135,11.7,True
Kris Humphries,4,8,0,6,10,64,2.9,True
Kris Humphries,2,4,1,18,-100,157,6.7,True
Kris Humphries,1,8,0,19,193,-11,10.1,True
Kris Humphries,1,5,0,18,58,172,5.2,True
Kris Humphries,3,7,0,17,13,179,9.1,True
Kris Humphries,1,7,0,17,174,-19,6.8,True
Kris Humphries,3,4,0,4,12,45,8.3,True
Kris Humphries,3,6,0,18,-73,173,12.5,True
Kris Humphries,4,4,0,18,4,187,15.6,True
Kris Humphries,1,0,0,26,-120,238,0.4,False
Kris Humphries,4,10,1,14,92,110,10.5,True
Kris Humphries,1,0,1,17,179,14,18.4,True
Kris Humphries,1,2,0,20,-84,186,8.3,True
Kris Humphries,2,6,1,15,-60,143,14.0,True
Kris Humphries,2,6,0,15,121,102,14.4,True
Kris Humphries,3,1,0,17,80,151,17.0,True
Kris Humphries,4,6,0,19,13,198,2.3,True
Kris Humphries,2,7,1,16,151,66,12.5,True
Kris Humphries,3,5,0,14,-125,78,9.1,True
Kris Humphries,2,10,0,7,-67,42,16.1,True
Kris Humphries,3,2,0,16,-84,145,11.2,True
Kris Humphries,1,2,0,22,13,220,13.3,True
Kris Humphries,2,6,0,18,121,134,14.1,True
Kris Humphries,1,4,1,17,78,156,15.4,True
Kris Humphries,1,6,1,20,160,135,9.9,True
Kris Humphries,2,4,0,18,70,170,9.1,True
Kris Humphries,1,10,1,18,-70,168,17.0,True
Kris Humphries,2,2,0,10,-18,99,19.0,True
Kris Humphries,6,4,0,3,31,-10,18.3,True
Kris Humphries,6,3,1,11,-109,22,12.3,True
Kris Humphries,2,10,1,22,124,189,7.0,True
Kris Humphries,2,9,0,16,-103,129,3.0,True
Kris Humphries,2,8,1,18,-112,143,10.8,True
Kris Humphries,4,8,0,18,113,148,9.0,True
Kris Humphries,1,0,1,14,-14,142,4.0,True
Kris Humphries,3,0,1,17,179,-8,9.9,True
Kris Humphries,4,10,1,16,-169,0,12.8,True
Kris Humphries,4,4,1,18,-182,-17,6.8,True
Kris Humphries,2,8,0,19,48,184,10.7,True
Kris Humphries,4,11,0,16,-161,52,11.5,True
Kris Humphries,3,4,1,20,-16,201,13.9,True
Kris Humphries,1,1,0,17,-2,176,13.1,True
Kris Humphries,3,3,0,17,67,165,12.9,True
Kris Humphries,2,11,0,18,122,142,13.4,True
Kris Humphries,1,0,1,18,-106,157,10.7,True
Kris Humphries,4,11,0,18,10,189,5.8,True
Kris Humphries,2,9,0,18,111,151,0.0,True
Kris Humphries,3,8,0,4,26,34,15.7,True
Kris Humphries,3,8,0,5,-19,50,8.7,True
Kris Humphries,3,6,0,17,-168,37,19.5,True
Kris Humphries,2,11,0,21,80,200,10.1,True
Kris Humphries,2,2,1,15,0,159,5.7,True
Kris Humphries,2,11,1,20,-112,173,13.6,True
Kris Humphries,2,6,1,20,-127,159,11.6,True
Kris Humphries,4,7,0,23,228,31,9.8,False
Kris Humphries,3,3,0,13,-62,119,4.6,True
Kris Humphries,3,3,0,20,-46,197,13.8,True
Kris Humphries,1,2,0,12,26,126,10.9,True
Kris Humphries,3,11,0,10,-103,34,8.7,True
Kris Humphries,3,5,0,19,40,186,11.0,True
Kris Humphries,1,8,0,7,13,75,20.2,True
Kris Humphries,4,7,1,17,177,17,17.4,True
Kris Humphries,4,5,1,4,13,47,7.1,True
Kris Humphries,2,1,0,17,13,173,6.0,True
Kris Humphries,1,6,0,15,152,19,15.1,True
Kris Humphries,2,7,0,16,-166,0,6.3,True
Kris Humphries,3,1,0,15,92,127,9.4,True
Kris Humphries,1,11,0,16,-78,143,7.9,True
Kris Humphries,2,3,0,18,-4,186,4.2,True
Kris Humphries,1,6,0,14,149,-11,9.0,True
