name,period,minutes_remaining,shot_made_flag,shot_distance,x,y,shot_clock,shot_2pnt
LaMarcus Aldridge,1,4,1,0,0,1,19.3,True
LaMarcus Aldridge,3,7,1,0,0,7,24.0,True
LaMarcus Aldridge,5,0,1,0,0,1,12.9,True
LaMarcus Aldridge,2,3,1,0,0,1,24.0,True
LaMarcus Aldridge,1,1,1,0,0,1,14.0,True
LaMarcus Aldridge,3,4,1,0,0,1,20.3,True
LaMarcus Aldridge,4,5,1,0,0,1,21.2,True
LaMarcus Aldridge,1,9,1,2,-24,0,9.7,True
LaMarcus Aldridge,3,4,1,1,0,14,18.0,True
LaMarcus Aldridge,3,7,1,0,6,0,10.6,True
LaMarcus Aldridge,1,3,0,2,-24,-6,14.0,True
LaMarcus Aldridge,1,1,1,1,-18,0,12.8,True
LaMarcus Aldridge,5,2,1,1,0,19,11.5,True
LaMarcus Aldridge,3,7,1,1,12,9,8.7,True
LaMarcus Aldridge,1,1,1,1,-15,0,18.7,True
LaMarcus Aldridge,3,9,0,0,1,1,18.6,True
LaMarcus Aldridge,3,5,1,0,-2,0,24.0,True
LaMarcus Aldridge,4,6,0,3,15,26,16.0,True
LaMarcus Aldridge,4,9,1,1,12,4,13.7,True
LaMarcus Aldridge,3,2,1,0,0,1,20.1,True
LaMarcus Aldridge,2,5,1,0,0,1,9.9,True
LaMarcus Aldridge,1,3,1,0,2,6,19.8,True
LaMarcus Aldridge,4,3,1,2,-16,15,5.8,True
LaMarcus Aldridge,1,0,1,3,26,22,7.2,True
LaMarcus Aldridge,1,4,1,0,1,1,5.2,True
LaMarcus Aldridge,1,7,1,2,-24,9,12.1,True
LaMarcus Aldridge,1,1,1,3,10,34,14.0,True
LaMarcus Aldridge,3,11,1,6,65,14,6.0,True
LaMarcus Aldridge,4,5,1,9,-68,61,12.0,True
LaMarcus Aldridge,4,3,0,3,2,33,11.0,True
LaMarcus Aldridge,4,1,1,4,28,39,18.6,True
LaMarcus Aldridge,1,1,1,4,-21,39,10.1,True
LaMarcus Aldridge,4,6,1,1,18,4,12.4,True
LaMarcus Aldridge,2,2,0,1,-7,-11,24.0,True
LaMarcus Aldridge,1,0,1,1,10,0,20.0,True
LaMarcus Aldridge,4,4,0,2,23,6,4.8,True
LaMarcus Aldridge,3,11,1,0,6,-3,10.0,True
LaMarcus Aldridge,3,8,1,3,13,28,12.2,True
LaMarcus Aldridge,1,7,0,1,-16,1,18.2,True
LaMarcus Aldridge,4,6,0,3,1,30,13.5,True
LaMarcus Aldridge,3,8,1,2,23,4,12.2,True
LaMarcus Aldridge,2,0,1,0,-8,0,5.3,True
LaMarcus Aldridge,4,2,1,0,-7,4,10.0,True
LaMarcus Aldridge,4,2,1,2,2,20,9.8,True
LaMarcus Aldridge,1,2,1,2,-16,17,5.7,True
LaMarcus Aldridge,3,7,1,1,-15,3,15.5,True
LaMarcus Aldridge,2,1,0,1,7,17,9.6,True
LaMarcus Aldridge,3,3,0,3,21,22,24.0,True
LaMarcus Aldridge,3,7,1,1,10,-5,21.3,True
LaMarcus Aldridge,4,5,0,1,2,12,11.8,True
LaMarcus Aldridge,1,3,0,1,-11,4,14.3,True
LaMarcus Aldridge,4,7,0,2,29,0,10.5,True
LaMarcus Aldridge,4,1,0,1,15,6,7.2,True
LaMarcus Aldridge,4,2,1,1,17,6,13.3,True
LaMarcus Aldridge,3,3,1,1,15,0,13.2,True
LaMarcus Aldridge,3,6,1,1,-13,12,7.9,True
LaMarcus Aldridge,3,9,1,4,-23,39,3.0,True
LaMarcus Aldridge,4,2,1,1,18,-3,11.0,True
LaMarcus Aldridge,1,8,1,1,15,-2,15.0,True
LaMarcus Aldridge,4,2,1,0,0,1,18.9,True
LaMarcus Aldridge,2,0,0,0,0,1,24.0,True
LaMarcus Aldridge,1,0,1,0,0,1,18.0,True
LaMarcus Aldridge,3,4,1,0,0,1,9.6,True
LaMarcus Aldridge,4,7,1,0,0,1,15.1,True
LaMarcus Aldridge,3,8,1,1,2,19,24.0,True
LaMarcus Aldridge,2,3,1,0,0,1,7.4,True
LaMarcus Aldridge,3,6,1,0,0,1,14.3,True
LaMarcus Aldridge,4,0,1,0,0,1,21.8,True
LaMarcus Aldridge,1,10,1,0,0,1,22.9,True
LaMarcus Aldridge,1,3,1,0,0,1,7.5,True
LaMarcus Aldridge,2,1,1,0,0,1,20.1,True
LaMarcus Aldridge,3,4,0,10,-100,45,5.9,True
LaMarcus Aldridge,1,5,1,17,58,162,4.3,True
LaMarcus Aldridge,4,5,1,13,-136,12,7.3,True
LaMarcus Aldridge,3,3,1,11,-117,23,3.8,True
LaMarcus Aldridge,1,9,0,12,-123,31,3.0,True
LaMarcus Aldridge,3,10,1,12,-108,67,4.0,True
LaMarcus Aldridge,1,9,1,15,-89,131,9.2,True
LaMarcus Aldridge,4,2,1,17,-87,153,2.9,True
LaMarcus Aldridge,1,0,1,18,-188,12,11.3,True
LaMarcus Aldridge,3,2,0,16,-128,107,11.7,True
