name,period,minutes_remaining,shot_made_flag,shot_distance,x,y,shot_clock,shot_2pnt
LeBron James,4,3,1,0,0,1,20.9,True
LeBron James,2,6,1,0,0,1,22.2,True
LeBron James,2,3,0,0,0,1,21.9,True
LeBron James,4,10,1,0,0,1,19.0,True
LeBron James,2,2,1,0,0,1,21.0,True
LeBron James,1,10,1,0,0,1,24.0,True
LeBron James,1,9,1,0,0,1,20.5,True
LeBron James,4,0,1,0,0,1,18.6,True
LeBron James,1,10,1,0,0,1,9.6,True
LeBron James,3,11,1,0,4,3,5.0,True
LeBron James,3,9,1,0,6,0,7.4,True
LeBron James,1,6,1,2,-24,-6,20.5,True
LeBron James,4,5,1,6,61,14,12.4,True
LeBron James,2,1,1,4,40,14,8.0,True
LeBron James,1,0,1,4,39,14,19.9,True
LeBron James,2,1,1,9,-86,28,16.5,True
LeBron James,2,0,0,11,106,39,3.7,True
LeBron James,2,11,1,5,-51,31,24.0,True
LeBron James,1,7,1,0,0,1,14.0,True
LeBron James,2,8,1,0,0,1,21.3,True
LeBron James,4,3,1,0,0,1,20.5,True
LeBron James,1,7,1,0,0,1,8.7,True
LeBron James,4,9,1,0,0,1,6.2,True
LeBron James,3,5,1,0,0,1,2.3,True
LeBron James,3,0,1,0,0,1,0.0,True
LeBron James,3,0,1,0,0,1,21.1,True
LeBron James,1,9,1,0,0,1,21.8,True
LeBron James,2,1,1,0,0,1,14.4,True
LeBron James,4,3,1,0,0,1,18.9,True
LeBron James,2,9,1,0,0,1,19.4,True
LeBron James,1,10,1,0,0,1,8.3,True
LeBron James,3,4,1,0,-5,3,15.3,True
LeBron James,2,7,0,1,7,11,8.3,True
LeBron James,3,11,1,1,10,11,8.0,True
LeBron James,3,0,1,1,6,11,11.2,True
LeBron James,1,2,1,1,-13,3,1.0,True
LeBron James,2,0,0,2,15,17,0.0,True
LeBron James,3,4,0,2,18,11,20.4,True
LeBron James,4,2,1,0,1,6,3.1,True
LeBron James,3,0,1,1,-8,15,9.0,True
LeBron James,2,1,0,1,1,17,9.9,True
LeBron James,2,11,1,1,17,3,6.9,True
LeBron James,3,4,1,7,65,31,4.0,True
LeBron James,1,2,0,4,-35,22,2.8,True
LeBron James,3,1,1,6,50,45,13.9,True
LeBron James,3,5,1,10,-105,25,13.7,True
LeBron James,1,1,1,4,9,39,4.7,True
LeBron James,1,7,0,1,17,-3,14.0,True
LeBron James,4,4,1,0,4,0,19.3,True
LeBron James,1,5,0,1,-2,11,0.0,True
LeBron James,1,5,0,0,2,4,12.0,True
LeBron James,2,1,0,1,-2,12,18.5,True
LeBron James,1,8,1,1,-13,15,14.6,True
LeBron James,1,7,1,2,13,17,5.8,True
LeBron James,3,8,1,2,20,0,15.2,True
LeBron James,2,9,0,1,-7,17,15.9,True
LeBron James,5,1,0,1,10,6,6.2,True
LeBron James,4,0,0,0,2,-6,1.5,True
LeBron James,2,2,1,1,12,0,12.7,True
LeBron James,2,0,1,1,10,-17,6.3,True
LeBron James,4,8,1,0,-7,-5,4.2,True
LeBron James,2,7,1,0,9,0,11.1,True
LeBron James,1,7,1,1,18,-2,7.4,True
LeBron James,1,11,1,0,-4,0,6.8,True
LeBron James,3,1,1,1,15,0,19.9,True
LeBron James,4,0,1,1,0,12,4.4,True
LeBron James,4,9,0,1,18,0,2.1,True
LeBron James,2,6,1,1,-8,12,17.7,True
LeBron James,2,0,1,0,-2,0,2.7,True
LeBron James,2,2,1,0,0,-3,4.0,True
LeBron James,2,8,1,0,1,4,10.9,True
LeBron James,1,9,1,1,0,-13,12.0,True
LeBron James,4,8,1,1,17,4,9.2,True
LeBron James,3,2,1,0,-5,4,17.2,True
LeBron James,4,0,1,2,-23,1,6.9,True
LeBron James,4,0,1,0,-8,-2,8.1,True
LeBron James,1,9,1,1,6,11,12.1,True
LeBron James,3,4,1,0,1,1,21.5,True
LeBron James,4,1,1,0,-5,7,12.0,True
LeBron James,1,2,1,2,9,26,12.2,True
LeBron James,3,5,1,1,-7,14,14.7,True
LeBron James,1,7,1,0,0,6,16.6,True
LeBron James,4,10,1,0,4,0,14.8,True
LeBron James,3,10,1,1,-15,0,16.6,True
LeBron James,3,7,1,0,-4,-2,8.8,True
LeBron James,3,9,1,1,-19,6,18.2,True
LeBron James,1,2,1,2,9,20,20.5,True
LeBron James,3,8,1,1,10,11,15.3,True
LeBron James,3,3,1,0,2,7,6.0,True
LeBron James,4,2,0,3,-37,1,4.9,True
LeBron James,1,2,0,2,-8,22,13.7,True
LeBron James,3,10,1,1,0,-16,9.1,True
LeBron James,4,6,1,0,-4,6,5.7,True
LeBron James,2,9,1,1,18,6,18.4,True
LeBron James,4,5,1,1,1,12,15.6,True
LeBron James,4,3,1,0,-2,3,18.3,True
LeBron James,1,6,0,3,-35,8,15.2,True
LeBron James,3,4,1,0,-4,-3,9.9,True
LeBron James,2,9,1,1,2,12,14.7,True
LeBron James,3,3,1,1,17,7,18.3,True
LeBron James,2,10,0,1,-10,3,5.0,True
LeBron James,3,7,0,2,-18,14,15.3,True
LeBron James,1,10,0,0,1,3,10.7,True
LeBron James,2,4,1,1,-10,4,7.8,True
LeBron James,2,11,1,0,-4,-8,17.9,True
LeBron James,2,1,1,2,24,14,3.9,True
LeBron James,1,0,1,1,-10,-2,11.0,True
LeBron James,1,5,1,1,12,-2,7.3,True
LeBron James,4,7,1,0,1,1,14.7,True
LeBron James,4,6,1,2,-4,28,20.0,True
LeBron James,1,0,1,0,-8,1,14.6,True
LeBron James,2,2,0,1,-10,0,7.1,True
LeBron James,2,8,1,0,1,6,11.1,True
LeBron James,1,11,1,0,2,-3,10.4,True
LeBron James,2,3,1,1,-11,4,10.8,True
LeBron James,1,10,1,1,0,11,16.0,True
LeBron James,2,5,1,2,-23,7,2.8,True
LeBron James,1,2,0,2,18,19,11.8,True
LeBron James,2,10,0,1,13,7,18.7,True
LeBron James,2,11,0,0,1,0,15.8,True
LeBron James,1,1,0,1,-13,0,14.0,True
LeBron James,1,7,0,1,13,-2,16.1,True
LeBron James,2,1,1,0,0,-8,10.1,True
LeBron James,2,2,0,1,10,4,9.1,True
LeBron James,2,6,0,0,-7,0,13.3,True
LeBron James,2,6,1,0,0,-2,16.0,True
LeBron James,3,9,1,0,-2,0,13.3,True
LeBron James,2,9,1,0,0,-8,19.9,True
LeBron James,1,1,1,0,0,-2,11.8,True
LeBron James,4,7,1,0,0,6,18.9,True
LeBron James,1,1,1,0,1,1,17.4,True
LeBron James,2,9,1,0,7,1,5.1,True
LeBron James,4,4,0,1,12,-5,14.1,True
LeBron James,4,6,1,1,2,15,3.0,True
LeBron James,1,4,1,1,-16,4,21.1,True
LeBron James,2,1,0,1,-15,1,24.0,True
LeBron James,3,3,1,0,2,0,19.7,True
LeBron James,3,9,1,1,-18,3,18.0,True
LeBron James,2,3,1,0,0,-2,14.3,True
LeBron James,1,8,0,0,-2,7,9.2,True
LeBron James,1,7,1,0,0,-3,19.5,True
LeBron James,3,2,1,3,-32,12,18.3,True
LeBron James,1,6,0,3,-24,22,20.6,True
LeBron James,4,5,1,0,4,3,18.7,True
