name,period,minutes_remaining,shot_made_flag,shot_distance,x,y,shot_clock,shot_2pnt
Lou Williams,2,8,0,10,102,17,16.6,True
Lou Williams,4,5,1,12,118,28,16.7,True
Lou Williams,4,2,1,4,40,20,18.4,True
Lou Williams,1,0,1,18,62,170,5.9,True
Lou Williams,2,10,0,4,37,30,8.8,True
Lou Williams,2,10,0,4,42,22,15.2,True
Lou Williams,2,11,1,3,34,6,17.5,True
Lou Williams,3,0,1,7,56,55,1.7,True
Lou Williams,4,10,0,4,39,31,7.4,True
Lou Williams,2,8,1,5,48,15,14.4,True
Lou Williams,2,2,1,0,0,1,18.1,True
Lou Williams,4,7,1,0,0,1,22.0,True
Lou Williams,2,11,0,2,4,23,10.7,True
Lou Williams,2,9,1,0,0,9,12.9,True
Lou Williams,1,1,0,2,7,22,17.7,True
Lou Williams,4,10,1,3,29,15,16.6,True
Lou Williams,3,1,0,3,28,14,15.4,True
Lou Williams,4,6,1,2,20,1,20.8,True
Lou Williams,3,0,1,0,-5,6,17.4,True
Lou Williams,1,3,1,0,7,1,19.6,True
Lou Williams,1,5,1,4,4,44,7.4,True
Lou Williams,2,10,1,1,2,12,22.7,True
Lou Williams,4,0,1,2,2,22,5.9,True
Lou Williams,2,8,1,1,15,12,19.8,True
Lou Williams,3,3,1,1,12,0,18.0,True
Lou Williams,3,0,0,7,-64,45,0.0,True
Lou Williams,2,8,0,2,13,23,18.6,True
Lou Williams,3,0,0,11,42,102,7.1,True
Lou Williams,3,0,0,15,-81,137,9.5,True
Lou Williams,4,6,0,12,51,118,17.8,True
Lou Williams,3,0,1,3,-38,9,20.5,True
Lou Williams,1,0,0,8,42,69,4.5,True
Lou Williams,1,0,1,10,-105,9,0.0,True
Lou Williams,2,10,0,3,20,25,16.7,True
Lou Williams,2,0,0,4,-2,42,17.3,True
Lou Williams,4,5,1,5,-54,20,16.8,True
Lou Williams,1,2,1,13,-103,82,17.0,True
Lou Williams,1,3,0,7,58,52,10.8,True
Lou Williams,3,3,0,15,147,37,6.9,True
Lou Williams,4,10,1,8,-70,42,8.2,True
Lou Williams,4,11,0,2,18,14,23.7,True
Lou Williams,4,7,0,1,2,17,18.1,True
Lou Williams,1,4,1,0,2,0,10.3,True
Lou Williams,2,11,1,0,0,1,17.3,True
Lou Williams,2,8,1,0,2,9,8.7,True
Lou Williams,1,0,0,1,18,6,0.0,True
Lou Williams,4,9,0,2,-27,7,8.5,True
Lou Williams,4,11,0,1,17,1,17.4,True
Lou Williams,1,1,0,3,-32,-8,20.0,True
Lou Williams,3,1,0,2,21,11,19.5,True
Lou Williams,3,0,1,3,29,9,19.0,True
Lou Williams,2,0,0,2,26,11,5.9,True
Lou Williams,1,2,0,2,29,1,18.0,True
Lou Williams,2,11,1,4,-41,3,24.0,True
Lou Williams,4,10,1,1,-2,12,5.9,True
Lou Williams,2,6,0,2,-21,11,19.0,True
Lou Williams,2,7,0,3,34,4,9.7,True
Lou Williams,4,3,0,3,34,12,12.7,True
Lou Williams,1,0,0,1,10,0,21.0,True
Lou Williams,4,10,0,0,0,4,4.2,True
Lou Williams,3,5,1,2,17,17,19.9,True
Lou Williams,1,1,1,2,-29,-6,11.1,True
Lou Williams,4,9,1,2,21,6,7.2,True
Lou Williams,2,7,0,2,18,17,20.9,True
Lou Williams,4,9,0,2,24,11,10.4,True
Lou Williams,4,3,1,2,-27,7,7.8,True
Lou Williams,5,3,1,1,12,-2,12.3,True
Lou Williams,3,6,1,3,24,20,10.0,True
Lou Williams,4,5,0,4,40,0,11.8,True
Lou Williams,2,9,1,1,0,-17,22.6,True
Lou Williams,3,2,0,2,-7,23,9.5,True
Lou Williams,3,0,0,1,-8,7,5.6,True
Lou Williams,3,2,1,2,-27,1,11.8,True
Lou Williams,4,0,1,2,15,25,19.8,True
Lou Williams,4,1,1,1,12,9,21.8,True
Lou Williams,1,1,0,3,19,32,19.5,True
Lou Williams,3,0,0,5,43,26,0.0,True
Lou Williams,2,6,0,2,28,6,8.3,True
Lou Williams,1,0,1,2,21,-2,0.0,True
Lou Williams,4,3,1,0,6,1,10.0,True
Lou Williams,3,3,1,1,-5,11,21.2,True
Lou Williams,3,2,1,2,-26,12,17.4,True
Lou Williams,2,2,1,1,17,3,11.4,True
Lou Williams,2,6,1,0,-5,0,15.2,True
Lou Williams,4,1,1,1,-5,17,19.5,True
Lou Williams,3,4,1,2,20,14,12.3,True
Lou Williams,4,10,1,1,7,11,14.8,True
Lou Williams,1,1,1,0,-2,-8,20.7,True
Lou Williams,1,2,0,0,-5,0,17.7,True
Lou Williams,3,0,1,3,-38,4,13.2,True
Lou Williams,1,3,0,2,23,1,16.9,True
Lou Williams,4,3,1,1,17,4,10.6,True
Lou Williams,4,8,0,1,13,7,4.2,True
Lou Williams,2,0,1,0,0,1,0.0,True
Lou Williams,3,0,1,0,0,1,9.7,True
Lou Williams,1,0,1,0,0,1,0.0,True
Lou Williams,1,0,1,11,-114,31,2.1,True
Lou Williams,2,5,0,17,-166,44,18.3,True
Lou Williams,1,1,0,15,47,151,17.6,True
Lou Williams,1,0,0,25,-75,247,0.0,False
Lou Williams,3,0,0,16,-157,45,9.7,True
Lou Williams,3,0,1,19,92,170,2.3,True
Lou Williams,3,1,0,16,-146,85,8.0,True
Lou Williams,2,11,1,11,-109,28,11.4,True
Lou Williams,2,3,0,15,-139,63,11.7,True
Lou Williams,4,6,0,15,-144,44,15.3,True
Lou Williams,2,11,0,16,-164,31,14.8,True
Lou Williams,1,1,0,12,-120,39,13.8,True
Lou Williams,2,8,1,17,-171,15,7.4,True
Lou Williams,2,6,1,19,-114,162,9.1,True
Lou Williams,4,8,0,17,-169,44,15.0,True
Lou Williams,1,3,1,18,-117,148,10.0,True
Lou Williams,4,11,0,22,-218,30,14.0,True
Lou Williams,4,11,1,11,-97,55,13.0,True
Lou Williams,2,0,0,25,119,231,0.0,False
Lou Williams,4,3,0,18,-157,89,13.4,True
Lou Williams,4,6,0,15,-155,11,15.8,True
Lou Williams,2,6,0,18,170,69,19.3,True
Lou Williams,3,1,1,14,1,146,16.5,True
Lou Williams,3,4,0,14,-138,25,8.5,True
Lou Williams,4,10,1,16,-168,14,13.0,True
Lou Williams,4,6,1,19,64,184,16.9,True
Lou Williams,3,0,1,10,106,11,19.0,True
Lou Williams,1,1,1,14,-117,93,7.9,True
Lou Williams,2,8,0,16,140,85,3.4,True
Lou Williams,2,8,1,15,-70,135,13.7,True
Lou Williams,4,7,1,15,6,157,8.7,True
Lou Williams,4,7,1,21,118,178,14.0,True
Lou Williams,2,8,1,14,-138,53,7.7,True
Lou Williams,2,7,0,17,170,3,8.4,True
Lou Williams,4,2,1,16,160,11,19.0,True
Lou Williams,2,3,1,17,-177,20,13.7,True
Lou Williams,4,8,0,20,9,201,5.3,True
Lou Williams,2,9,1,26,-71,260,0.8,False
Lou Williams,4,9,0,8,-11,88,12.0,True
Lou Williams,1,1,0,14,-147,14,0.0,True
Lou Williams,4,8,1,16,94,131,10.0,True
Lou Williams,3,3,1,18,-183,0,16.7,True
Lou Williams,4,10,0,17,171,11,14.0,True
Lou Williams,4,10,1,19,-109,156,13.0,True
Lou Williams,4,7,1,11,-111,41,10.9,True
Lou Williams,4,7,1,22,-224,14,15.8,False
Lou Williams,4,9,0,13,-76,108,15.4,True
Lou Williams,3,4,1,17,-105,142,15.5,True
Lou Williams,4,8,1,7,-75,7,19.8,True
Lou Williams,2,11,0,17,-174,17,4.3,True
Lou Williams,3,4,1,17,-157,86,17.0,True
Lou Williams,4,5,1,19,-108,168,14.9,True
Lou Williams,4,3,0,15,-149,33,9.4,True
Lou Williams,2,11,1,14,-141,22,8.5,True
Lou Williams,4,7,1,13,-108,85,16.6,True
Lou Williams,4,7,1,1,-7,9,19.8,True
Lou Williams,3,2,1,6,-27,61,15.5,True
Lou Williams,4,10,0,23,-161,173,15.0,True
Lou Williams,3,0,1,7,31,71,14.2,True
Lou Williams,4,11,1,16,-146,86,7.8,True
Lou Williams,4,8,0,6,51,44,10.0,True
Lou Williams,4,10,0,5,23,55,7.4,True
Lou Williams,4,1,1,18,-108,146,0.1,True
Lou Williams,2,2,0,14,140,17,6.3,True
