name,period,minutes_remaining,shot_made_flag,shot_distance,x,y,shot_clock,shot_2pnt
Marc Gasol,3,10,1,2,-13,19,11.1,True
Marc Gasol,1,5,1,0,0,1,10.7,True
Marc Gasol,2,9,1,1,6,-10,5.0,True
Marc Gasol,4,1,0,2,6,28,0.0,True
Marc Gasol,1,1,1,0,0,1,9.3,True
Marc Gasol,1,9,1,0,0,1,8.0,True
Marc Gasol,3,4,1,0,0,1,14.3,True
Marc Gasol,4,0,1,0,0,1,19.5,True
Marc Gasol,1,5,1,1,2,15,13.0,True
Marc Gasol,3,9,1,0,6,7,18.1,True
Marc Gasol,1,3,1,6,36,52,13.8,True
Marc Gasol,1,2,1,5,18,56,10.9,True
Marc Gasol,4,4,0,4,24,36,15.4,True
Marc Gasol,2,0,0,4,-5,48,16.7,True
Marc Gasol,3,9,0,5,39,41,9.6,True
Marc Gasol,3,6,1,4,26,34,0.0,True
Marc Gasol,4,7,0,4,12,47,6.0,True
Marc Gasol,4,0,0,1,12,4,0.9,True
Marc Gasol,1,5,1,1,10,7,10.2,True
Marc Gasol,1,8,1,1,17,0,5.4,True
Marc Gasol,2,1,1,1,-16,11,8.6,True
Marc Gasol,1,1,0,1,-7,15,3.1,True
Marc Gasol,3,6,1,0,9,4,18.0,True
Marc Gasol,3,5,0,1,-11,0,4.1,True
Marc Gasol,3,8,1,2,-11,19,24.0,True
Marc Gasol,1,6,1,0,6,-2,6.5,True
Marc Gasol,3,7,1,0,1,-6,13.0,True
Marc Gasol,1,1,1,0,4,9,19.4,True
Marc Gasol,3,0,1,1,-15,1,9.5,True
Marc Gasol,1,7,1,1,-13,3,7.9,True
Marc Gasol,1,6,0,3,29,19,17.6,True
Marc Gasol,3,2,1,0,-5,6,16.0,True
Marc Gasol,4,3,1,1,15,-2,12.0,True
Marc Gasol,3,4,1,1,0,15,16.0,True
Marc Gasol,3,1,1,0,4,0,11.9,True
Marc Gasol,3,5,1,1,18,-2,0.0,True
Marc Gasol,3,10,1,2,4,26,14.8,True
Marc Gasol,1,1,1,1,-15,3,6.0,True
Marc Gasol,3,4,1,1,-16,9,7.5,True
Marc Gasol,2,9,1,1,15,3,12.8,True
Marc Gasol,2,8,1,1,12,0,4.0,True
Marc Gasol,4,3,1,1,12,-2,3.3,True
