name,period,minutes_remaining,shot_made_flag,shot_distance,x,y,shot_clock,shot_2pnt
Marcin Gortat,3,9,1,0,0,1,19.5,True
Marcin Gortat,1,6,1,0,0,1,6.4,True
Marcin Gortat,1,6,1,0,0,1,13.4,True
Marcin Gortat,1,6,1,0,0,1,24.0,True
Marcin Gortat,1,9,1,0,0,1,13.0,True
Marcin Gortat,2,3,1,0,0,1,13.1,True
Marcin Gortat,2,2,0,0,0,1,10.9,True
Marcin Gortat,2,3,1,0,0,1,16.5,True
Marcin Gortat,4,8,1,0,0,1,13.9,True
Marcin Gortat,4,2,1,0,0,1,17.7,True
Marcin Gortat,1,7,1,1,17,-2,11.3,True
Marcin Gortat,1,10,0,2,24,-6,18.8,True
Marcin Gortat,2,2,1,1,-10,6,17.6,True
Marcin Gortat,4,6,1,1,-8,6,15.0,True
Marcin Gortat,3,1,1,2,-18,14,9.1,True
Marcin Gortat,3,3,1,0,7,1,18.8,True
Marcin Gortat,1,1,1,1,15,7,12.2,True
Marcin Gortat,3,1,1,0,-2,1,13.0,True
Marcin Gortat,2,2,1,0,-5,1,19.1,True
Marcin Gortat,3,3,1,1,-4,12,19.5,True
Marcin Gortat,1,10,1,0,4,6,19.5,True
Marcin Gortat,1,3,1,4,31,31,6.7,True
Marcin Gortat,1,3,1,0,0,1,4.5,True
Marcin Gortat,1,11,1,0,0,1,9.4,True
Marcin Gortat,2,3,1,0,0,1,0.0,True
Marcin Gortat,1,9,1,1,0,17,8.7,True
Marcin Gortat,1,10,1,0,6,3,14.0,True
Marcin Gortat,1,11,1,0,6,6,11.3,True
Marcin Gortat,1,4,1,2,15,19,14.7,True
Marcin Gortat,3,2,1,0,-7,1,6.6,True
Marcin Gortat,1,9,1,1,10,7,13.8,True
Marcin Gortat,3,9,1,3,-15,34,24.0,True
Marcin Gortat,1,8,1,7,-62,41,16.9,True
Marcin Gortat,3,8,0,5,-24,45,14.0,True
Marcin Gortat,3,9,0,1,-13,6,6.8,True
Marcin Gortat,1,1,1,1,10,0,10.9,True
