name,period,minutes_remaining,shot_made_flag,shot_distance,x,y,shot_clock,shot_2pnt
Marco Belinelli,4,6,0,0,4,3,21.7,True
Marco Belinelli,2,3,1,1,12,11,18.2,True
Marco Belinelli,4,6,1,1,15,7,9.2,True
Marco Belinelli,4,3,1,1,13,0,22.8,True
Marco Belinelli,3,0,0,2,21,15,0.0,True
Marco Belinelli,4,7,0,5,48,25,16.8,True
Marco Belinelli,3,10,1,0,0,1,15.0,True
Marco Belinelli,2,6,0,2,20,12,5.7,True
Marco Belinelli,3,2,1,1,-5,11,20.4,True
Marco Belinelli,1,3,1,0,0,-5,8.2,True
Marco Belinelli,4,5,0,1,13,-2,9.0,True
Marco Belinelli,1,8,1,1,9,-6,16.5,True
Marco Belinelli,3,2,1,1,-10,9,13.4,True
Marco Belinelli,4,7,0,1,-4,11,10.7,True
Marco Belinelli,3,2,1,2,21,-3,11.6,True
Marco Belinelli,2,9,1,2,-26,0,9.2,True
Marco Belinelli,4,6,1,0,-2,-3,9.8,True
Marco Belinelli,1,5,0,2,-13,20,3.0,True
Marco Belinelli,2,10,1,0,0,1,5.0,True
Marco Belinelli,3,3,0,10,-97,44,6.3,True
Marco Belinelli,1,3,1,10,108,17,7.2,True
Marco Belinelli,1,0,0,24,-16,247,0.0,False
Marco Belinelli,3,0,0,21,190,99,3.2,True
Marco Belinelli,1,1,0,14,-38,137,5.8,True
Marco Belinelli,1,3,1,1,-10,6,13.6,True
Marco Belinelli,2,3,1,0,7,3,15.2,True
Marco Belinelli,2,9,1,9,-76,56,21.7,True
Marco Belinelli,4,3,1,10,51,97,10.4,True
Marco Belinelli,3,5,0,6,43,53,9.3,True
Marco Belinelli,6,2,1,8,31,83,9.0,True
Marco Belinelli,2,4,0,15,-153,-2,11.9,True
Marco Belinelli,3,2,1,11,-4,112,10.2,True
Marco Belinelli,4,8,1,12,31,118,12.0,True
Marco Belinelli,2,6,1,8,10,83,16.9,True
Marco Belinelli,3,0,1,10,-2,107,3.0,True
Marco Belinelli,4,8,0,5,56,17,11.2,True
Marco Belinelli,2,4,0,21,7,213,16.0,True
Marco Belinelli,2,1,0,5,-49,17,2.3,True
Marco Belinelli,4,0,0,26,159,208,16.5,False
Marco Belinelli,4,7,0,24,-188,151,0.0,False
Marco Belinelli,4,4,0,27,-54,272,0.0,False
Marco Belinelli,1,2,1,23,239,19,17.4,False
Marco Belinelli,3,9,1,24,-196,153,9.3,False
Marco Belinelli,4,7,1,25,144,205,9.5,False
Marco Belinelli,4,11,1,24,166,179,13.3,False
Marco Belinelli,4,8,1,24,190,162,12.8,False
Marco Belinelli,4,7,1,22,212,86,15.7,True
Marco Belinelli,3,5,1,18,-187,14,14.5,True
Marco Belinelli,4,2,1,16,-37,159,15.0,True
Marco Belinelli,4,1,1,25,-46,246,16.9,False
Marco Belinelli,2,7,1,24,171,179,20.0,False
Marco Belinelli,1,4,1,22,-226,-10,19.9,False
Marco Belinelli,1,1,1,8,-79,36,15.0,True
Marco Belinelli,1,0,1,26,-144,224,4.2,False
Marco Belinelli,2,7,0,17,-81,157,1.7,True
Marco Belinelli,2,5,1,26,226,142,2.5,False
Marco Belinelli,2,0,1,22,-68,213,0.0,True
Marco Belinelli,3,11,1,24,242,-16,14.9,False
Marco Belinelli,4,7,0,17,173,28,6.9,True
Marco Belinelli,3,2,1,25,28,249,5.7,False
Marco Belinelli,3,1,1,25,-57,247,9.4,False
Marco Belinelli,2,11,1,24,-38,238,10.6,False
Marco Belinelli,1,2,0,25,-4,255,16.4,False
Marco Belinelli,1,1,1,3,-27,23,24.0,True
Marco Belinelli,4,0,1,10,105,-8,0.0,True
Marco Belinelli,2,7,0,6,-64,25,11.1,True
Marco Belinelli,3,3,1,25,149,201,8.3,False
Marco Belinelli,3,2,1,26,233,124,4.4,False
Marco Belinelli,3,0,1,24,-187,164,12.6,False
Marco Belinelli,4,2,0,9,47,86,3.1,True
Marco Belinelli,1,4,1,23,231,22,6.7,False
Marco Belinelli,1,2,1,13,-54,127,7.2,True
Marco Belinelli,1,0,1,20,-8,203,3.0,True
Marco Belinelli,2,5,1,25,-5,257,8.7,False
Marco Belinelli,2,3,1,24,-218,119,17.9,False
Marco Belinelli,3,7,0,25,42,247,2.0,False
Marco Belinelli,3,5,1,19,122,153,10.0,True
Marco Belinelli,4,8,1,24,193,157,10.9,False
Marco Belinelli,6,3,1,15,133,88,7.9,True
Marco Belinelli,7,2,1,16,165,14,15.0,True
Marco Belinelli,1,11,1,21,0,211,3.7,True
Marco Belinelli,1,0,1,22,-122,194,0.0,True
Marco Belinelli,2,6,0,18,-86,159,2.8,True
Marco Belinelli,2,2,0,10,28,102,7.4,True
Marco Belinelli,2,0,1,20,53,201,11.4,True
Marco Belinelli,3,7,0,24,65,239,9.0,False
Marco Belinelli,3,2,0,7,58,45,3.3,True
Marco Belinelli,1,1,1,24,129,214,10.9,False
Marco Belinelli,2,11,1,22,-229,-11,11.1,False
Marco Belinelli,2,9,1,24,21,246,11.3,False
Marco Belinelli,1,5,1,26,162,209,21.8,False
Marco Belinelli,1,2,1,25,4,250,13.8,False
Marco Belinelli,2,1,1,22,-229,-8,11.3,False
Marco Belinelli,2,0,1,23,-234,4,14.7,False
Marco Belinelli,2,11,0,18,-185,7,13.9,True
Marco Belinelli,2,6,0,18,-149,110,9.0,True
Marco Belinelli,3,9,1,23,239,-3,10.1,False
Marco Belinelli,3,2,1,23,237,-3,8.6,False
Marco Belinelli,2,11,1,18,-172,60,17.0,True
Marco Belinelli,3,6,1,24,220,112,18.9,False
Marco Belinelli,3,5,1,21,-76,200,12.1,True
Marco Belinelli,4,5,1,11,99,66,8.8,True
Marco Belinelli,2,1,1,15,1,157,16.4,True
Marco Belinelli,1,11,1,22,160,164,11.6,True
Marco Belinelli,3,3,1,17,171,-2,5.0,True
Marco Belinelli,4,6,0,3,34,4,15.4,True
Marco Belinelli,4,5,1,19,192,34,13.3,True
Marco Belinelli,1,11,1,24,-150,195,15.4,False
Marco Belinelli,3,10,1,21,-101,190,5.3,True
Marco Belinelli,3,9,1,19,-193,41,16.2,True
Marco Belinelli,3,0,1,26,143,227,0.8,False
Marco Belinelli,4,2,1,25,-182,173,22.3,False
Marco Belinelli,2,9,1,16,77,146,13.4,True
Marco Belinelli,4,4,1,21,160,145,16.3,True
Marco Belinelli,4,8,1,25,182,181,12.2,False
Marco Belinelli,4,11,0,25,119,225,10.0,False
Marco Belinelli,2,5,0,24,-196,153,7.1,False
Marco Belinelli,4,3,0,26,174,194,5.1,False
Marco Belinelli,4,6,0,24,218,104,18.7,False
Marco Belinelli,3,11,0,26,192,178,7.5,False
Marco Belinelli,2,0,0,25,81,239,2.9,False
Marco Belinelli,2,10,0,19,-194,41,14.3,True
Marco Belinelli,2,2,0,15,138,72,11.3,True
Marco Belinelli,1,2,0,3,-38,6,13.6,True
Marco Belinelli,3,5,0,24,241,-17,10.9,False
Marco Belinelli,2,2,0,24,-160,189,22.2,False
Marco Belinelli,1,2,0,3,-27,-24,3.0,True
Marco Belinelli,2,4,0,23,237,9,4.0,False
Marco Belinelli,2,8,0,24,114,220,22.2,False
Marco Belinelli,2,2,0,21,-70,200,15.7,True
Marco Belinelli,3,8,0,25,62,247,21.5,False
Marco Belinelli,4,4,0,23,-234,25,8.6,False
Marco Belinelli,4,5,0,26,118,238,2.7,False
Marco Belinelli,4,11,0,23,234,-6,19.0,False
Marco Belinelli,1,5,0,24,-29,247,14.5,False
Marco Belinelli,3,9,0,24,-205,132,12.6,False
Marco Belinelli,3,6,0,3,21,28,20.0,True
Marco Belinelli,2,9,0,23,-231,4,8.8,False
Marco Belinelli,1,1,0,21,0,213,9.7,True
Marco Belinelli,1,7,0,31,2,312,0.8,False
Marco Belinelli,4,8,0,16,-130,102,8.8,True
Marco Belinelli,4,0,0,25,173,181,0.0,False
Marco Belinelli,3,9,0,26,209,160,21.0,False
Marco Belinelli,3,4,0,17,-95,149,5.4,True
Marco Belinelli,4,11,1,19,15,195,0.0,True
Marco Belinelli,4,4,0,6,50,48,0.0,True
Marco Belinelli,2,10,1,19,-133,138,0.0,True
Marco Belinelli,2,9,0,24,166,183,0.0,False
Marco Belinelli,3,4,1,20,-202,36,0.0,True
Marco Belinelli,1,5,0,25,122,219,8.1,False
Marco Belinelli,2,8,0,22,-226,7,14.5,False
Marco Belinelli,3,7,0,22,226,4,11.1,False
Marco Belinelli,4,4,0,19,177,83,10.6,True
Marco Belinelli,3,10,0,22,-13,222,12.4,True
Marco Belinelli,7,2,0,24,-34,247,16.5,False
Marco Belinelli,4,6,0,23,239,-2,24.0,False
Marco Belinelli,3,2,0,22,-223,17,17.7,False
Marco Belinelli,3,11,0,21,154,149,15.5,True
Marco Belinelli,4,1,0,26,-138,222,7.8,False
Marco Belinelli,4,7,0,22,151,170,3.7,True
Marco Belinelli,2,5,0,19,143,126,16.9,True
Marco Belinelli,2,10,0,6,50,45,3.8,True
Marco Belinelli,3,0,0,25,141,209,16.0,False
Marco Belinelli,1,10,0,23,-235,-6,4.1,False
Marco Belinelli,3,2,0,25,187,178,11.0,False
Marco Belinelli,3,5,0,23,236,4,17.3,False
Marco Belinelli,2,7,0,25,228,104,4.5,False
Marco Belinelli,4,5,0,18,89,162,8.7,True
Marco Belinelli,1,7,0,25,166,189,7.7,False
Marco Belinelli,3,7,1,21,217,28,7.2,True
Marco Belinelli,4,9,0,27,2,271,14.4,False
