name,period,minutes_remaining,shot_made_flag,shot_distance,x,y,shot_clock,shot_2pnt
Marcus Smart,3,5,1,0,0,1,15.3,True
Marcus Smart,4,0,1,0,7,0,23.4,True
Marcus Smart,2,4,0,0,0,1,21.7,True
Marcus Smart,2,0,1,0,-7,0,0.0,True
Marcus Smart,5,2,1,1,10,0,17.9,True
Marcus Smart,4,8,1,6,62,14,12.7,True
Marcus Smart,4,9,1,1,18,1,8.8,True
Marcus Smart,3,9,0,5,-46,34,17.5,True
Marcus Smart,4,5,0,4,-46,6,15.0,True
Marcus Smart,3,7,1,5,-51,15,14.5,True
Marcus Smart,4,3,0,2,-19,19,17.4,True
Marcus Smart,2,2,1,0,-7,1,11.7,True
Marcus Smart,2,11,0,0,1,4,10.8,True
Marcus Smart,1,6,0,0,-2,1,19.7,True
Marcus Smart,4,1,1,3,-29,12,18.0,True
Marcus Smart,4,0,1,2,21,11,0.0,True
Marcus Smart,3,10,1,2,21,19,13.6,True
Marcus Smart,3,6,1,0,-7,0,17.4,True
Marcus Smart,1,9,1,1,12,0,20.6,True
Marcus Smart,3,9,0,2,23,1,19.9,True
Marcus Smart,3,11,0,2,18,22,10.6,True
Marcus Smart,4,3,1,3,2,36,2.2,True
Marcus Smart,2,4,0,0,0,-2,17.9,True
Marcus Smart,2,0,1,0,-5,-8,9.7,True
Marcus Smart,4,11,1,0,2,4,12.7,True
Marcus Smart,4,0,0,0,0,7,12.2,True
Marcus Smart,2,5,1,1,9,9,14.0,True
Marcus Smart,4,6,1,0,2,4,8.2,True
Marcus Smart,3,1,1,0,2,0,14.0,True
Marcus Smart,1,6,1,0,0,9,6.3,True
Marcus Smart,1,11,0,0,-7,1,12.6,True
Marcus Smart,4,4,1,0,-2,-3,14.3,True
Marcus Smart,2,9,1,0,0,1,22.0,True
Marcus Smart,4,0,1,0,0,1,18.9,True
Marcus Smart,4,5,1,4,40,12,24.0,True
Marcus Smart,4,10,0,7,-57,45,8.9,True
Marcus Smart,2,4,0,11,51,99,2.7,True
Marcus Smart,3,2,0,14,67,124,10.6,True
Marcus Smart,1,4,1,2,-15,22,13.8,True
Marcus Smart,2,11,0,16,13,164,0.0,True
Marcus Smart,4,7,1,6,-59,36,7.1,True
Marcus Smart,1,8,0,10,43,97,12.3,True
Marcus Smart,3,6,0,5,2,53,15.1,True
Marcus Smart,4,2,0,6,50,48,5.2,True
Marcus Smart,3,4,0,4,-2,41,19.4,True
Marcus Smart,4,0,0,14,53,131,12.3,True
Marcus Smart,2,6,1,17,-62,168,11.8,True
Marcus Smart,3,4,1,24,190,151,12.9,False
Marcus Smart,1,2,1,25,78,242,10.3,False
Marcus Smart,2,11,1,23,-153,184,13.5,False
Marcus Smart,3,5,1,25,-212,135,19.9,False
Marcus Smart,1,3,0,24,-218,119,17.0,False
Marcus Smart,3,8,0,23,230,30,20.0,False
Marcus Smart,1,0,0,3,24,31,15.3,True
Marcus Smart,3,5,0,24,102,228,24.0,False
Marcus Smart,4,3,1,25,192,162,16.1,False
Marcus Smart,3,10,0,18,51,173,24.0,True
Marcus Smart,4,10,1,23,-234,9,3.3,False
Marcus Smart,1,5,1,23,-232,12,15.7,False
Marcus Smart,3,0,0,24,-210,121,0.0,False
Marcus Smart,1,1,1,25,242,72,13.6,False
Marcus Smart,1,7,1,25,-191,164,15.8,False
Marcus Smart,3,1,1,25,99,238,16.3,False
Marcus Smart,1,4,0,26,144,217,14.1,False
Marcus Smart,2,0,0,24,209,135,23.3,False
Marcus Smart,1,0,0,27,-205,176,0.0,False
Marcus Smart,1,8,0,25,-153,209,18.2,False
Marcus Smart,2,7,1,24,135,208,18.8,False
Marcus Smart,3,11,0,9,-71,60,9.7,True
Marcus Smart,2,6,0,26,-112,235,4.2,False
Marcus Smart,4,5,0,26,78,250,7.7,False
Marcus Smart,4,0,0,19,-193,36,17.7,True
Marcus Smart,1,9,0,15,113,112,11.0,True
Marcus Smart,4,11,1,24,-95,224,17.4,False
Marcus Smart,2,3,0,25,225,112,15.1,False
Marcus Smart,2,4,0,25,165,192,14.2,False
Marcus Smart,1,1,1,23,-237,-3,5.8,False
Marcus Smart,1,7,0,25,-168,187,6.0,False
Marcus Smart,1,10,1,21,-15,216,0.0,True
Marcus Smart,1,11,1,23,-237,14,9.5,False
Marcus Smart,3,11,1,12,-8,126,12.0,True
Marcus Smart,1,3,0,23,231,55,4.4,False
Marcus Smart,4,9,0,24,17,246,13.3,False
Marcus Smart,3,3,0,26,193,176,19.0,False
Marcus Smart,1,10,0,25,-175,189,22.0,False
Marcus Smart,4,8,0,10,15,102,12.2,True
Marcus Smart,2,6,0,24,59,238,9.6,False
Marcus Smart,3,3,0,21,157,145,22.3,True
Marcus Smart,4,0,0,25,-209,140,18.7,False
Marcus Smart,1,5,0,24,-223,97,12.6,False
