name,period,minutes_remaining,shot_made_flag,shot_distance,x,y,shot_clock,shot_2pnt
Matthew Dellavedova,1,7,1,13,-128,39,8.3,True
Matthew Dellavedova,4,2,0,5,51,23,8.9,True
Matthew Dellavedova,2,9,0,4,47,11,13.3,True
Matthew Dellavedova,4,4,1,5,53,4,1.3,True
Matthew Dellavedova,1,0,1,10,-86,52,15.0,True
Matthew Dellavedova,4,2,0,5,37,36,3.8,True
Matthew Dellavedova,4,0,0,4,39,11,17.7,True
Matthew Dellavedova,4,5,1,0,0,-8,11.5,True
Matthew Dellavedova,3,11,0,2,17,23,6.7,True
Matthew Dellavedova,3,3,0,3,31,11,11.5,True
Matthew Dellavedova,3,2,0,2,7,28,0.0,True
Matthew Dellavedova,3,0,0,2,20,4,16.0,True
Matthew Dellavedova,3,1,0,0,9,3,5.1,True
Matthew Dellavedova,4,5,0,11,20,116,5.5,True
Matthew Dellavedova,4,0,0,9,47,80,0.0,True
Matthew Dellavedova,4,2,0,7,13,69,16.3,True
Matthew Dellavedova,4,10,0,17,-120,123,6.4,True
Matthew Dellavedova,5,4,1,12,-66,105,13.0,True
Matthew Dellavedova,4,0,0,10,-4,105,0.0,True
Matthew Dellavedova,2,11,1,9,31,86,6.8,True
Matthew Dellavedova,2,11,1,11,86,71,2.7,True
Matthew Dellavedova,2,2,0,8,45,69,0.3,True
Matthew Dellavedova,2,11,1,10,12,101,9.7,True
Matthew Dellavedova,4,0,0,7,-40,58,11.3,True
Matthew Dellavedova,2,0,0,8,84,28,3.0,True
Matthew Dellavedova,1,0,1,12,-117,42,8.9,True
Matthew Dellavedova,3,6,0,7,56,56,9.9,True
Matthew Dellavedova,2,1,0,11,-37,104,6.9,True
Matthew Dellavedova,4,7,1,13,133,7,7.9,True
Matthew Dellavedova,4,6,0,8,-51,74,14.7,True
Matthew Dellavedova,4,3,1,8,78,20,7.2,True
Matthew Dellavedova,3,7,1,8,86,12,3.0,True
Matthew Dellavedova,4,1,1,7,-59,39,16.6,True
Matthew Dellavedova,3,11,0,10,-105,25,15.4,True
Matthew Dellavedova,4,0,1,5,51,15,9.0,True
Matthew Dellavedova,3,1,0,8,50,66,22.6,True
Matthew Dellavedova,2,0,1,25,64,242,20.1,False
Matthew Dellavedova,2,0,1,17,97,142,0.0,True
Matthew Dellavedova,1,7,0,13,-125,56,10.6,True
Matthew Dellavedova,2,4,1,10,88,50,11.8,True
Matthew Dellavedova,4,0,1,6,32,55,5.2,True
Matthew Dellavedova,4,3,0,6,58,37,9.0,True
Matthew Dellavedova,4,11,0,24,91,230,22.6,False
Matthew Dellavedova,4,2,1,26,-157,219,17.4,False
Matthew Dellavedova,4,0,1,22,228,0,0.0,False
Matthew Dellavedova,1,0,1,10,70,83,0.0,True
Matthew Dellavedova,2,10,1,23,233,56,14.7,False
Matthew Dellavedova,3,2,1,23,230,-5,15.7,False
Matthew Dellavedova,1,3,0,25,21,250,2.1,False
Matthew Dellavedova,1,0,0,8,-70,39,0.0,True
Matthew Dellavedova,1,1,1,24,182,165,15.8,False
Matthew Dellavedova,2,8,1,24,179,168,18.9,False
Matthew Dellavedova,4,9,1,24,141,206,22.3,False
Matthew Dellavedova,4,9,1,24,45,242,21.2,False
Matthew Dellavedova,4,5,1,21,-215,24,13.2,True
Matthew Dellavedova,1,0,1,25,162,198,1.1,False
Matthew Dellavedova,2,6,1,25,215,142,5.7,False
Matthew Dellavedova,3,0,0,28,-163,231,0.0,False
Matthew Dellavedova,1,0,1,25,43,250,7.1,False
Matthew Dellavedova,3,0,0,34,176,301,0.0,False
Matthew Dellavedova,1,7,1,24,190,160,11.0,False
Matthew Dellavedova,3,8,1,23,-229,41,14.8,False
Matthew Dellavedova,2,6,1,25,56,249,14.9,False
Matthew Dellavedova,1,8,1,23,234,15,9.0,False
Matthew Dellavedova,3,8,1,25,-78,246,8.3,False
Matthew Dellavedova,2,5,1,26,-190,183,18.3,False
Matthew Dellavedova,2,2,1,22,228,-11,12.6,False
Matthew Dellavedova,4,2,1,24,124,213,17.4,False
Matthew Dellavedova,1,7,1,25,162,195,8.5,False
Matthew Dellavedova,1,10,1,24,218,116,10.0,False
Matthew Dellavedova,3,8,1,25,176,178,7.4,False
Matthew Dellavedova,3,11,0,10,-2,104,15.6,True
Matthew Dellavedova,3,6,1,25,-157,198,4.2,False
Matthew Dellavedova,4,0,0,3,-15,33,2.5,True
Matthew Dellavedova,3,0,1,24,220,110,3.3,False
Matthew Dellavedova,1,5,0,26,-193,179,9.9,False
Matthew Dellavedova,4,0,0,19,124,153,9.4,True
Matthew Dellavedova,1,1,0,25,160,203,13.7,False
Matthew Dellavedova,1,0,1,26,-218,154,10.6,False
Matthew Dellavedova,3,0,0,26,-177,194,7.9,False
Matthew Dellavedova,2,7,0,22,-228,25,14.1,False
Matthew Dellavedova,4,0,0,25,155,203,10.9,False
Matthew Dellavedova,4,8,0,14,-123,77,10.7,True
Matthew Dellavedova,4,3,0,6,36,52,5.7,True
