name,period,minutes_remaining,shot_made_flag,shot_distance,x,y,shot_clock,shot_2pnt
Maurice Harkless,4,10,0,0,0,1,13.6,True
Maurice Harkless,1,5,1,0,0,1,24.0,True
Maurice Harkless,2,7,1,0,0,1,10.2,True
Maurice Harkless,4,2,1,0,0,1,16.8,True
Maurice Harkless,1,0,1,2,21,-5,18.7,True
Maurice Harkless,4,0,1,0,0,1,21.4,True
Maurice Harkless,1,2,1,0,0,1,6.3,True
Maurice Harkless,4,9,1,0,0,1,11.7,True
Maurice Harkless,3,8,1,0,0,1,4.1,True
Maurice Harkless,4,9,1,0,0,1,14.7,True
Maurice Harkless,4,0,1,1,18,-2,19.7,True
Maurice Harkless,2,10,1,3,15,28,19.8,True
Maurice Harkless,2,8,0,0,0,-5,5.8,True
Maurice Harkless,3,2,1,2,23,14,12.9,True
Maurice Harkless,3,0,1,0,-5,-5,9.8,True
Maurice Harkless,2,10,0,2,15,20,8.2,True
Maurice Harkless,2,5,0,1,13,14,21.2,True
Maurice Harkless,4,7,1,2,13,22,7.4,True
Maurice Harkless,3,4,0,0,-7,7,2.7,True
Maurice Harkless,4,4,1,0,0,1,20.3,True
Maurice Harkless,4,2,1,0,0,1,6.0,True
Maurice Harkless,1,5,1,0,0,1,15.7,True
Maurice Harkless,3,0,1,0,0,1,0.0,True
Maurice Harkless,2,10,1,0,0,1,15.2,True
Maurice Harkless,4,7,0,0,0,1,19.4,True
Maurice Harkless,4,0,1,0,0,1,0.0,True
Maurice Harkless,2,6,1,0,0,1,15.0,True
Maurice Harkless,2,7,1,0,0,1,4.4,True
Maurice Harkless,3,8,1,0,0,1,15.6,True
Maurice Harkless,2,10,1,0,0,1,8.4,True
Maurice Harkless,2,9,1,8,-68,47,10.6,True
Maurice Harkless,4,0,0,17,-172,30,1.7,True
Maurice Harkless,2,7,1,8,-16,85,11.0,True
Maurice Harkless,3,1,1,22,225,28,7.7,False
Maurice Harkless,3,0,0,35,220,276,0.0,False
Maurice Harkless,4,10,1,7,45,58,7.4,True
Maurice Harkless,1,0,1,25,244,55,0.0,False
Maurice Harkless,3,0,0,25,-183,183,0.0,False
Maurice Harkless,1,0,1,25,189,168,0.0,False
Maurice Harkless,4,0,0,15,147,45,9.8,True
Maurice Harkless,3,0,0,57,159,548,0.0,False
Maurice Harkless,2,7,1,22,225,0,11.2,False
Maurice Harkless,3,8,1,23,-234,37,11.1,False
Maurice Harkless,4,3,1,24,228,82,8.3,False
Maurice Harkless,2,0,0,23,231,42,12.1,False
Maurice Harkless,4,8,1,25,171,194,18.3,False
Maurice Harkless,1,10,0,23,-235,-8,13.0,False
Maurice Harkless,4,5,0,25,-188,176,3.8,False
Maurice Harkless,2,3,0,36,-139,340,0.1,False
Maurice Harkless,1,7,0,4,13,39,14.0,True
Maurice Harkless,3,7,0,23,231,64,22.0,False
Maurice Harkless,4,10,0,24,-240,12,13.0,False
Maurice Harkless,3,2,0,4,40,14,11.5,True
Maurice Harkless,4,0,0,18,-144,119,9.7,True
Maurice Harkless,1,2,0,26,91,246,9.0,False
Maurice Harkless,1,0,0,24,-245,-8,6.0,False
Maurice Harkless,4,6,0,23,233,-5,14.7,False
Maurice Harkless,4,7,0,25,-163,200,16.3,False
Maurice Harkless,4,10,0,26,-221,149,8.0,False
Maurice Harkless,3,3,0,23,-234,42,15.6,False
Maurice Harkless,2,10,0,22,222,9,16.2,False
Maurice Harkless,4,3,0,26,159,211,12.6,False
Maurice Harkless,2,4,0,24,-239,41,10.0,False
Maurice Harkless,1,1,0,24,-185,157,5.3,False
Maurice Harkless,1,0,0,24,-237,77,14.0,False
Maurice Harkless,1,0,0,25,113,225,0.0,False
Maurice Harkless,4,8,0,22,228,17,6.1,False
Maurice Harkless,4,0,0,23,-235,37,6.5,False
Maurice Harkless,1,5,0,24,-180,172,9.6,False
Maurice Harkless,1,1,0,27,-171,209,13.6,False
Maurice Harkless,2,11,0,24,160,186,6.3,False
Maurice Harkless,2,7,0,23,234,3,15.2,False
Maurice Harkless,4,8,0,23,-239,3,5.4,False
Maurice Harkless,1,3,0,23,-235,30,11.5,False
Maurice Harkless,4,10,0,5,32,41,13.3,True
Maurice Harkless,2,6,0,4,45,12,13.3,True
Maurice Harkless,3,9,0,23,230,0,10.8,False
Maurice Harkless,2,9,1,25,-114,230,6.4,False
Maurice Harkless,4,10,0,23,234,7,12.2,False
Maurice Harkless,2,4,0,24,-229,77,17.7,False
Maurice Harkless,2,6,0,7,75,26,18.3,True
Maurice Harkless,4,4,0,26,122,233,15.0,False
Maurice Harkless,3,0,0,24,-198,148,15.3,False
Maurice Harkless,1,7,1,23,234,31,13.7,False
Maurice Harkless,1,9,1,23,233,20,12.1,False
Maurice Harkless,1,0,0,63,144,616,0.0,False
Maurice Harkless,3,0,0,23,230,-17,20.2,False
Maurice Harkless,2,10,0,23,231,7,15.3,False
Maurice Harkless,3,1,0,24,-202,146,13.5,False
Maurice Harkless,2,6,0,23,-231,-6,19.3,False
Maurice Harkless,2,9,0,23,233,37,15.0,False
Maurice Harkless,4,8,0,23,231,12,1.0,False
Maurice Harkless,1,2,0,24,135,208,11.9,False
Maurice Harkless,4,1,0,27,138,233,8.8,False
Maurice Harkless,3,4,0,27,-21,277,2.8,False
Maurice Harkless,4,1,0,9,34,88,9.6,True
Maurice Harkless,4,1,0,22,-229,12,11.4,False
Maurice Harkless,4,7,0,2,15,23,8.9,True
Maurice Harkless,3,0,0,2,4,23,0.0,True
Maurice Harkless,4,8,1,0,4,6,19.7,True
Maurice Harkless,2,10,1,1,-10,-5,15.9,True
Maurice Harkless,1,3,0,0,7,-3,15.3,True
Maurice Harkless,4,11,0,1,-15,-3,20.4,True
Maurice Harkless,2,6,0,2,24,-8,11.0,True
