name,period,minutes_remaining,shot_made_flag,shot_distance,x,y,shot_clock,shot_2pnt
Meyers Leonard,2,9,0,0,0,1,19.7,True
Meyers Leonard,4,8,1,0,0,1,1.4,True
Meyers Leonard,1,2,0,0,0,1,18.5,True
Meyers Leonard,2,3,1,0,0,1,20.6,True
Meyers Leonard,4,4,1,0,0,1,7.8,True
Meyers Leonard,3,7,1,0,0,1,10.6,True
Meyers Leonard,1,10,1,0,4,1,14.8,True
Meyers Leonard,4,0,1,0,9,-3,15.9,True
Meyers Leonard,4,4,1,7,-29,71,14.5,True
Meyers Leonard,4,11,1,0,9,0,8.0,True
Meyers Leonard,1,4,1,0,0,1,9.4,True
Meyers Leonard,3,0,1,0,0,1,20.1,True
Meyers Leonard,4,10,1,0,0,1,20.4,True
Meyers Leonard,1,11,1,0,0,1,3.8,True
Meyers Leonard,4,7,1,0,0,1,10.2,True
Meyers Leonard,4,0,1,0,0,1,10.8,True
Meyers Leonard,3,11,0,0,0,1,10.8,True
Meyers Leonard,4,6,1,0,0,1,14.3,True
Meyers Leonard,1,7,1,0,0,1,21.2,True
Meyers Leonard,2,10,1,0,0,1,20.4,True
Meyers Leonard,4,0,1,0,0,1,18.5,True
Meyers Leonard,4,10,1,0,0,1,18.1,True
Meyers Leonard,4,5,1,2,4,26,24.0,True
Meyers Leonard,1,4,1,5,-4,58,0.0,True
Meyers Leonard,2,5,1,5,54,15,3.3,True
Meyers Leonard,2,0,0,3,31,11,11.5,True
Meyers Leonard,4,0,0,4,-4,42,17.4,True
Meyers Leonard,2,6,0,6,-65,25,5.8,True
Meyers Leonard,1,5,1,7,58,41,11.2,True
Meyers Leonard,3,4,0,6,59,30,7.9,True
Meyers Leonard,4,4,1,9,-48,80,10.7,True
Meyers Leonard,3,2,1,8,59,67,12.3,True
Meyers Leonard,4,0,0,6,69,11,13.1,True
Meyers Leonard,2,9,0,5,-32,47,8.0,True
Meyers Leonard,4,5,0,5,2,50,9.1,True
Meyers Leonard,3,6,1,4,-23,42,23.4,True
Meyers Leonard,4,8,1,4,34,31,5.9,True
Meyers Leonard,2,8,0,12,-38,123,15.3,True
Meyers Leonard,4,10,1,6,-15,67,13.6,True
Meyers Leonard,4,3,1,24,0,244,8.6,False
Meyers Leonard,4,2,1,24,-60,238,14.7,False
Meyers Leonard,1,10,1,19,149,123,18.9,True
Meyers Leonard,1,5,1,21,-213,6,11.7,True
Meyers Leonard,1,4,0,24,138,197,4.9,False
Meyers Leonard,2,7,1,25,23,250,10.8,False
Meyers Leonard,4,2,1,26,-40,260,12.7,False
Meyers Leonard,1,10,1,24,-45,242,9.3,False
Meyers Leonard,1,5,1,24,-43,242,10.2,False
Meyers Leonard,3,11,1,22,223,44,10.0,False
Meyers Leonard,2,10,1,24,105,222,14.4,False
Meyers Leonard,2,7,1,14,-19,143,2.1,True
Meyers Leonard,2,5,1,24,124,211,14.2,False
Meyers Leonard,4,9,1,22,-229,9,9.1,False
Meyers Leonard,2,11,1,23,231,-2,10.5,False
Meyers Leonard,4,10,1,17,138,115,11.6,True
Meyers Leonard,4,7,1,25,91,236,15.3,False
Meyers Leonard,1,5,1,14,-111,88,12.2,True
Meyers Leonard,3,7,0,28,-141,249,1.2,False
Meyers Leonard,1,10,0,25,-188,178,13.6,False
Meyers Leonard,4,8,0,19,-152,124,11.7,True
Meyers Leonard,1,4,0,26,4,263,5.8,False
Meyers Leonard,3,0,0,25,37,257,14.4,False
Meyers Leonard,3,0,0,25,23,250,17.0,False
Meyers Leonard,4,8,1,23,236,3,7.0,False
Meyers Leonard,4,10,1,18,181,42,11.5,True
Meyers Leonard,2,10,1,23,-229,42,6.6,False
Meyers Leonard,1,10,1,26,-226,132,6.4,False
