name,period,minutes_remaining,shot_made_flag,shot_distance,x,y,shot_clock,shot_2pnt
Nick Johnson,3,0,1,2,23,-5,24.0,True
Nick Johnson,4,11,0,2,20,0,14.8,True
Nick Johnson,4,7,0,2,-11,25,23.4,True
Nick Johnson,4,0,0,3,24,23,18.8,True
Nick Johnson,4,9,0,6,-29,63,10.8,True
Nick Johnson,4,11,0,3,28,19,7.4,True
Nick Johnson,2,9,0,3,21,22,18.9,True
Nick Johnson,2,7,0,2,18,9,14.1,True
Nick Johnson,3,1,0,1,-13,9,14.8,True
Nick Johnson,2,2,1,4,40,15,9.0,True
Nick Johnson,5,0,1,0,2,0,0.0,True
Nick Johnson,4,3,1,0,0,1,21.1,True
Nick Johnson,4,1,1,0,0,1,20.2,True
Nick Johnson,4,7,1,6,23,58,11.3,True
Nick Johnson,1,0,1,7,-4,71,13.2,True
Nick Johnson,4,8,0,1,12,4,20.2,True
Nick Johnson,4,2,0,2,4,25,21.2,True
Nick Johnson,4,4,1,1,9,17,15.8,True
Nick Johnson,4,0,1,7,4,75,14.8,True
Nick Johnson,4,1,0,9,84,52,11.0,True
Nick Johnson,4,1,1,25,133,214,16.3,False
Nick Johnson,4,0,1,41,51,410,0.0,False
Nick Johnson,3,1,1,23,239,1,14.1,False
Nick Johnson,3,0,1,23,-235,45,14.7,False
Nick Johnson,4,0,1,25,-234,89,8.5,False
Nick Johnson,4,0,0,25,151,206,2.3,False
Nick Johnson,4,0,0,25,-5,255,2.5,False
Nick Johnson,4,2,0,25,103,235,5.5,False
Nick Johnson,4,0,0,26,-109,238,1.5,False
Nick Johnson,3,2,0,4,28,33,1.7,True
Nick Johnson,2,0,0,25,179,181,12.0,False
Nick Johnson,3,0,0,24,242,7,0.0,False
Nick Johnson,4,0,0,24,94,225,19.9,False
Nick Johnson,1,0,0,23,-234,0,13.9,False
Nick Johnson,3,1,0,23,-226,67,4.0,False
Nick Johnson,4,2,0,7,-57,44,12.1,True
Nick Johnson,1,0,0,25,138,209,16.5,False
Nick Johnson,4,9,0,23,231,41,11.0,False
Nick Johnson,3,5,0,24,218,119,1.1,False
Nick Johnson,1,3,0,5,34,47,12.5,True
Nick Johnson,2,9,0,27,215,167,16.4,False
Nick Johnson,2,10,0,23,-229,26,13.3,False
Nick Johnson,4,0,0,19,-57,190,6.5,True
Nick Johnson,4,0,0,26,-131,230,0.0,False
Nick Johnson,4,3,0,3,12,28,19.7,True
Nick Johnson,4,10,1,1,-10,4,16.7,True
Nick Johnson,3,3,0,1,12,-2,16.5,True
Nick Johnson,4,10,0,2,20,0,17.0,True
Nick Johnson,2,5,0,1,-11,9,21.2,True
Nick Johnson,1,0,0,0,4,6,20.3,True
Nick Johnson,4,3,1,1,-10,0,19.5,True
Nick Johnson,4,9,1,2,23,7,24.0,True
Nick Johnson,4,6,1,2,23,0,17.9,True
Nick Johnson,4,2,1,1,-15,7,21.0,True
Nick Johnson,1,3,0,2,28,6,12.6,True
Nick Johnson,1,1,1,1,-16,7,17.0,True
Nick Johnson,4,0,0,2,-29,1,16.2,True
Nick Johnson,4,6,0,1,7,12,22.0,True
Nick Johnson,4,1,0,2,17,23,19.4,True
Nick Johnson,4,9,0,2,26,0,20.5,True
Nick Johnson,3,4,1,1,10,6,14.0,True
Nick Johnson,1,1,0,25,-111,230,2.1,False
Nick Johnson,4,5,0,19,-111,162,6.4,True
Nick Johnson,4,10,1,0,0,1,24.0,True
Nick Johnson,4,2,1,0,0,1,24.0,True
Nick Johnson,4,11,1,2,20,-3,22.0,True
Nick Johnson,4,4,1,8,-54,67,6.4,True
Nick Johnson,4,6,0,7,-79,0,16.3,True
Nick Johnson,3,4,0,7,-62,45,17.5,True
Nick Johnson,4,0,1,3,37,6,2.4,True
Nick Johnson,4,11,0,0,4,7,24.0,True
Nick Johnson,2,4,0,1,18,7,23.8,True
Nick Johnson,4,5,0,10,97,45,6.6,True
Nick Johnson,2,4,0,7,-70,22,1.6,True
Nick Johnson,4,0,0,12,-38,115,14.7,True
