name,period,minutes_remaining,shot_made_flag,shot_distance,x,y,shot_clock,shot_2pnt
Noah Vonleh,1,2,0,1,13,15,12.4,True
Noah Vonleh,2,0,0,2,26,4,5.1,True
Noah Vonleh,4,9,0,5,-23,45,10.0,True
Noah Vonleh,3,4,1,4,17,45,14.8,True
Noah Vonleh,1,1,0,3,-34,15,3.3,True
Noah Vonleh,4,6,0,4,45,1,5.3,True
Noah Vonleh,1,0,1,0,7,7,6.0,True
Noah Vonleh,2,1,1,0,0,1,0.8,True
Noah Vonleh,4,7,1,2,4,26,10.0,True
Noah Vonleh,4,7,1,6,0,67,3.2,True
Noah Vonleh,4,0,0,7,-65,44,15.7,True
Noah Vonleh,4,6,1,5,-30,44,8.9,True
Noah Vonleh,4,1,0,7,-71,31,11.5,True
Noah Vonleh,4,3,0,6,65,22,7.1,True
Noah Vonleh,4,1,1,6,-2,64,21.8,True
Noah Vonleh,4,0,1,26,-16,265,12.2,False
Noah Vonleh,2,7,1,5,56,3,8.0,True
Noah Vonleh,4,3,0,3,4,36,9.7,True
Noah Vonleh,4,2,0,3,23,20,11.9,True
Noah Vonleh,4,5,1,25,-56,249,8.8,False
Noah Vonleh,1,4,0,21,152,148,1.0,True
Noah Vonleh,4,9,1,25,73,241,15.7,False
Noah Vonleh,3,0,0,25,9,250,8.3,False
Noah Vonleh,2,2,0,26,-168,205,11.1,False
Noah Vonleh,4,6,1,15,154,9,9.6,True
Noah Vonleh,4,3,1,27,-24,271,7.5,False
Noah Vonleh,2,9,0,16,133,99,2.5,True
Noah Vonleh,3,1,1,25,-174,187,3.0,False
Noah Vonleh,3,1,0,26,-29,260,11.0,False
Noah Vonleh,4,6,0,10,-79,74,1.3,True
Noah Vonleh,4,4,0,25,-84,242,15.9,False
Noah Vonleh,4,4,0,16,-141,77,0.9,True
Noah Vonleh,4,0,0,7,-64,41,5.5,True
Noah Vonleh,4,2,0,15,-152,42,2.6,True
Noah Vonleh,4,0,0,25,-7,250,15.7,False
Noah Vonleh,4,5,0,24,133,208,8.4,False
Noah Vonleh,4,0,0,19,-166,102,0.0,True
Noah Vonleh,4,1,0,26,-116,236,7.2,False
Noah Vonleh,4,6,0,26,21,260,17.4,False
Noah Vonleh,4,5,1,1,-16,9,21.4,True
Noah Vonleh,2,8,1,1,-13,-3,16.1,True
Noah Vonleh,4,7,0,1,-18,4,10.5,True
Noah Vonleh,2,8,0,0,4,-2,5.0,True
Noah Vonleh,2,2,1,2,21,1,7.6,True
Noah Vonleh,1,2,0,1,-7,15,22.2,True
Noah Vonleh,2,2,0,1,-13,7,22.0,True
Noah Vonleh,3,0,0,1,6,12,4.4,True
Noah Vonleh,2,8,0,2,9,25,10.3,True
Noah Vonleh,4,0,0,1,9,6,12.9,True
Noah Vonleh,4,4,0,1,13,15,10.5,True
Noah Vonleh,3,3,1,1,-7,11,10.8,True
Noah Vonleh,4,11,0,2,-21,17,10.3,True
Noah Vonleh,4,3,1,1,13,15,13.0,True
Noah Vonleh,3,0,1,1,-13,3,22.8,True
Noah Vonleh,2,10,0,1,-11,6,5.7,True
Noah Vonleh,4,9,1,1,17,7,9.3,True
Noah Vonleh,4,8,1,1,-16,1,12.3,True
Noah Vonleh,2,7,1,0,0,1,17.4,True
Noah Vonleh,2,2,1,0,0,1,16.0,True
Noah Vonleh,1,4,0,3,24,20,23.0,True
Noah Vonleh,2,8,0,2,17,12,17.6,True
Noah Vonleh,2,9,1,0,9,3,24.0,True
Noah Vonleh,1,3,0,0,0,4,16.6,True
Noah Vonleh,4,2,0,1,2,19,24.0,True
Noah Vonleh,3,0,0,0,-2,7,24.0,True
Noah Vonleh,2,0,1,2,10,22,24.0,True
Noah Vonleh,4,1,0,0,-4,0,14.9,True
Noah Vonleh,2,9,1,1,-10,1,24.0,True
Noah Vonleh,4,6,0,0,-4,0,24.0,True
Noah Vonleh,4,3,0,13,-131,23,8.6,True
Noah Vonleh,4,5,1,14,-141,28,7.5,True
Noah Vonleh,2,6,1,3,15,37,9.8,True
Noah Vonleh,4,0,0,8,-70,53,10.8,True
Noah Vonleh,4,10,0,7,-73,25,8.4,True
Noah Vonleh,4,4,0,7,40,60,12.8,True
Noah Vonleh,4,0,1,17,-155,71,12.0,True
