name,period,minutes_remaining,shot_made_flag,shot_distance,x,y,shot_clock,shot_2pnt
Pablo Prigioni,4,8,1,1,-10,-5,21.6,True
Pablo Prigioni,1,0,0,2,23,6,11.0,True
Pablo Prigioni,2,0,0,12,119,23,0.0,True
Pablo Prigioni,4,0,1,1,13,1,21.7,True
Pablo Prigioni,2,8,1,1,-15,0,20.6,True
Pablo Prigioni,2,1,1,1,-11,7,4.7,True
Pablo Prigioni,1,9,0,1,-16,0,11.9,True
Pablo Prigioni,4,9,1,0,-8,1,7.9,True
Pablo Prigioni,4,8,1,1,13,4,4.4,True
Pablo Prigioni,1,5,0,2,23,12,15.8,True
Pablo Prigioni,2,9,0,1,18,4,18.3,True
Pablo Prigioni,5,2,0,1,-11,3,5.7,True
Pablo Prigioni,2,0,1,2,-21,3,20.4,True
Pablo Prigioni,1,2,1,7,72,14,10.3,True
Pablo Prigioni,1,1,1,10,100,-11,5.6,True
Pablo Prigioni,3,9,1,4,42,12,13.5,True
Pablo Prigioni,2,10,1,15,1,153,1.5,True
Pablo Prigioni,1,0,1,16,147,72,4.4,True
Pablo Prigioni,2,8,0,13,133,33,9.0,True
Pablo Prigioni,4,9,1,15,155,28,12.1,True
Pablo Prigioni,3,1,0,25,189,170,14.4,False
Pablo Prigioni,2,10,0,21,-128,170,18.7,True
Pablo Prigioni,3,0,0,19,193,0,1.9,True
Pablo Prigioni,2,8,0,16,-161,4,6.5,True
Pablo Prigioni,4,10,0,25,195,167,4.6,False
Pablo Prigioni,2,9,0,24,95,225,8.2,False
Pablo Prigioni,4,1,0,22,228,0,14.6,False
Pablo Prigioni,1,3,0,24,34,244,2.6,False
Pablo Prigioni,2,6,1,24,-16,247,10.8,False
Pablo Prigioni,2,8,1,25,166,197,12.6,False
Pablo Prigioni,3,4,1,31,-114,293,0.9,False
Pablo Prigioni,2,6,0,25,-2,250,5.8,False
Pablo Prigioni,2,5,1,23,-231,45,12.5,False
Pablo Prigioni,4,8,1,26,-131,227,8.2,False
Pablo Prigioni,3,0,0,24,-128,208,0.0,False
Pablo Prigioni,2,7,1,24,-149,195,8.9,False
Pablo Prigioni,4,8,1,24,-213,121,10.8,False
Pablo Prigioni,1,0,0,24,-35,247,0.0,False
Pablo Prigioni,2,10,1,25,-79,239,8.4,False
Pablo Prigioni,4,10,0,24,-210,135,4.7,False
Pablo Prigioni,4,7,1,24,20,246,6.0,False
Pablo Prigioni,4,2,1,21,217,14,13.1,True
Pablo Prigioni,2,6,1,25,-187,168,12.7,False
Pablo Prigioni,1,0,1,25,217,134,14.0,False
Pablo Prigioni,2,6,1,23,-232,1,16.7,False
Pablo Prigioni,3,6,1,19,195,-14,7.8,True
Pablo Prigioni,3,2,1,25,-204,156,22.7,False
Pablo Prigioni,1,3,1,22,-228,14,14.2,False
Pablo Prigioni,3,3,1,24,-24,241,15.6,False
Pablo Prigioni,3,2,0,24,-190,159,19.2,False
Pablo Prigioni,3,3,1,24,-161,181,9.3,False
Pablo Prigioni,4,8,1,25,135,217,13.2,False
Pablo Prigioni,3,4,1,24,-168,178,11.7,False
Pablo Prigioni,3,3,1,26,-207,172,7.5,False
Pablo Prigioni,2,10,1,24,97,230,18.9,False
Pablo Prigioni,3,0,0,24,236,53,4.7,False
Pablo Prigioni,4,6,1,26,203,176,5.2,False
Pablo Prigioni,3,1,0,25,-49,246,3.0,False
Pablo Prigioni,4,2,1,25,-38,257,24.0,False
Pablo Prigioni,4,1,1,29,-212,203,12.0,False
Pablo Prigioni,1,1,0,22,-224,42,4.0,False
Pablo Prigioni,4,8,1,29,9,298,15.3,False
Pablo Prigioni,4,7,1,24,220,104,0.8,False
Pablo Prigioni,2,11,0,23,-232,61,0.8,False
Pablo Prigioni,2,10,1,25,-220,119,11.3,False
Pablo Prigioni,4,7,1,24,23,246,5.5,False
Pablo Prigioni,3,0,0,23,233,-11,0.0,False
Pablo Prigioni,4,10,1,27,17,271,9.3,False
Pablo Prigioni,2,9,1,19,89,179,10.1,True
Pablo Prigioni,4,10,1,24,155,189,18.9,False
Pablo Prigioni,2,9,1,21,192,99,18.6,True
Pablo Prigioni,2,0,0,25,89,238,0.0,False
Pablo Prigioni,4,10,0,25,-16,257,11.0,False
Pablo Prigioni,4,6,1,22,209,77,15.6,True
Pablo Prigioni,4,4,1,29,187,224,6.0,False
Pablo Prigioni,1,9,1,23,-204,126,19.9,False
Pablo Prigioni,1,2,1,13,-65,115,10.5,True
Pablo Prigioni,3,5,1,24,-223,97,10.1,False
Pablo Prigioni,2,9,0,25,54,247,3.4,False
Pablo Prigioni,1,2,0,22,-224,36,7.6,False
Pablo Prigioni,2,9,0,26,-213,156,12.0,False
Pablo Prigioni,2,8,0,27,189,195,6.8,False
Pablo Prigioni,2,10,0,25,77,244,7.4,False
Pablo Prigioni,2,9,0,28,-11,282,13.1,False
Pablo Prigioni,1,0,0,29,-175,238,2.6,False
Pablo Prigioni,2,4,0,24,-239,22,13.0,False
Pablo Prigioni,1,6,1,24,200,148,14.5,False
Pablo Prigioni,1,10,1,23,-232,41,7.5,False
Pablo Prigioni,2,3,1,25,-204,146,11.1,False
Pablo Prigioni,4,10,0,25,163,198,12.7,False
Pablo Prigioni,4,5,0,24,-120,214,0.2,False
Pablo Prigioni,2,0,1,26,88,255,7.1,False
