name,period,minutes_remaining,shot_made_flag,shot_distance,x,y,shot_clock,shot_2pnt
Ramon Sessions,3,2,0,8,-59,56,19.5,True
Ramon Sessions,2,6,1,6,-18,58,11.1,True
Ramon Sessions,1,1,0,1,-13,11,15.5,True
Ramon Sessions,2,2,0,10,-68,82,7.2,True
Ramon Sessions,4,9,1,2,18,9,13.9,True
Ramon Sessions,1,0,0,1,7,9,10.0,True
Ramon Sessions,3,4,1,2,-23,3,8.7,True
Ramon Sessions,2,0,1,1,-13,1,13.6,True
Ramon Sessions,2,8,1,3,-16,33,16.5,True
Ramon Sessions,1,2,1,2,-21,9,10.8,True
Ramon Sessions,1,5,1,1,6,15,19.5,True
Ramon Sessions,4,4,1,1,-11,14,14.6,True
Ramon Sessions,4,8,0,3,31,1,9.7,True
Ramon Sessions,1,10,0,3,-30,25,15.0,True
Ramon Sessions,3,4,1,1,18,-3,18.7,True
Ramon Sessions,2,9,1,1,18,6,19.6,True
Ramon Sessions,2,10,1,0,-4,6,20.0,True
Ramon Sessions,2,3,1,1,-18,4,6.2,True
Ramon Sessions,4,8,0,1,-16,0,3.0,True
Ramon Sessions,2,8,1,1,17,9,20.9,True
Ramon Sessions,2,9,0,9,-93,15,14.4,True
Ramon Sessions,3,0,1,5,21,53,8.5,True
Ramon Sessions,2,8,1,8,-27,82,8.8,True
Ramon Sessions,3,0,1,4,28,41,11.0,True
Ramon Sessions,2,6,1,8,-4,82,10.8,True
Ramon Sessions,2,1,1,10,-82,61,14.6,True
Ramon Sessions,3,9,1,10,2,105,7.8,True
Ramon Sessions,4,6,0,7,65,39,6.5,True
Ramon Sessions,1,1,0,6,20,63,9.6,True
Ramon Sessions,3,0,0,4,-38,22,23.5,True
Ramon Sessions,2,8,1,8,78,19,3.4,True
Ramon Sessions,2,11,1,7,-13,78,9.2,True
Ramon Sessions,4,10,1,8,73,41,17.3,True
Ramon Sessions,1,10,0,8,69,42,10.8,True
Ramon Sessions,3,2,1,5,6,58,15.0,True
Ramon Sessions,4,6,1,5,43,33,13.7,True
Ramon Sessions,2,8,0,23,237,20,8.5,False
Ramon Sessions,2,9,0,20,149,135,14.0,True
Ramon Sessions,2,9,0,7,70,31,19.7,True
Ramon Sessions,4,8,0,4,1,47,12.6,True
Ramon Sessions,1,1,0,24,-174,170,6.0,False
Ramon Sessions,1,7,1,20,165,119,11.4,True
Ramon Sessions,3,10,1,24,141,203,8.5,False
Ramon Sessions,3,9,1,24,-153,187,10.3,False
Ramon Sessions,3,7,1,22,-147,164,8.2,True
Ramon Sessions,4,7,1,10,18,104,10.2,True
Ramon Sessions,2,10,0,8,1,85,14.1,True
Ramon Sessions,2,10,1,21,146,153,12.0,True
Ramon Sessions,4,8,1,25,-67,241,10.6,False
Ramon Sessions,1,1,1,19,162,115,11.5,True
Ramon Sessions,2,8,0,25,-73,242,5.0,False
Ramon Sessions,2,10,1,21,-27,217,16.1,True
Ramon Sessions,3,4,1,16,-155,50,8.0,True
Ramon Sessions,4,7,0,17,-65,160,17.8,True
Ramon Sessions,2,7,0,20,-139,156,24.0,True
Ramon Sessions,3,0,0,14,9,148,0.0,True
Ramon Sessions,2,5,1,4,40,19,16.5,True
Ramon Sessions,2,3,0,27,133,236,15.1,False
Ramon Sessions,3,3,1,9,-2,97,5.4,True
Ramon Sessions,1,11,0,3,-16,36,15.0,True
Ramon Sessions,3,9,0,6,-65,9,8.0,True
Ramon Sessions,1,10,0,5,2,52,8.2,True
Ramon Sessions,4,4,1,24,-16,247,5.2,False
Ramon Sessions,4,3,0,25,113,231,6.1,False
Ramon Sessions,2,0,0,14,95,108,0.0,True
Ramon Sessions,2,4,0,6,31,61,7.8,True
Ramon Sessions,2,0,0,22,-97,198,5.1,True
Ramon Sessions,3,3,1,16,43,157,2.1,True
Ramon Sessions,3,4,0,9,-76,53,11.4,True
Ramon Sessions,4,2,1,18,-8,184,13.6,True
Ramon Sessions,2,8,0,18,-101,151,7.5,True
Ramon Sessions,4,8,0,4,45,7,11.3,True
Ramon Sessions,1,0,0,4,-41,4,12.1,True
Ramon Sessions,3,1,0,25,-193,164,3.1,False
Ramon Sessions,4,4,0,3,36,14,15.2,True
Ramon Sessions,1,5,0,24,-149,197,12.0,False
Ramon Sessions,4,3,0,4,-46,12,20.0,True
Ramon Sessions,2,5,0,12,36,124,9.8,True
Ramon Sessions,1,1,0,20,91,184,12.0,True
Ramon Sessions,4,0,0,9,-78,58,14.0,True
Ramon Sessions,2,10,0,6,40,53,17.8,True
Ramon Sessions,3,10,0,19,-190,-8,9.3,True
Ramon Sessions,2,9,0,11,-57,99,12.9,True
Ramon Sessions,4,8,0,26,-146,224,11.1,False
Ramon Sessions,3,0,0,20,-106,181,5.0,True
Ramon Sessions,2,9,0,22,223,26,2.3,False
