name,period,minutes_remaining,shot_made_flag,shot_distance,x,y,shot_clock,shot_2pnt
Reggie Bullock,4,0,1,0,-8,4,6.1,True
Reggie Bullock,4,0,0,2,-23,15,8.8,True
Reggie Bullock,4,8,0,5,53,11,8.8,True
Reggie Bullock,4,2,0,17,88,157,17.2,True
Reggie Bullock,4,9,0,4,40,12,0.0,True
Reggie Bullock,4,8,0,19,-32,189,0.0,True
Reggie Bullock,4,2,0,23,-231,33,0.0,False
Reggie Bullock,4,1,0,24,13,247,13.0,False
Reggie Bullock,3,1,0,18,-111,148,17.8,True
Reggie Bullock,4,6,0,21,184,102,13.2,True
Reggie Bullock,4,9,0,24,-95,230,14.9,False
Reggie Bullock,4,1,0,24,-34,247,16.4,False
Reggie Bullock,4,0,0,24,135,206,16.6,False
Reggie Bullock,2,10,0,24,-193,149,13.1,False
Reggie Bullock,2,9,0,0,-8,0,15.4,True
Reggie Bullock,2,2,0,26,99,249,20.9,False
Reggie Bullock,2,11,1,1,9,6,7.0,True
Reggie Bullock,1,0,1,23,-238,29,18.4,False
Reggie Bullock,2,8,1,23,-122,206,22.8,False
Reggie Bullock,4,2,1,19,-15,198,6.3,True
Reggie Bullock,4,0,0,24,211,129,9.3,False
Reggie Bullock,1,2,1,24,245,-14,14.4,False
Reggie Bullock,2,7,1,23,-235,14,8.5,False
Reggie Bullock,3,0,1,26,64,260,3.0,False
Reggie Bullock,2,2,1,24,-240,41,7.3,False
Reggie Bullock,4,8,0,23,236,11,17.0,False
Reggie Bullock,4,4,1,23,-229,22,11.5,False
Reggie Bullock,2,9,1,17,-171,45,14.8,True
Reggie Bullock,4,11,0,24,-196,151,13.2,False
Reggie Bullock,3,0,1,24,-232,64,5.0,False
Reggie Bullock,4,9,0,23,234,-5,3.6,False
Reggie Bullock,2,11,1,25,-153,205,18.3,False
Reggie Bullock,4,6,1,23,236,28,17.9,False
Reggie Bullock,4,2,1,23,-228,42,18.1,False
Reggie Bullock,1,1,1,25,157,203,8.4,False
Reggie Bullock,4,0,1,27,-106,255,0.0,False
Reggie Bullock,4,1,0,25,196,167,4.0,False
Reggie Bullock,4,0,0,30,177,252,1.5,False
Reggie Bullock,1,0,0,24,185,162,2.7,False
Reggie Bullock,1,1,0,6,0,67,5.5,True
Reggie Bullock,1,5,0,25,179,183,14.1,False
Reggie Bullock,2,10,0,21,211,26,2.4,True
Reggie Bullock,4,0,0,25,-139,208,7.0,False
Reggie Bullock,2,7,0,27,-122,242,6.3,False
Reggie Bullock,3,5,0,26,225,134,3.8,False
Reggie Bullock,1,8,1,23,-226,44,13.3,False
Reggie Bullock,1,9,0,23,-231,15,7.4,False
Reggie Bullock,1,9,0,25,-205,157,15.8,False
Reggie Bullock,2,10,0,23,230,44,13.9,False
Reggie Bullock,4,5,0,18,-73,172,8.3,True
Reggie Bullock,4,0,0,26,133,224,5.7,False
Reggie Bullock,4,6,0,23,-237,7,16.3,False
Reggie Bullock,3,2,0,25,-202,148,10.9,False
Reggie Bullock,4,9,0,26,124,236,19.5,False
Reggie Bullock,1,1,0,24,-240,0,18.7,False
Reggie Bullock,1,11,0,23,-235,23,8.6,False
Reggie Bullock,2,9,0,16,62,149,13.6,True
Reggie Bullock,1,3,0,23,233,-2,6.5,False
Reggie Bullock,4,0,0,23,231,47,14.1,False
Reggie Bullock,4,1,0,21,149,154,20.1,True
Reggie Bullock,4,10,0,26,200,172,11.9,False
Reggie Bullock,3,3,0,23,233,45,3.6,False
Reggie Bullock,4,8,0,19,-199,-13,2.8,True
Reggie Bullock,3,9,1,0,2,3,20.7,True
Reggie Bullock,4,8,0,2,24,6,13.4,True
Reggie Bullock,4,3,1,1,0,14,13.1,True
Reggie Bullock,2,11,1,2,26,-6,5.1,True
Reggie Bullock,4,2,1,2,21,12,20.6,True
Reggie Bullock,4,3,1,2,20,4,10.4,True
