name,period,minutes_remaining,shot_made_flag,shot_distance,x,y,shot_clock,shot_2pnt
Robert Sacre,1,6,0,10,62,82,3.5,True
Robert Sacre,3,11,1,1,8,13,6.5,True
Robert Sacre,3,6,1,0,-8,1,12.9,True
Robert Sacre,2,8,1,0,0,1,20.9,True
Robert Sacre,3,5,0,0,0,1,12.9,True
Robert Sacre,3,6,1,0,0,1,24.0,True
Robert Sacre,1,6,1,0,0,1,16.0,True
Robert Sacre,1,10,1,0,0,1,14.4,True
Robert Sacre,1,1,0,6,-56,31,12.6,True
Robert Sacre,4,5,1,7,54,52,3.9,True
Robert Sacre,3,11,0,11,114,17,2.5,True
Robert Sacre,2,10,0,6,64,9,18.0,True
Robert Sacre,1,10,0,4,-5,45,24.0,True
Robert Sacre,3,11,1,11,18,110,3.8,True
Robert Sacre,1,11,0,5,45,34,8.4,True
Robert Sacre,2,10,0,4,0,44,0.0,True
Robert Sacre,2,7,1,6,-51,44,13.1,True
Robert Sacre,1,1,1,6,44,46,11.2,True
Robert Sacre,4,6,1,3,2,37,22.6,True
Robert Sacre,4,7,1,2,-15,20,13.6,True
Robert Sacre,4,1,1,4,1,42,16.4,True
Robert Sacre,4,4,1,5,50,31,16.8,True
Robert Sacre,2,6,1,11,-79,77,9.6,True
Robert Sacre,1,5,0,5,7,55,7.4,True
Robert Sacre,4,9,1,11,110,17,12.3,True
Robert Sacre,4,6,1,6,-23,58,8.6,True
Robert Sacre,3,2,0,8,81,25,11.4,True
Robert Sacre,2,8,1,1,-10,11,22.4,True
Robert Sacre,4,4,1,8,9,88,0.0,True
Robert Sacre,1,2,0,12,77,97,0.0,True
Robert Sacre,2,10,0,7,-30,67,5.4,True
Robert Sacre,4,6,0,7,-48,52,17.3,True
Robert Sacre,1,8,0,5,26,44,17.5,True
Robert Sacre,4,9,0,7,-40,60,5.0,True
Robert Sacre,4,7,0,5,-50,30,7.1,True
Robert Sacre,4,4,0,8,-15,86,9.1,True
Robert Sacre,4,4,0,10,65,77,9.0,True
Robert Sacre,1,0,0,5,48,33,7.8,True
Robert Sacre,3,6,0,4,-16,47,1.5,True
Robert Sacre,4,7,0,5,-8,53,14.3,True
Robert Sacre,4,1,0,8,84,14,3.7,True
Robert Sacre,1,11,1,1,7,15,0.0,True
Robert Sacre,1,6,0,12,125,4,7.7,True
Robert Sacre,4,6,0,8,73,44,8.0,True
Robert Sacre,3,8,0,9,-78,48,13.0,True
Robert Sacre,4,7,0,6,59,11,4.6,True
Robert Sacre,2,10,1,4,42,23,7.8,True
Robert Sacre,3,2,0,4,7,48,7.4,True
Robert Sacre,1,6,0,5,-57,6,0.0,True
Robert Sacre,4,10,0,10,26,102,8.7,True
Robert Sacre,2,2,1,6,58,31,12.5,True
Robert Sacre,3,0,0,6,67,9,15.6,True
Robert Sacre,3,9,1,6,-68,6,7.0,True
Robert Sacre,3,6,0,6,-8,64,2.0,True
Robert Sacre,2,5,0,2,-18,20,23.5,True
Robert Sacre,2,11,1,17,165,69,0.9,True
Robert Sacre,3,7,0,10,-103,11,2.6,True
Robert Sacre,3,7,1,6,-14,63,7.4,True
Robert Sacre,2,2,1,3,6,37,0.0,True
Robert Sacre,1,10,0,6,-4,67,18.6,True
Robert Sacre,3,4,1,6,30,58,17.0,True
Robert Sacre,2,9,1,4,2,42,12.6,True
Robert Sacre,3,11,0,6,-65,17,8.5,True
Robert Sacre,2,7,1,7,-13,77,13.0,True
Robert Sacre,2,0,1,8,81,1,0.0,True
Robert Sacre,1,3,0,11,75,89,14.1,True
Robert Sacre,2,0,1,8,84,31,4.7,True
Robert Sacre,3,6,1,2,9,27,24.0,True
Robert Sacre,1,5,0,6,10,66,0.0,True
Robert Sacre,1,0,1,4,-5,41,24.0,True
Robert Sacre,2,1,0,5,6,56,9.5,True
Robert Sacre,2,8,0,6,-45,44,0.0,True
Robert Sacre,1,10,1,3,-6,33,0.0,True
Robert Sacre,3,5,0,3,-15,30,13.0,True
Robert Sacre,4,3,0,10,36,97,13.9,True
Robert Sacre,4,4,1,18,187,33,2.3,True
Robert Sacre,4,9,1,15,80,134,13.4,True
Robert Sacre,4,1,1,11,17,118,19.0,True
Robert Sacre,2,11,1,16,165,9,8.4,True
Robert Sacre,4,1,1,12,118,45,14.6,True
Robert Sacre,4,10,1,17,58,160,13.9,True
Robert Sacre,4,9,1,15,-152,4,11.7,True
Robert Sacre,4,3,1,18,182,50,12.6,True
Robert Sacre,4,1,1,18,187,11,18.2,True
Robert Sacre,4,9,1,16,168,1,12.5,True
