name,period,minutes_remaining,shot_made_flag,shot_distance,x,y,shot_clock,shot_2pnt
Ryan Anderson,3,2,1,5,54,25,11.7,True
Ryan Anderson,2,4,1,5,50,23,9.1,True
Ryan Anderson,2,10,1,0,0,1,0.0,True
Ryan Anderson,2,5,1,3,6,31,9.7,True
Ryan Anderson,3,3,1,2,26,4,10.7,True
Ryan Anderson,2,8,1,2,-5,28,13.3,True
Ryan Anderson,1,1,1,1,-15,6,7.7,True
Ryan Anderson,3,5,1,2,-21,3,10.6,True
Ryan Anderson,2,4,1,3,29,22,10.6,True
Ryan Anderson,2,8,1,1,-4,14,10.7,True
Ryan Anderson,1,0,1,1,7,14,18.2,True
Ryan Anderson,2,10,1,3,-27,15,5.2,True
Ryan Anderson,3,1,1,2,-11,17,1.2,True
Ryan Anderson,4,4,0,2,20,12,17.7,True
Ryan Anderson,2,10,1,2,26,12,12.5,True
Ryan Anderson,4,10,1,1,-10,7,10.4,True
Ryan Anderson,4,6,1,1,13,7,5.9,True
Ryan Anderson,2,7,0,1,1,14,9.7,True
Ryan Anderson,1,3,1,0,0,1,12.4,True
Ryan Anderson,1,3,1,0,0,1,15.0,True
Ryan Anderson,2,7,1,0,0,1,22.5,True
Ryan Anderson,4,0,1,0,0,1,3.6,True
Ryan Anderson,2,1,0,0,0,1,7.2,True
Ryan Anderson,4,7,1,0,0,1,15.7,True
Ryan Anderson,2,9,1,13,-127,34,7.3,True
Ryan Anderson,3,0,0,13,-54,119,9.4,True
Ryan Anderson,2,9,0,15,-127,89,1.6,True
Ryan Anderson,4,7,1,7,-75,0,8.9,True
Ryan Anderson,2,9,1,12,91,80,5.0,True
Ryan Anderson,1,1,1,17,-68,156,10.2,True
Ryan Anderson,2,6,1,16,160,33,10.9,True
Ryan Anderson,1,0,1,20,-29,200,0.0,True
Ryan Anderson,2,10,1,11,-79,85,5.0,True
Ryan Anderson,2,9,0,14,-149,17,9.0,True
Ryan Anderson,4,9,0,20,47,195,12.0,True
Ryan Anderson,2,5,1,13,125,53,2.9,True
Ryan Anderson,2,7,1,22,89,209,0.5,True
Ryan Anderson,3,3,1,17,-172,9,5.7,True
Ryan Anderson,4,7,0,18,124,140,15.6,True
Ryan Anderson,2,11,0,19,-21,190,11.3,True
Ryan Anderson,1,0,0,14,-147,19,5.0,True
Ryan Anderson,2,10,1,14,-141,7,17.2,True
Ryan Anderson,2,3,0,18,147,115,1.3,True
Ryan Anderson,2,6,0,10,20,108,11.4,True
Ryan Anderson,4,11,1,16,-157,50,0.0,True
Ryan Anderson,3,4,0,15,140,72,7.6,True
Ryan Anderson,4,10,1,8,-81,23,15.4,True
Ryan Anderson,3,2,1,17,155,71,3.0,True
Ryan Anderson,2,9,0,12,102,74,16.5,True
Ryan Anderson,1,1,0,4,39,28,16.2,True
Ryan Anderson,2,11,1,15,-155,-5,5.8,True
Ryan Anderson,4,2,0,15,17,158,6.1,True
Ryan Anderson,4,0,0,23,236,0,23.5,False
Ryan Anderson,4,10,0,16,-157,62,6.3,True
Ryan Anderson,2,7,1,14,113,88,3.1,True
Ryan Anderson,3,0,1,18,-175,72,9.5,True
Ryan Anderson,3,1,0,17,-16,172,7.6,True
Ryan Anderson,1,2,0,14,-139,42,2.3,True
Ryan Anderson,2,10,0,19,-76,184,10.6,True
Ryan Anderson,4,8,0,1,0,11,12.6,True
Ryan Anderson,4,6,1,3,-2,33,5.2,True
Ryan Anderson,2,11,1,4,40,23,6.9,True
Ryan Anderson,4,2,0,7,-23,69,11.2,True
Ryan Anderson,2,8,0,3,-2,33,4.5,True
Ryan Anderson,3,6,1,14,-149,17,8.2,True
Ryan Anderson,4,8,1,5,56,17,10.9,True
Ryan Anderson,4,10,1,5,56,4,10.4,True
Ryan Anderson,4,9,1,4,0,45,10.8,True
Ryan Anderson,2,10,1,5,-29,45,6.0,True
Ryan Anderson,2,10,1,24,192,153,10.1,False
Ryan Anderson,1,10,1,24,39,241,5.2,False
Ryan Anderson,3,9,0,23,-239,-5,9.1,False
Ryan Anderson,2,11,0,21,-196,89,10.2,True
Ryan Anderson,2,9,0,23,225,63,23.4,False
Ryan Anderson,2,7,0,27,-92,257,10.5,False
Ryan Anderson,2,10,0,25,92,238,13.9,False
Ryan Anderson,2,5,0,25,2,255,12.7,False
Ryan Anderson,1,6,0,26,13,266,8.8,False
Ryan Anderson,4,9,0,24,146,195,14.7,False
