name,period,minutes_remaining,shot_made_flag,shot_distance,x,y,shot_clock,shot_2pnt
Ryan Hollins,1,11,1,0,0,1,8.0,True
Ryan Hollins,1,3,0,0,0,1,19.5,True
Ryan Hollins,4,3,1,0,0,1,24.0,True
Ryan Hollins,4,1,1,0,0,1,24.0,True
Ryan Hollins,4,7,1,2,-2,20,16.5,True
Ryan Hollins,2,10,1,2,22,8,0.0,True
Ryan Hollins,4,0,1,1,15,1,11.1,True
Ryan Hollins,3,11,1,1,14,3,5.5,True
Ryan Hollins,4,4,0,3,9,30,10.3,True
Ryan Hollins,4,1,1,0,0,1,7.8,True
Ryan Hollins,3,1,1,0,0,1,18.2,True
Ryan Hollins,1,7,1,0,0,1,13.8,True
Ryan Hollins,1,7,1,0,0,1,14.1,True
Ryan Hollins,1,6,1,0,0,1,10.0,True
Ryan Hollins,4,0,1,0,0,1,0.0,True
Ryan Hollins,4,0,1,0,0,1,14.4,True
Ryan Hollins,3,2,1,0,0,1,22.9,True
Ryan Hollins,4,5,1,0,0,1,17.4,True
Ryan Hollins,3,5,1,0,0,1,17.1,True
Ryan Hollins,1,11,1,0,0,1,12.0,True
Ryan Hollins,3,6,1,0,0,1,23.5,True
Ryan Hollins,1,11,1,5,24,44,10.1,True
Ryan Hollins,1,9,0,3,4,33,24.0,True
Ryan Hollins,2,10,0,6,6,64,10.6,True
Ryan Hollins,4,3,0,4,32,37,14.0,True
Ryan Hollins,4,5,1,8,12,89,7.6,True
Ryan Hollins,3,1,1,2,21,19,9.8,True
Ryan Hollins,3,8,1,6,62,19,10.0,True
Ryan Hollins,1,4,1,6,-64,15,10.3,True
Ryan Hollins,1,9,1,4,40,20,14.2,True
Ryan Hollins,1,7,1,4,23,36,11.6,True
Ryan Hollins,1,10,0,13,-122,61,9.0,True
Ryan Hollins,4,4,1,11,111,39,9.3,True
Ryan Hollins,3,8,0,16,24,160,2.3,True
Ryan Hollins,1,8,0,17,13,179,1.4,True
Ryan Hollins,2,9,0,16,-160,20,8.0,True
Ryan Hollins,4,4,0,14,-106,102,11.5,True
Ryan Hollins,4,1,1,7,70,0,6.4,True
Ryan Hollins,1,4,0,20,-18,201,10.4,True
Ryan Hollins,1,9,0,5,21,52,7.9,True
Ryan Hollins,2,5,1,10,-35,96,14.6,True
Ryan Hollins,2,8,0,9,40,83,7.3,True
Ryan Hollins,4,3,1,19,-54,189,7.7,True
Ryan Hollins,2,10,0,19,-111,159,0.3,True
Ryan Hollins,4,1,1,17,162,60,12.3,True
Ryan Hollins,1,7,1,18,-144,108,12.4,True
Ryan Hollins,4,8,0,4,48,3,15.0,True
Ryan Hollins,2,0,0,11,117,8,0.0,True
Ryan Hollins,4,9,0,4,24,33,3.4,True
Ryan Hollins,4,1,0,17,-161,71,14.1,True
Ryan Hollins,3,9,0,6,59,23,5.8,True
Ryan Hollins,2,4,0,1,4,11,15.0,True
Ryan Hollins,1,6,0,1,14,6,6.5,True
Ryan Hollins,1,4,0,3,-14,30,17.6,True
Ryan Hollins,1,0,1,2,21,0,9.1,True
Ryan Hollins,3,7,0,2,-7,25,12.3,True
Ryan Hollins,4,0,1,0,-2,-3,0.0,True
Ryan Hollins,4,11,0,2,26,4,2.1,True
Ryan Hollins,1,9,1,2,-4,25,5.8,True
Ryan Hollins,4,0,1,2,-27,1,23.6,True
Ryan Hollins,4,0,0,2,-11,25,0.0,True
Ryan Hollins,1,9,0,1,-14,1,23.7,True
Ryan Hollins,1,3,1,2,-19,15,10.1,True
Ryan Hollins,1,1,0,2,-9,19,0.0,True
Ryan Hollins,2,4,1,0,4,1,19.0,True
Ryan Hollins,1,6,1,2,-24,7,23.9,True
Ryan Hollins,4,1,1,2,18,12,9.7,True
Ryan Hollins,4,2,1,0,0,7,16.3,True
Ryan Hollins,1,4,0,2,-18,15,12.2,True
Ryan Hollins,2,5,1,0,0,1,24.0,True
Ryan Hollins,4,0,1,0,0,1,24.0,True
Ryan Hollins,4,4,1,0,0,1,3.2,True
Ryan Hollins,4,11,1,0,0,1,24.0,True
Ryan Hollins,1,1,1,0,0,1,24.0,True
Ryan Hollins,4,6,1,0,0,1,19.2,True
Ryan Hollins,4,9,1,3,0,33,6.8,True
Ryan Hollins,4,4,0,5,4,58,1.4,True
Ryan Hollins,4,0,1,4,43,11,13.0,True
Ryan Hollins,4,1,1,0,0,1,16.5,True
Ryan Hollins,4,5,1,0,0,1,10.3,True
Ryan Hollins,4,0,1,0,-2,9,0.0,True
Ryan Hollins,4,8,1,20,-168,112,10.1,True
