name,period,minutes_remaining,shot_made_flag,shot_distance,x,y,shot_clock,shot_2pnt
Shavlik Randolph,2,2,0,4,-6,43,7.7,True
Shavlik Randolph,2,3,0,7,-18,69,15.2,True
Shavlik Randolph,2,5,0,4,45,9,24.0,True
Shavlik Randolph,2,5,1,3,-5,36,9.9,True
Shavlik Randolph,4,4,0,24,124,217,12.1,False
Shavlik Randolph,2,2,1,2,24,4,13.8,True
Shavlik Randolph,2,5,0,1,0,17,15.9,True
Shavlik Randolph,4,1,1,0,0,1,24.0,True
Shavlik Randolph,2,5,0,0,1,0,23.8,True
Shavlik Randolph,4,0,0,7,-59,50,7.1,True
Shavlik Randolph,4,10,0,5,51,12,18.1,True
Shavlik Randolph,4,10,0,3,21,30,23.4,True
Shavlik Randolph,4,3,0,7,-62,41,7.8,True
Shavlik Randolph,4,5,1,9,-97,23,4.6,True
Shavlik Randolph,3,1,1,23,-4,235,13.1,True
Shavlik Randolph,4,5,0,3,17,30,16.3,True
Shavlik Randolph,4,11,0,24,62,233,9.6,False
Shavlik Randolph,3,2,0,5,50,-16,22.1,True
Shavlik Randolph,4,8,0,23,-5,231,11.7,True
Shavlik Randolph,3,8,0,7,15,78,9.4,True
Shavlik Randolph,3,0,0,5,-41,33,4.0,True
Shavlik Randolph,4,11,0,25,118,224,15.3,False
Shavlik Randolph,3,3,0,25,-188,167,15.4,False
Shavlik Randolph,4,9,0,25,99,236,15.0,False
Shavlik Randolph,4,10,0,5,15,48,13.9,True
Shavlik Randolph,4,6,0,3,0,33,10.8,True
Shavlik Randolph,4,1,1,2,13,20,6.5,True
Shavlik Randolph,4,10,0,2,12,19,14.1,True
Shavlik Randolph,4,7,0,0,-3,4,23.0,True
Shavlik Randolph,4,7,1,1,2,12,7.6,True
Shavlik Randolph,4,2,0,1,12,0,22.6,True
Shavlik Randolph,4,0,1,0,6,0,0.0,True
Shavlik Randolph,2,10,0,1,-9,-5,24.0,True
Shavlik Randolph,3,2,0,5,45,36,11.0,True
Shavlik Randolph,4,1,1,12,127,3,6.9,True
