name,period,minutes_remaining,shot_made_flag,shot_distance,x,y,shot_clock,shot_2pnt
Steve Novak,4,5,0,22,-229,19,9.4,False
Steve Novak,4,9,0,21,94,197,14.7,True
Steve Novak,4,4,0,22,228,14,13.4,False
Steve Novak,4,0,1,22,-229,7,4.7,False
Steve Novak,4,7,0,24,-71,238,0.0,False
Steve Novak,4,2,1,23,-209,97,0.0,True
Steve Novak,4,1,0,23,-234,30,0.0,False
Steve Novak,2,7,0,25,168,197,14.0,False
Steve Novak,4,8,0,20,-198,52,3.1,True
Steve Novak,2,1,1,23,-128,203,16.5,False
Steve Novak,4,3,0,26,184,184,9.2,False
Steve Novak,2,5,0,24,-147,200,9.0,False
Steve Novak,2,7,1,23,236,15,6.5,False
Steve Novak,4,7,0,24,108,220,13.0,False
Steve Novak,4,2,0,22,122,184,16.0,True
Steve Novak,1,1,0,23,47,235,15.9,False
Steve Novak,2,1,1,23,103,208,11.7,True
Steve Novak,2,1,0,24,17,244,10.0,False
Steve Novak,2,7,1,23,154,171,12.0,True
Steve Novak,2,10,0,22,225,17,13.6,False
Steve Novak,2,6,0,22,228,30,13.0,False
Steve Novak,3,2,1,25,10,255,18.6,False
Steve Novak,2,10,1,24,-59,238,17.1,False
Steve Novak,4,11,1,25,-149,203,9.5,False
Steve Novak,2,2,1,24,177,172,14.2,False
Steve Novak,2,0,1,22,-229,7,19.2,False
Steve Novak,4,10,1,25,-59,244,10.1,False
Steve Novak,2,6,1,24,-153,197,11.1,False
Steve Novak,1,2,0,30,-45,298,3.4,False
Steve Novak,4,0,1,23,236,11,0.0,False
Steve Novak,4,5,0,29,124,263,6.7,False
Steve Novak,4,0,0,22,-7,225,1.0,True
Steve Novak,4,1,1,24,192,148,18.1,False
Steve Novak,2,0,0,32,-138,293,0.0,False
Steve Novak,4,2,0,19,-199,-17,3.4,True
Steve Novak,4,4,0,25,-103,235,13.4,False
Steve Novak,3,2,0,24,-29,247,11.7,False
Steve Novak,2,10,1,24,-35,244,19.5,False
Steve Novak,1,1,0,25,23,255,7.6,False
Steve Novak,2,10,0,25,204,148,12.0,False
Steve Novak,4,8,1,22,-224,26,10.9,False
Steve Novak,2,8,0,25,-15,252,21.8,False
Steve Novak,4,8,1,25,-5,258,19.1,False
Steve Novak,2,11,1,25,215,138,1.8,False
Steve Novak,4,11,0,24,100,228,11.2,False
Steve Novak,4,1,0,23,-232,50,15.4,False
Steve Novak,3,2,0,24,236,48,12.1,False
Steve Novak,2,10,0,24,-30,244,4.0,False
Steve Novak,2,3,0,22,-223,17,15.1,False
Steve Novak,4,0,0,24,70,235,19.7,False
Steve Novak,2,7,0,25,100,230,11.2,False
Steve Novak,2,7,1,24,-202,143,9.6,False
Steve Novak,4,1,1,25,-201,154,4.0,False
Steve Novak,4,8,0,26,171,206,18.8,False
Steve Novak,4,8,1,25,105,235,19.0,False
Steve Novak,4,1,0,27,-141,233,14.3,False
