name,period,minutes_remaining,shot_made_flag,shot_distance,x,y,shot_clock,shot_2pnt
Thabo Sefolosha,2,7,1,0,0,7,8.0,True
Thabo Sefolosha,4,0,1,1,9,9,21.0,True
Thabo Sefolosha,2,7,1,2,23,4,20.5,True
Thabo Sefolosha,2,9,1,0,-5,-3,21.1,True
Thabo Sefolosha,3,3,1,0,0,1,20.1,True
Thabo Sefolosha,1,2,1,1,-15,4,20.3,True
Thabo Sefolosha,3,1,0,4,12,39,8.3,True
Thabo Sefolosha,4,7,1,4,18,44,2.8,True
Thabo Sefolosha,1,3,0,4,-13,44,4.2,True
Thabo Sefolosha,2,3,0,9,6,97,8.9,True
Thabo Sefolosha,1,2,1,18,182,31,12.0,True
Thabo Sefolosha,3,6,1,1,-18,3,12.9,True
Thabo Sefolosha,4,4,0,2,24,9,17.1,True
Thabo Sefolosha,4,8,0,2,-19,9,6.3,True
Thabo Sefolosha,4,1,1,1,17,3,6.5,True
Thabo Sefolosha,1,0,1,1,-13,7,10.0,True
Thabo Sefolosha,2,11,0,2,28,9,9.2,True
Thabo Sefolosha,4,11,0,2,23,0,10.0,True
Thabo Sefolosha,2,10,1,1,-10,6,12.0,True
Thabo Sefolosha,3,4,0,3,-17,35,21.9,True
Thabo Sefolosha,4,11,1,1,-18,4,4.0,True
Thabo Sefolosha,2,9,0,1,17,7,18.2,True
Thabo Sefolosha,2,4,1,2,23,-6,5.3,True
Thabo Sefolosha,3,1,1,0,-8,0,10.0,True
Thabo Sefolosha,1,8,1,1,-8,7,10.9,True
Thabo Sefolosha,4,4,0,2,-21,0,6.3,True
Thabo Sefolosha,4,10,0,1,-11,0,15.0,True
Thabo Sefolosha,2,5,0,1,-16,4,0.0,True
Thabo Sefolosha,3,1,0,0,4,7,10.2,True
Thabo Sefolosha,4,2,0,0,0,6,11.0,True
Thabo Sefolosha,3,0,1,1,13,4,6.2,True
Thabo Sefolosha,1,2,1,0,0,7,11.8,True
Thabo Sefolosha,4,7,1,2,20,4,4.3,True
Thabo Sefolosha,3,8,0,0,0,1,21.4,True
Thabo Sefolosha,4,0,1,0,0,1,4.2,True
