name,period,minutes_remaining,shot_made_flag,shot_distance,x,y,shot_clock,shot_2pnt
Tim Duncan,1,6,1,0,0,1,15.2,True
Tim Duncan,1,4,1,2,-24,6,14.5,True
Tim Duncan,5,3,1,1,9,-5,11.0,True
Tim Duncan,3,8,1,1,15,7,11.7,True
Tim Duncan,4,0,1,1,-16,7,16.9,True
Tim Duncan,5,1,1,1,17,9,0.0,True
Tim Duncan,4,1,1,1,18,7,10.3,True
Tim Duncan,3,8,1,1,10,6,11.0,True
Tim Duncan,1,6,1,2,-21,4,7.8,True
Tim Duncan,3,11,0,4,45,17,2.5,True
Tim Duncan,1,8,1,6,-54,34,6.1,True
Tim Duncan,4,1,1,0,0,1,11.7,True
Tim Duncan,3,8,1,0,0,1,16.4,True
Tim Duncan,4,1,1,0,0,6,3.1,True
Tim Duncan,4,4,1,3,2,30,3.0,True
Tim Duncan,2,2,1,8,17,82,9.6,True
Tim Duncan,1,8,0,5,47,25,11.0,True
Tim Duncan,2,3,1,5,29,48,7.7,True
Tim Duncan,2,1,0,2,-24,4,12.7,True
Tim Duncan,3,2,0,2,17,-14,13.5,True
Tim Duncan,1,11,1,1,7,15,7.4,True
Tim Duncan,2,4,0,3,6,37,11.4,True
Tim Duncan,2,5,1,1,-16,4,14.5,True
Tim Duncan,1,9,1,1,0,11,16.4,True
Tim Duncan,1,11,1,0,0,1,10.6,True
Tim Duncan,1,7,1,0,0,1,18.3,True
Tim Duncan,1,4,1,0,0,1,12.5,True
Tim Duncan,1,7,1,0,0,1,12.8,True
Tim Duncan,2,1,0,0,0,1,16.0,True
Tim Duncan,4,3,1,0,0,1,14.9,True
Tim Duncan,3,2,1,0,0,1,15.6,True
Tim Duncan,1,7,1,0,0,1,15.0,True
Tim Duncan,1,8,1,0,0,1,8.3,True
Tim Duncan,2,4,1,0,0,1,17.6,True
Tim Duncan,3,10,1,0,0,1,20.0,True
Tim Duncan,4,5,1,0,0,1,13.5,True
Tim Duncan,3,5,1,0,0,1,12.4,True
Tim Duncan,2,5,1,0,0,1,16.9,True
Tim Duncan,3,2,1,0,0,1,9.0,True
Tim Duncan,2,0,1,0,0,1,7.2,True
Tim Duncan,4,2,1,0,0,1,7.4,True
Tim Duncan,4,7,1,0,0,1,5.3,True
Tim Duncan,3,7,1,0,0,1,5.5,True
Tim Duncan,3,6,1,0,0,1,9.9,True
Tim Duncan,1,5,1,0,0,1,9.7,True
Tim Duncan,2,0,1,0,0,1,10.5,True
Tim Duncan,4,2,1,0,0,1,18.6,True
Tim Duncan,3,4,1,0,0,1,11.6,True
Tim Duncan,2,2,0,0,0,1,12.4,True
Tim Duncan,4,6,1,0,0,1,5.8,True
Tim Duncan,1,1,1,0,0,1,19.2,True
Tim Duncan,2,1,1,0,0,1,10.0,True
Tim Duncan,4,6,1,0,0,1,6.0,True
Tim Duncan,2,1,1,0,0,1,8.1,True
Tim Duncan,3,2,1,0,0,1,17.7,True
Tim Duncan,2,8,1,0,0,1,15.0,True
Tim Duncan,3,6,0,0,0,1,10.3,True
Tim Duncan,1,5,1,0,0,1,5.2,True
Tim Duncan,1,6,1,7,-67,34,6.5,True
Tim Duncan,2,1,0,5,-54,25,9.6,True
Tim Duncan,2,0,1,8,-67,56,0.0,True
Tim Duncan,2,4,0,11,-100,61,3.7,True
Tim Duncan,3,8,1,0,0,1,8.3,True
Tim Duncan,1,7,1,0,-2,1,19.1,True
Tim Duncan,4,8,1,2,17,19,9.4,True
Tim Duncan,3,5,1,1,-16,0,3.0,True
Tim Duncan,3,8,1,10,-26,104,16.5,True
Tim Duncan,1,9,1,10,2,107,9.7,True
Tim Duncan,2,0,0,6,6,67,3.5,True
Tim Duncan,3,9,1,6,-68,12,0.0,True
Tim Duncan,1,7,1,9,15,96,0.0,True
Tim Duncan,2,4,0,7,4,78,0.0,True
Tim Duncan,3,9,1,8,80,-5,9.2,True
Tim Duncan,2,7,1,9,92,14,13.1,True
Tim Duncan,3,7,0,4,13,47,10.9,True
Tim Duncan,1,6,1,4,-2,45,10.8,True
Tim Duncan,1,8,1,4,0,48,7.8,True
Tim Duncan,3,5,0,4,-40,1,7.9,True
Tim Duncan,4,0,0,6,62,20,12.1,True
Tim Duncan,2,2,0,3,-7,31,10.3,True
Tim Duncan,2,4,1,5,26,47,9.2,True
Tim Duncan,3,7,0,4,2,41,14.1,True
Tim Duncan,4,4,1,1,15,11,13.2,True
Tim Duncan,2,3,1,4,-19,41,16.0,True
Tim Duncan,2,5,1,5,1,53,7.1,True
Tim Duncan,1,10,1,3,-2,34,11.8,True
Tim Duncan,2,5,1,7,-18,74,8.5,True
Tim Duncan,2,2,1,3,-2,31,3.6,True
Tim Duncan,4,1,0,4,28,36,7.6,True
Tim Duncan,4,9,0,7,59,52,6.8,True
Tim Duncan,3,8,1,3,-37,4,11.3,True
Tim Duncan,2,7,0,7,61,48,4.4,True
Tim Duncan,3,7,1,13,130,33,9.7,True
Tim Duncan,2,1,1,5,-56,17,5.2,True
Tim Duncan,1,8,1,4,-41,7,11.2,True
Tim Duncan,3,9,1,9,89,37,12.8,True
Tim Duncan,3,8,0,8,-76,34,10.1,True
Tim Duncan,4,9,1,5,48,23,14.4,True
Tim Duncan,3,9,1,9,97,23,0.0,True
Tim Duncan,1,4,1,9,81,42,0.0,True
Tim Duncan,3,9,0,16,-155,52,10.7,True
Tim Duncan,3,9,1,11,-108,34,10.8,True
Tim Duncan,2,4,0,3,32,20,10.0,True
Tim Duncan,2,9,0,18,-73,165,14.0,True
Tim Duncan,3,2,0,10,86,53,6.5,True
Tim Duncan,1,2,1,8,-86,26,10.0,True
Tim Duncan,2,3,0,10,103,6,18.0,True
Tim Duncan,2,11,0,7,75,6,9.0,True
Tim Duncan,1,5,0,13,-119,55,17.0,True
Tim Duncan,1,9,1,6,-64,-6,10.4,True
Tim Duncan,4,4,0,15,-146,53,12.5,True
Tim Duncan,5,1,0,11,118,20,5.8,True
Tim Duncan,1,5,0,11,-106,30,6.3,True
Tim Duncan,2,10,1,5,-51,6,12.6,True
Tim Duncan,1,11,0,5,50,22,11.0,True
Tim Duncan,3,8,0,5,-46,36,4.4,True
Tim Duncan,2,2,1,4,36,20,17.0,True
Tim Duncan,3,3,0,11,-112,15,11.0,True
Tim Duncan,4,2,1,6,59,23,13.6,True
Tim Duncan,2,1,1,4,34,26,7.3,True
Tim Duncan,3,4,0,12,-122,39,7.5,True
Tim Duncan,3,5,1,10,102,15,17.4,True
Tim Duncan,1,8,1,17,-158,74,12.7,True
Tim Duncan,2,2,0,14,-146,34,16.2,True
Tim Duncan,4,4,0,4,32,26,4.5,True
Tim Duncan,1,5,1,8,75,37,10.5,True
Tim Duncan,2,7,1,4,-40,14,5.4,True
Tim Duncan,1,8,0,17,-172,53,6.2,True
Tim Duncan,2,2,0,13,-130,11,11.7,True
Tim Duncan,1,7,0,7,-73,-5,8.1,True
Tim Duncan,1,4,0,17,-164,67,7.1,True
Tim Duncan,3,5,0,16,-142,75,15.6,True
Tim Duncan,2,4,1,5,-45,22,13.6,True
Tim Duncan,1,10,1,17,-125,123,8.7,True
Tim Duncan,3,10,0,12,-108,64,15.1,True
Tim Duncan,1,5,1,14,-142,6,6.1,True
Tim Duncan,4,5,1,5,-51,25,14.4,True
Tim Duncan,3,2,0,14,-133,44,11.5,True
Tim Duncan,1,10,0,3,36,7,14.5,True
Tim Duncan,4,8,1,9,84,39,14.3,True
Tim Duncan,2,3,0,6,54,34,11.1,True
Tim Duncan,1,7,1,10,-103,30,14.4,True
Tim Duncan,1,8,1,7,72,33,16.0,True
Tim Duncan,1,3,0,14,-117,80,11.0,True
Tim Duncan,6,0,1,16,1,162,0.0,True
Tim Duncan,3,10,1,9,-87,25,12.0,True
