name,period,minutes_remaining,shot_made_flag,shot_distance,x,y,shot_clock,shot_2pnt
Tim Hardaway Jr,2,10,1,0,0,1,24.0,True
Tim Hardaway Jr,1,3,1,3,23,23,20.2,True
Tim Hardaway Jr,2,5,1,0,0,1,19.6,True
Tim Hardaway Jr,1,4,1,0,0,1,21.0,True
Tim Hardaway Jr,3,4,1,0,0,1,20.0,True
Tim Hardaway Jr,4,3,1,2,20,-3,19.8,True
Tim Hardaway Jr,1,5,1,1,6,9,8.1,True
Tim Hardaway Jr,3,9,0,1,-18,7,5.1,True
Tim Hardaway Jr,2,8,0,1,12,7,19.0,True
Tim Hardaway Jr,4,9,1,0,7,-3,11.5,True
Tim Hardaway Jr,2,0,1,2,0,23,8.3,True
Tim Hardaway Jr,2,5,1,0,4,9,8.2,True
Tim Hardaway Jr,2,10,1,1,12,7,21.6,True
Tim Hardaway Jr,3,6,0,4,-30,29,14.4,True
Tim Hardaway Jr,1,7,0,5,45,22,17.4,True
Tim Hardaway Jr,3,9,1,4,-18,37,9.8,True
Tim Hardaway Jr,4,10,0,9,4,99,8.7,True
Tim Hardaway Jr,3,9,0,5,4,56,0.0,True
Tim Hardaway Jr,1,8,1,4,-46,19,10.9,True
Tim Hardaway Jr,1,1,1,11,31,108,24.0,True
Tim Hardaway Jr,3,9,0,4,2,42,17.0,True
Tim Hardaway Jr,1,0,0,28,135,247,0.0,False
Tim Hardaway Jr,1,2,1,7,-54,45,13.3,True
Tim Hardaway Jr,4,7,0,5,50,22,12.8,True
Tim Hardaway Jr,4,1,1,0,7,3,6.0,True
Tim Hardaway Jr,1,9,0,3,34,-5,20.9,True
Tim Hardaway Jr,2,3,0,3,26,17,19.0,True
Tim Hardaway Jr,2,5,0,0,4,7,0.0,True
Tim Hardaway Jr,4,6,0,2,20,19,8.3,True
Tim Hardaway Jr,2,3,1,1,9,6,14.3,True
Tim Hardaway Jr,1,5,1,2,-13,26,2.1,True
Tim Hardaway Jr,4,0,1,1,18,3,20.4,True
Tim Hardaway Jr,4,7,1,1,-8,12,20.9,True
Tim Hardaway Jr,4,11,1,2,24,6,3.8,True
Tim Hardaway Jr,2,7,1,2,23,3,13.0,True
Tim Hardaway Jr,4,10,1,1,15,0,2.9,True
Tim Hardaway Jr,1,8,0,2,-18,14,13.7,True
Tim Hardaway Jr,5,0,1,0,7,4,0.0,True
Tim Hardaway Jr,2,8,0,1,13,11,20.3,True
Tim Hardaway Jr,1,6,1,2,-13,17,0.0,True
Tim Hardaway Jr,2,5,0,2,24,11,19.5,True
Tim Hardaway Jr,3,7,0,1,-16,9,20.0,True
Tim Hardaway Jr,4,8,1,2,26,9,19.5,True
Tim Hardaway Jr,1,4,1,0,-7,0,19.7,True
Tim Hardaway Jr,3,6,0,1,10,0,20.3,True
Tim Hardaway Jr,2,3,1,1,17,4,11.8,True
Tim Hardaway Jr,1,9,1,1,-15,3,13.0,True
Tim Hardaway Jr,2,6,1,1,1,17,9.9,True
Tim Hardaway Jr,2,8,0,2,24,3,2.1,True
Tim Hardaway Jr,4,0,1,3,26,15,18.4,True
Tim Hardaway Jr,4,9,1,2,-10,19,11.0,True
Tim Hardaway Jr,1,10,0,3,36,9,5.4,True
Tim Hardaway Jr,3,5,1,1,-11,-2,20.4,True
Tim Hardaway Jr,4,3,1,0,7,0,8.2,True
Tim Hardaway Jr,1,3,1,1,-2,19,5.1,True
Tim Hardaway Jr,1,3,0,2,23,15,14.4,True
Tim Hardaway Jr,1,3,1,1,-11,15,12.3,True
Tim Hardaway Jr,1,0,0,2,23,0,7.0,True
Tim Hardaway Jr,3,3,1,2,15,14,3.0,True
Tim Hardaway Jr,2,2,1,0,9,0,18.9,True
Tim Hardaway Jr,1,0,1,1,13,4,0.0,True
Tim Hardaway Jr,3,8,1,1,18,7,1.4,True
Tim Hardaway Jr,1,5,0,2,17,20,8.6,True
Tim Hardaway Jr,4,2,1,0,-4,1,7.5,True
Tim Hardaway Jr,1,0,0,2,-7,28,18.8,True
Tim Hardaway Jr,1,5,0,1,13,0,19.3,True
Tim Hardaway Jr,3,0,1,1,9,11,0.0,True
Tim Hardaway Jr,4,3,0,3,34,0,6.6,True
Tim Hardaway Jr,2,7,1,2,24,14,7.0,True
Tim Hardaway Jr,3,2,1,1,-16,4,16.1,True
Tim Hardaway Jr,3,0,0,2,-7,20,9.2,True
Tim Hardaway Jr,2,11,1,1,15,6,20.6,True
Tim Hardaway Jr,1,9,1,2,23,1,15.4,True
Tim Hardaway Jr,4,9,1,2,0,25,20.3,True
Tim Hardaway Jr,4,0,1,0,9,-2,16.6,True
Tim Hardaway Jr,2,5,1,2,-7,20,23.2,True
Tim Hardaway Jr,3,1,1,2,-13,17,19.3,True
Tim Hardaway Jr,1,4,0,2,21,7,19.8,True
Tim Hardaway Jr,2,7,0,3,13,28,11.3,True
Tim Hardaway Jr,1,10,1,1,-10,0,3.9,True
Tim Hardaway Jr,4,9,1,2,-27,7,24.0,True
Tim Hardaway Jr,1,0,1,1,-16,3,0.0,True
Tim Hardaway Jr,1,10,0,1,13,0,9.6,True
Tim Hardaway Jr,3,9,1,1,-11,4,13.6,True
Tim Hardaway Jr,4,9,1,2,23,15,11.9,True
Tim Hardaway Jr,2,10,1,0,0,1,21.3,True
Tim Hardaway Jr,2,8,1,0,0,1,20.7,True
Tim Hardaway Jr,3,7,1,0,0,1,21.7,True
Tim Hardaway Jr,3,2,1,0,0,1,22.5,True
Tim Hardaway Jr,4,0,1,0,0,1,21.0,True
Tim Hardaway Jr,4,6,0,14,146,34,5.9,True
Tim Hardaway Jr,1,2,1,21,154,143,3.9,True
Tim Hardaway Jr,3,6,0,19,190,45,7.4,True
Tim Hardaway Jr,4,1,0,18,-182,-11,2.3,True
Tim Hardaway Jr,1,11,0,17,171,6,4.2,True
Tim Hardaway Jr,2,10,0,21,54,209,12.2,True
Tim Hardaway Jr,4,5,1,18,102,159,3.3,True
Tim Hardaway Jr,4,3,1,18,160,99,2.5,True
Tim Hardaway Jr,3,5,0,11,-119,6,6.1,True
Tim Hardaway Jr,3,0,0,19,147,121,1.9,True
Tim Hardaway Jr,4,11,1,14,140,0,10.9,True
Tim Hardaway Jr,1,11,1,8,-5,83,10.9,True
Tim Hardaway Jr,3,11,0,11,-71,88,1.1,True
Tim Hardaway Jr,1,5,0,12,103,74,5.6,True
Tim Hardaway Jr,2,9,0,9,-98,-10,21.1,True
Tim Hardaway Jr,1,5,1,6,0,60,11.1,True
Tim Hardaway Jr,2,8,0,9,2,97,10.5,True
Tim Hardaway Jr,4,10,1,12,105,64,14.0,True
Tim Hardaway Jr,3,2,0,3,0,36,5.7,True
Tim Hardaway Jr,1,2,0,8,70,52,6.0,True
Tim Hardaway Jr,1,2,0,9,-10,96,13.3,True
Tim Hardaway Jr,2,10,1,14,-128,58,11.0,True
Tim Hardaway Jr,2,11,1,26,-130,236,10.0,False
Tim Hardaway Jr,4,8,1,2,12,26,8.5,True
Tim Hardaway Jr,1,1,0,29,-15,291,3.4,False
Tim Hardaway Jr,1,0,1,3,-24,28,22.8,True
Tim Hardaway Jr,4,8,0,24,230,72,18.0,False
Tim Hardaway Jr,2,8,0,13,135,3,13.8,True
Tim Hardaway Jr,1,0,0,34,-4,340,0.0,False
Tim Hardaway Jr,2,9,1,24,151,198,13.0,False
Tim Hardaway Jr,1,1,1,20,-97,179,9.9,True
Tim Hardaway Jr,1,0,0,24,239,52,3.0,False
Tim Hardaway Jr,4,10,0,25,45,246,14.3,False
Tim Hardaway Jr,2,7,0,25,72,246,3.6,False
Tim Hardaway Jr,4,6,0,26,-126,229,7.8,False
Tim Hardaway Jr,2,3,0,5,-3,51,4.9,True
Tim Hardaway Jr,4,5,0,17,167,58,6.6,True
Tim Hardaway Jr,4,1,0,19,84,179,4.3,True
Tim Hardaway Jr,3,0,0,27,70,263,13.3,False
Tim Hardaway Jr,2,4,0,26,-84,249,7.4,False
Tim Hardaway Jr,4,7,0,14,-123,85,9.7,True
Tim Hardaway Jr,1,0,1,20,200,23,10.5,True
Tim Hardaway Jr,3,3,1,26,141,225,7.5,False
Tim Hardaway Jr,4,8,0,22,-226,0,6.9,False
Tim Hardaway Jr,3,9,1,26,97,247,3.2,False
Tim Hardaway Jr,2,11,0,23,239,-21,15.6,False
Tim Hardaway Jr,2,7,0,24,-32,244,1.4,False
