name,period,minutes_remaining,shot_made_flag,shot_distance,x,y,shot_clock,shot_2pnt
Trevor Ariza,2,7,1,0,0,1,20.2,True
Trevor Ariza,4,5,1,0,0,1,18.5,True
Trevor Ariza,3,3,0,0,0,1,19.0,True
Trevor Ariza,1,10,1,0,0,1,20.7,True
Trevor Ariza,1,10,1,0,0,1,17.1,True
Trevor Ariza,1,7,1,0,0,1,19.9,True
Trevor Ariza,4,6,1,0,0,1,0.0,True
Trevor Ariza,4,1,0,4,6,48,5.7,True
Trevor Ariza,1,5,0,4,43,15,13.0,True
Trevor Ariza,1,1,0,4,-35,34,17.3,True
Trevor Ariza,2,8,1,6,58,17,11.9,True
Trevor Ariza,1,6,1,1,-15,0,14.5,True
Trevor Ariza,3,4,1,0,-7,-3,7.3,True
Trevor Ariza,1,11,0,2,20,0,18.0,True
Trevor Ariza,3,9,1,1,-11,7,18.1,True
Trevor Ariza,1,9,1,2,20,15,9.5,True
Trevor Ariza,1,7,1,2,-11,20,11.0,True
Trevor Ariza,2,3,1,2,21,7,20.4,True
Trevor Ariza,3,3,1,2,23,-3,9.0,True
Trevor Ariza,1,3,0,1,13,-5,10.5,True
Trevor Ariza,1,7,0,4,-41,11,17.0,True
Trevor Ariza,3,10,1,0,2,0,9.7,True
Trevor Ariza,1,4,1,1,2,14,8.2,True
Trevor Ariza,1,8,0,2,21,-10,0.0,True
Trevor Ariza,4,8,0,0,-5,-3,7.8,True
Trevor Ariza,2,5,1,2,-4,23,0.0,True
Trevor Ariza,2,11,0,2,0,23,13.3,True
Trevor Ariza,4,4,0,1,-13,9,18.2,True
Trevor Ariza,2,6,1,2,-23,15,12.8,True
Trevor Ariza,1,7,1,2,26,-2,5.9,True
Trevor Ariza,1,4,1,1,6,9,14.8,True
Trevor Ariza,3,8,0,2,28,3,2.7,True
Trevor Ariza,1,6,0,3,26,16,14.6,True
Trevor Ariza,3,4,0,2,-21,14,17.4,True
Trevor Ariza,2,8,1,1,-4,12,14.5,True
Trevor Ariza,1,9,0,1,-18,-6,3.0,True
Trevor Ariza,3,10,0,1,-2,19,2.7,True
Trevor Ariza,1,8,0,2,-2,28,9.0,True
Trevor Ariza,1,3,1,0,-4,-2,19.4,True
Trevor Ariza,4,6,1,2,18,9,7.6,True
Trevor Ariza,2,5,1,0,0,3,13.8,True
Trevor Ariza,2,4,0,1,7,15,16.0,True
Trevor Ariza,3,6,1,0,2,4,10.3,True
Trevor Ariza,1,6,1,1,-13,3,12.0,True
Trevor Ariza,1,6,1,3,28,20,13.9,True
Trevor Ariza,1,8,0,3,34,12,16.0,True
Trevor Ariza,2,10,0,2,15,25,0.0,True
Trevor Ariza,1,8,1,1,13,1,19.8,True
Trevor Ariza,3,4,1,3,-4,33,11.5,True
Trevor Ariza,3,5,1,1,12,-11,10.2,True
Trevor Ariza,4,5,0,2,-5,28,1.0,True
Trevor Ariza,4,1,1,3,39,7,2.6,True
Trevor Ariza,2,7,1,0,-2,4,17.4,True
Trevor Ariza,3,5,1,1,-7,11,22.0,True
Trevor Ariza,1,8,0,1,18,1,16.1,True
Trevor Ariza,2,11,1,1,17,4,22.0,True
Trevor Ariza,2,3,1,2,20,-3,2.1,True
Trevor Ariza,1,3,1,0,-8,0,14.5,True
Trevor Ariza,4,10,1,1,13,6,11.9,True
Trevor Ariza,1,4,1,2,-11,19,0.0,True
Trevor Ariza,1,9,1,0,-4,4,13.0,True
Trevor Ariza,2,8,0,2,18,9,14.2,True
Trevor Ariza,1,9,1,4,42,3,6.0,True
Trevor Ariza,3,8,1,1,-19,-2,8.9,True
Trevor Ariza,1,8,1,2,-21,6,0.0,True
Trevor Ariza,3,10,1,3,-30,3,15.5,True
Trevor Ariza,3,10,0,2,-2,23,12.0,True
Trevor Ariza,1,7,0,2,21,-2,15.9,True
Trevor Ariza,3,5,1,2,12,19,21.0,True
Trevor Ariza,1,8,0,2,24,11,16.8,True
Trevor Ariza,1,9,1,0,1,6,12.6,True
Trevor Ariza,1,10,1,2,20,1,17.8,True
Trevor Ariza,4,6,1,0,-2,-6,7.4,True
Trevor Ariza,1,4,0,1,12,3,16.3,True
Trevor Ariza,2,9,1,1,-8,9,3.7,True
Trevor Ariza,1,8,1,1,15,1,19.0,True
Trevor Ariza,1,8,0,1,-16,-2,20.7,True
Trevor Ariza,1,11,0,2,17,11,9.4,True
Trevor Ariza,2,0,0,3,36,6,0.0,True
Trevor Ariza,2,5,0,1,15,9,11.2,True
Trevor Ariza,4,8,0,2,1,28,13.8,True
Trevor Ariza,1,8,1,0,7,0,0.0,True
Trevor Ariza,3,6,1,2,20,1,3.4,True
Trevor Ariza,1,6,0,1,0,14,0.0,True
Trevor Ariza,3,6,0,0,-2,0,0.0,True
Trevor Ariza,2,8,0,2,-13,17,15.5,True
Trevor Ariza,2,4,0,0,0,1,3.0,True
Trevor Ariza,4,7,1,0,0,1,8.4,True
Trevor Ariza,1,4,1,0,0,1,20.6,True
Trevor Ariza,2,11,1,0,0,1,5.1,True
Trevor Ariza,1,3,1,0,0,1,21.0,True
Trevor Ariza,2,2,1,0,0,1,20.7,True
Trevor Ariza,1,8,1,0,0,1,20.2,True
Trevor Ariza,4,7,1,0,0,1,15.5,True
Trevor Ariza,2,10,1,0,0,1,21.4,True
Trevor Ariza,1,8,1,0,0,1,21.3,True
Trevor Ariza,4,8,1,0,0,1,21.1,True
Trevor Ariza,1,11,1,0,0,1,19.8,True
Trevor Ariza,1,6,1,0,0,1,20.5,True
Trevor Ariza,2,9,1,0,0,1,20.6,True
Trevor Ariza,2,7,0,0,0,1,9.5,True
Trevor Ariza,3,5,1,0,0,1,21.9,True
Trevor Ariza,3,3,0,0,0,1,21.7,True
Trevor Ariza,1,3,1,0,0,1,20.6,True
Trevor Ariza,3,7,1,0,0,1,20.7,True
Trevor Ariza,2,7,1,0,0,1,21.5,True
Trevor Ariza,2,2,1,0,0,1,20.0,True
Trevor Ariza,2,0,1,0,0,1,7.6,True
Trevor Ariza,1,8,1,0,0,1,19.9,True
Trevor Ariza,1,8,1,0,0,1,15.0,True
Trevor Ariza,2,11,1,0,0,1,21.8,True
Trevor Ariza,2,2,1,0,0,1,20.4,True
Trevor Ariza,3,4,1,0,0,1,19.0,True
Trevor Ariza,2,9,1,0,0,1,21.1,True
Trevor Ariza,2,4,1,0,0,1,19.5,True
Trevor Ariza,4,10,0,10,102,25,2.0,True
Trevor Ariza,4,9,0,20,163,131,0.6,True
Trevor Ariza,2,7,0,8,39,74,17.4,True
Trevor Ariza,2,0,0,7,40,61,0.3,True
Trevor Ariza,2,5,0,13,130,-14,11.2,True
Trevor Ariza,4,0,0,25,250,55,0.0,False
Trevor Ariza,1,7,0,10,-95,50,7.0,True
Trevor Ariza,4,10,0,18,110,145,0.3,True
Trevor Ariza,2,9,0,12,20,126,8.8,True
Trevor Ariza,1,7,0,4,-34,31,5.9,True
Trevor Ariza,1,11,1,1,13,4,16.1,True
Trevor Ariza,2,6,1,7,-30,64,12.8,True
Trevor Ariza,4,11,0,13,-103,93,2.8,True
Trevor Ariza,1,11,1,4,-45,19,21.0,True
Trevor Ariza,3,9,1,25,89,238,11.9,False
Trevor Ariza,2,10,1,8,-84,17,15.5,True
Trevor Ariza,1,6,1,25,233,94,17.6,False
Trevor Ariza,3,11,1,23,231,30,15.0,False
Trevor Ariza,4,0,0,27,-142,238,18.8,False
Trevor Ariza,4,3,1,23,-239,3,17.2,False
Trevor Ariza,2,7,0,26,-2,261,23.4,False
Trevor Ariza,2,3,0,22,-224,-14,8.1,False
Trevor Ariza,1,8,1,24,-171,176,19.0,False
Trevor Ariza,1,5,0,22,226,30,18.0,False
