name,period,minutes_remaining,shot_made_flag,shot_distance,x,y,shot_clock,shot_2pnt
Troy Daniels,4,7,0,12,24,124,5.0,True
Troy Daniels,2,11,0,6,-59,17,3.6,True
Troy Daniels,4,1,1,26,-93,244,15.4,False
Troy Daniels,4,2,0,20,95,178,14.2,True
Troy Daniels,4,1,0,15,-152,28,13.2,True
Troy Daniels,4,4,0,24,244,-5,14.7,False
Troy Daniels,4,5,0,27,1,274,19.3,False
Troy Daniels,4,1,0,17,174,26,16.4,True
Troy Daniels,4,4,1,27,187,208,17.2,False
Troy Daniels,4,4,1,20,160,135,16.1,True
Troy Daniels,2,1,1,25,166,198,12.9,False
Troy Daniels,4,11,0,19,129,140,19.4,True
Troy Daniels,4,0,1,18,119,138,13.6,True
Troy Daniels,1,3,1,20,-207,6,13.9,True
Troy Daniels,1,1,1,26,-175,201,9.9,False
Troy Daniels,4,11,0,28,-207,203,2.4,False
Troy Daniels,3,1,1,5,4,55,11.9,True
Troy Daniels,4,1,1,28,-204,194,15.2,False
Troy Daniels,2,11,0,19,-157,110,12.0,True
Troy Daniels,4,8,0,25,78,239,14.6,False
Troy Daniels,2,9,0,24,-166,186,22.7,False
Troy Daniels,1,1,0,17,69,160,14.0,True
Troy Daniels,4,2,1,22,-224,-32,7.6,False
Troy Daniels,4,4,0,23,236,-24,10.0,False
Troy Daniels,3,3,0,14,103,108,12.0,True
Troy Daniels,4,10,0,25,-169,194,8.2,False
Troy Daniels,4,2,0,26,-160,206,14.3,False
Troy Daniels,4,0,1,24,116,219,0.0,False
Troy Daniels,4,1,1,25,-232,115,16.8,False
Troy Daniels,2,7,1,26,-40,263,15.7,False
Troy Daniels,2,8,0,27,-46,268,8.5,False
Troy Daniels,2,7,1,26,159,209,14.0,False
Troy Daniels,4,10,1,16,-161,19,4.9,True
Troy Daniels,4,3,1,25,218,127,18.4,False
Troy Daniels,4,7,0,25,-59,247,10.7,False
Troy Daniels,4,8,0,26,103,241,10.4,False
Troy Daniels,4,7,0,23,-235,-6,17.2,False
Troy Daniels,2,3,0,25,-188,175,5.4,False
Troy Daniels,2,5,0,25,-207,148,19.0,False
Troy Daniels,2,7,1,27,-134,244,14.7,False
Troy Daniels,2,10,0,28,-71,271,12.7,False
Troy Daniels,3,0,1,18,182,0,8.0,True
Troy Daniels,1,0,1,25,-229,108,15.8,False
Troy Daniels,4,2,1,26,-52,261,13.6,False
Troy Daniels,1,2,0,25,149,201,20.3,False
Troy Daniels,1,6,0,24,-168,184,8.2,False
Troy Daniels,4,1,0,25,-13,257,15.0,False
Troy Daniels,4,0,1,27,146,231,13.2,False
Troy Daniels,4,5,0,25,125,227,14.3,False
Troy Daniels,3,3,1,1,15,9,1.3,True
Troy Daniels,4,9,0,0,0,6,12.8,True
Troy Daniels,4,0,0,1,13,12,13.9,True
Troy Daniels,4,1,1,0,-8,-2,21.4,True
Troy Daniels,4,3,1,1,17,0,11.0,True
Troy Daniels,4,10,1,26,-76,254,8.4,False
Troy Daniels,4,5,0,21,179,124,14.9,True
Troy Daniels,2,2,1,19,-191,50,7.0,True
Troy Daniels,4,0,1,28,92,274,0.0,False
Troy Daniels,2,4,0,21,206,69,15.0,True
Troy Daniels,4,4,1,26,91,249,15.7,False
Troy Daniels,3,1,1,24,59,233,16.2,False
Troy Daniels,4,11,1,22,226,23,8.4,False
Troy Daniels,4,8,1,23,228,34,8.2,False
Troy Daniels,2,10,0,22,-226,4,14.5,False
Troy Daniels,4,0,1,25,100,231,0.0,False
Troy Daniels,4,9,0,26,17,260,6.3,False
Troy Daniels,3,0,0,4,28,37,1.4,True
Troy Daniels,4,6,0,24,-147,194,8.0,False
Troy Daniels,4,1,0,24,0,244,21.1,False
Troy Daniels,4,9,0,20,146,137,7.3,True
Troy Daniels,4,5,0,24,170,178,20.1,False
Troy Daniels,4,11,0,23,118,208,13.7,False
Troy Daniels,2,10,0,22,-228,20,5.3,False
Troy Daniels,2,8,0,24,-201,142,2.5,False
Troy Daniels,3,6,0,25,214,137,15.6,False
Troy Daniels,2,9,0,24,203,134,12.6,False
Troy Daniels,4,5,0,24,40,246,17.6,False
Troy Daniels,4,2,1,23,233,28,6.5,False
Troy Daniels,2,7,1,25,-73,244,13.3,False
Troy Daniels,2,2,0,23,154,176,10.0,True
Troy Daniels,4,8,0,22,-228,-11,14.7,False
Troy Daniels,4,1,0,26,-101,242,14.2,False
Troy Daniels,4,11,1,5,-30,50,23.8,True
Troy Daniels,4,10,0,26,-158,211,12.4,False
Troy Daniels,4,9,0,29,-209,208,14.1,False
Troy Daniels,4,0,0,26,-175,203,0.0,False
Troy Daniels,4,2,1,19,192,-13,9.3,True
Troy Daniels,2,0,0,26,-133,231,14.1,False
Troy Daniels,3,0,0,4,7,48,10.1,True
Troy Daniels,3,1,0,28,-78,277,17.0,False
Troy Daniels,3,0,0,28,-209,190,17.8,False
Troy Daniels,4,4,1,18,125,143,21.9,True
Troy Daniels,2,8,0,20,-56,192,13.2,True
Troy Daniels,2,5,0,13,0,131,14.0,True
Troy Daniels,4,6,1,18,-179,33,2.1,True
Troy Daniels,4,11,0,10,15,99,1.0,True
Troy Daniels,2,6,1,25,-98,233,7.8,False
Troy Daniels,4,0,0,25,-210,138,5.0,False
Troy Daniels,3,2,0,16,-168,22,17.1,True
Troy Daniels,4,0,0,23,-232,28,0.0,False
Troy Daniels,4,0,0,24,56,241,0.0,False
Troy Daniels,4,1,0,25,157,200,15.6,False
Troy Daniels,2,6,0,24,-139,197,8.4,False
Troy Daniels,4,0,0,21,105,189,0.0,True
Troy Daniels,4,11,0,23,13,239,8.9,False
Troy Daniels,2,0,0,28,-8,287,0.0,False
Troy Daniels,4,9,1,24,-235,63,19.3,False
Troy Daniels,4,9,0,0,0,4,17.0,True
Troy Daniels,3,7,0,2,13,25,15.1,True
Troy Daniels,2,9,0,0,4,-6,9.7,True
Troy Daniels,3,1,0,0,0,-3,24.0,True
Troy Daniels,4,1,1,25,50,252,23.2,False
Troy Daniels,2,6,1,20,-100,183,11.4,True
Troy Daniels,4,3,1,21,-138,170,10.4,True
Troy Daniels,4,4,1,25,-57,252,7.4,False
Troy Daniels,4,0,1,25,80,246,0.0,False
Troy Daniels,2,3,0,3,-38,0,8.4,True
Troy Daniels,4,1,1,27,-84,263,18.0,False
Troy Daniels,4,1,1,1,-18,-2,8.3,True
Troy Daniels,4,1,0,25,234,107,12.7,False
Troy Daniels,4,3,1,25,-131,213,8.8,False
Troy Daniels,4,8,0,26,220,143,17.4,False
Troy Daniels,4,6,1,24,-168,181,14.9,False
Troy Daniels,4,0,1,26,-95,246,15.5,False
Troy Daniels,1,2,1,24,-240,48,22.3,False
Troy Daniels,2,11,0,20,-201,42,0.0,True
Troy Daniels,4,1,1,25,-204,148,0.0,False
Troy Daniels,4,1,0,22,225,3,0.0,False
Troy Daniels,4,0,0,25,-183,172,0.0,False
Troy Daniels,4,11,1,25,-111,233,16.3,False
Troy Daniels,4,10,0,25,165,200,20.6,False
Troy Daniels,4,4,1,23,234,-2,7.5,False
Troy Daniels,4,1,0,27,-191,192,3.4,False
Troy Daniels,4,4,0,25,184,173,12.1,False
Troy Daniels,4,0,1,21,-201,88,11.5,True
Troy Daniels,4,1,1,22,226,-5,6.7,False
Troy Daniels,4,11,1,24,-239,22,12.4,False
Troy Daniels,4,8,0,23,231,12,15.1,False
Troy Daniels,4,6,1,24,204,129,19.3,False
Troy Daniels,3,3,1,24,73,231,8.0,False
Troy Daniels,3,0,1,25,-237,82,0.0,False
Troy Daniels,4,10,1,23,-234,42,7.4,False
Troy Daniels,4,4,0,25,-174,181,5.8,False
Troy Daniels,4,0,0,23,-234,22,5.5,False
Troy Daniels,4,0,0,23,-234,-5,16.3,False
Troy Daniels,4,2,0,25,-169,189,15.9,False
Troy Daniels,4,2,0,24,-120,213,17.3,False
Troy Daniels,4,11,0,27,166,224,11.3,False
Troy Daniels,4,6,0,26,-161,216,11.1,False
Troy Daniels,4,6,0,26,192,176,4.8,False
Troy Daniels,4,6,0,23,233,-10,9.9,False
Troy Daniels,4,0,0,26,201,168,14.6,False
Troy Daniels,3,1,0,25,-217,135,20.8,False
Troy Daniels,4,6,0,25,144,209,16.1,False
Troy Daniels,3,3,0,23,233,12,12.7,False
Troy Daniels,3,1,0,22,225,22,12.5,False
Troy Daniels,4,5,0,25,-171,194,15.3,False
Troy Daniels,2,11,0,25,147,205,16.5,False
Troy Daniels,4,1,0,22,-210,89,18.6,True
Troy Daniels,1,0,0,23,231,25,10.9,False
Troy Daniels,4,9,0,25,200,164,14.0,False
Troy Daniels,4,2,0,24,-146,195,10.8,False
Troy Daniels,4,5,0,24,103,227,19.5,False
Troy Daniels,4,6,0,22,226,14,10.0,False
Troy Daniels,4,0,0,24,-187,164,18.5,False
