name,period,minutes_remaining,shot_made_flag,shot_distance,x,y,shot_clock,shot_2pnt
Tyler Ennis,4,10,1,1,6,9,20.3,True
Tyler Ennis,4,3,1,4,-23,33,4.3,True
Tyler Ennis,4,0,0,2,6,22,0.0,True
Tyler Ennis,4,1,1,1,-15,6,12.7,True
Tyler Ennis,4,11,1,9,-52,82,16.4,True
Tyler Ennis,4,9,0,7,54,47,11.5,True
Tyler Ennis,4,0,1,23,18,239,12.8,False
Tyler Ennis,4,1,0,25,121,224,13.3,False
Tyler Ennis,4,6,1,3,-35,-13,19.1,True
Tyler Ennis,4,4,1,24,-105,219,12.0,False
Tyler Ennis,4,6,0,19,-79,183,14.3,True
Tyler Ennis,4,2,0,9,83,39,4.4,True
Tyler Ennis,4,4,0,13,133,-2,7.9,True
Tyler Ennis,4,0,0,12,24,118,2.4,True
Tyler Ennis,4,11,0,24,-174,176,13.4,False
Tyler Ennis,4,1,0,24,-139,206,9.2,False
Tyler Ennis,4,5,0,26,6,268,1.2,False
Tyler Ennis,4,1,0,1,-11,0,16.2,True
Tyler Ennis,4,8,1,0,-5,-2,21.6,True
Tyler Ennis,4,1,0,18,-147,116,19.3,True
Tyler Ennis,2,10,1,3,-29,22,9.3,True
Tyler Ennis,2,4,1,2,18,15,12.1,True
Tyler Ennis,4,2,1,8,-82,31,11.0,True
Tyler Ennis,4,10,1,0,-5,7,9.6,True
Tyler Ennis,2,5,0,1,13,11,16.0,True
Tyler Ennis,2,10,1,1,7,12,21.2,True
Tyler Ennis,2,5,1,0,-7,6,5.0,True
Tyler Ennis,4,2,1,0,1,0,3.4,True
Tyler Ennis,2,8,1,1,11,12,0.0,True
Tyler Ennis,2,11,0,1,13,11,10.9,True
Tyler Ennis,4,11,1,0,1,0,10.5,True
Tyler Ennis,2,8,1,0,0,1,13.0,True
Tyler Ennis,4,2,1,0,0,1,19.7,True
Tyler Ennis,2,10,0,2,2,20,7.8,True
Tyler Ennis,3,4,0,6,-34,53,12.9,True
Tyler Ennis,1,2,0,7,-70,6,11.4,True
Tyler Ennis,1,5,1,12,-103,77,15.9,True
Tyler Ennis,4,1,1,11,15,119,16.4,True
Tyler Ennis,2,9,1,7,15,72,12.0,True
Tyler Ennis,2,7,1,13,92,93,9.8,True
Tyler Ennis,4,8,1,7,56,45,9.0,True
Tyler Ennis,3,0,0,11,-117,-3,0.0,True
Tyler Ennis,2,8,0,8,75,42,1.7,True
Tyler Ennis,4,6,1,19,-120,159,4.7,True
Tyler Ennis,4,11,0,3,-34,14,14.3,True
Tyler Ennis,2,6,0,17,-160,78,20.3,True
Tyler Ennis,1,1,0,4,43,0,0.4,True
Tyler Ennis,2,7,0,26,-193,175,9.0,False
Tyler Ennis,2,5,1,7,64,33,15.4,True
Tyler Ennis,2,2,0,9,72,55,5.4,True
Tyler Ennis,4,7,1,16,62,154,6.0,True
Tyler Ennis,3,10,0,25,-78,246,11.5,False
Tyler Ennis,2,10,0,14,-134,45,16.1,True
Tyler Ennis,4,10,0,25,-155,205,9.1,False
Tyler Ennis,2,2,1,25,-67,247,7.7,False
Tyler Ennis,3,6,1,17,-128,121,14.7,True
Tyler Ennis,4,6,0,17,129,113,15.1,True
Tyler Ennis,1,2,0,27,-123,246,11.8,False
Tyler Ennis,3,9,0,23,-224,53,16.0,False
Tyler Ennis,4,0,0,25,-106,230,12.7,False
Tyler Ennis,3,5,0,17,108,137,15.8,True
Tyler Ennis,1,0,0,9,-34,89,11.4,True
Tyler Ennis,4,5,0,24,-139,206,5.0,False
Tyler Ennis,2,6,0,25,159,203,17.5,False
Tyler Ennis,2,7,0,25,181,179,11.1,False
Tyler Ennis,4,2,1,17,-155,89,16.4,True
Tyler Ennis,4,1,0,3,37,3,9.6,True
Tyler Ennis,4,8,0,25,-221,129,3.0,False
Tyler Ennis,1,4,1,24,-228,86,13.7,False
Tyler Ennis,3,2,0,27,-210,172,8.2,False
Tyler Ennis,2,5,0,24,242,52,2.6,False
Tyler Ennis,1,0,0,40,184,358,0.3,False
Tyler Ennis,1,1,1,25,124,219,16.0,False
Tyler Ennis,4,7,1,25,-160,195,17.6,False
Tyler Ennis,1,0,0,41,-174,377,0.0,False
Tyler Ennis,2,9,0,25,-215,135,16.6,False
Tyler Ennis,1,3,1,24,-144,201,11.3,False
Tyler Ennis,4,11,0,25,-95,234,13.4,False
Tyler Ennis,4,9,0,17,47,164,9.5,True
Tyler Ennis,3,1,0,23,-226,60,12.0,False
Tyler Ennis,2,9,0,23,231,-32,15.0,False
