name,period,minutes_remaining,shot_made_flag,shot_distance,x,y,shot_clock,shot_2pnt
Tyler Johnson,2,3,1,0,0,1,20.9,True
Tyler Johnson,4,9,1,0,0,1,21.3,True
Tyler Johnson,4,7,0,1,7,11,0.0,True
Tyler Johnson,4,1,1,3,-29,19,6.0,True
Tyler Johnson,4,0,1,0,0,1,0.0,True
Tyler Johnson,2,1,1,0,0,1,16.2,True
Tyler Johnson,2,1,1,0,0,1,16.2,True
Tyler Johnson,2,7,0,0,0,1,20.9,True
Tyler Johnson,1,0,0,0,0,1,19.6,True
Tyler Johnson,2,8,1,0,0,1,21.4,True
Tyler Johnson,4,0,1,7,-45,66,10.2,True
Tyler Johnson,2,10,0,4,24,34,3.9,True
Tyler Johnson,1,11,1,7,-73,12,4.0,True
Tyler Johnson,1,2,0,5,48,25,17.2,True
Tyler Johnson,2,11,1,5,36,44,12.0,True
Tyler Johnson,1,0,0,0,9,-2,19.0,True
Tyler Johnson,4,9,1,1,-19,3,3.7,True
Tyler Johnson,2,7,1,2,17,17,18.7,True
Tyler Johnson,4,2,1,1,-13,3,6.2,True
Tyler Johnson,4,5,1,0,-5,-2,10.9,True
Tyler Johnson,2,7,0,0,-7,6,10.2,True
Tyler Johnson,2,9,0,1,12,9,12.3,True
Tyler Johnson,2,5,0,1,-2,19,18.8,True
Tyler Johnson,1,3,1,0,-2,3,21.0,True
Tyler Johnson,4,2,1,2,-21,-5,5.3,True
Tyler Johnson,4,5,1,3,-30,0,19.2,True
Tyler Johnson,4,3,0,3,0,39,24.0,True
Tyler Johnson,3,3,1,1,-4,15,16.0,True
Tyler Johnson,2,7,0,1,-11,0,9.5,True
Tyler Johnson,2,10,0,2,18,14,13.3,True
Tyler Johnson,5,3,1,2,-23,-2,8.9,True
Tyler Johnson,3,2,1,2,20,0,13.7,True
Tyler Johnson,2,6,1,1,-4,11,12.0,True
Tyler Johnson,1,8,1,0,0,1,15.5,True
Tyler Johnson,3,3,0,0,0,1,12.1,True
Tyler Johnson,4,3,1,0,0,1,23.4,True
Tyler Johnson,2,9,1,12,-120,0,5.5,True
Tyler Johnson,1,3,1,7,72,30,14.0,True
Tyler Johnson,4,11,1,7,-2,77,0.0,True
Tyler Johnson,4,8,0,9,-2,91,6.4,True
Tyler Johnson,4,3,0,10,-70,72,4.0,True
Tyler Johnson,4,10,0,10,-101,41,4.0,True
Tyler Johnson,2,8,0,24,-136,209,12.7,False
Tyler Johnson,4,10,0,10,61,86,15.2,True
Tyler Johnson,3,0,0,24,119,217,6.7,False
Tyler Johnson,4,9,0,24,-120,216,0.0,False
Tyler Johnson,3,4,0,9,69,67,1.9,True
Tyler Johnson,4,0,0,23,-232,0,15.4,False
Tyler Johnson,4,0,1,24,-205,142,0.0,False
Tyler Johnson,4,11,0,17,-123,127,12.2,True
Tyler Johnson,4,3,0,19,-103,162,7.6,True
Tyler Johnson,4,6,0,23,-235,-2,17.7,False
Tyler Johnson,4,10,1,23,234,3,15.4,False
Tyler Johnson,2,4,0,26,17,261,13.2,False
Tyler Johnson,4,4,0,27,133,236,17.7,False
Tyler Johnson,2,0,0,12,6,129,0.0,True
Tyler Johnson,3,10,1,18,-103,153,14.0,True
Tyler Johnson,3,4,1,23,-235,11,10.9,False
Tyler Johnson,2,0,0,22,-87,211,5.8,True
Tyler Johnson,3,1,0,7,-71,36,7.4,True
Tyler Johnson,2,2,0,20,-205,3,11.0,True
Tyler Johnson,4,2,0,25,-215,145,18.1,False
Tyler Johnson,2,9,0,23,236,15,8.1,False
Tyler Johnson,2,2,0,21,-202,72,8.0,True
Tyler Johnson,1,0,1,21,211,44,6.8,True
Tyler Johnson,1,4,0,19,198,1,14.1,True
Tyler Johnson,3,0,0,17,37,172,7.2,True
Tyler Johnson,2,9,0,16,-98,135,10.4,True
Tyler Johnson,2,7,1,22,174,142,4.2,True
Tyler Johnson,4,8,1,25,-161,195,7.1,False
Tyler Johnson,2,5,0,24,182,170,18.8,False
Tyler Johnson,3,2,0,13,-130,45,5.5,True
Tyler Johnson,1,0,1,41,1,414,0.0,False
Tyler Johnson,1,0,1,15,7,156,0.0,True
Tyler Johnson,4,1,1,10,53,89,16.1,True
Tyler Johnson,2,9,1,25,-15,255,12.8,False
Tyler Johnson,4,0,1,25,214,135,0.0,False
Tyler Johnson,4,2,0,17,-163,71,13.3,True
Tyler Johnson,2,8,1,22,121,192,6.8,True
Tyler Johnson,4,6,1,23,-234,-8,18.0,False
Tyler Johnson,2,2,1,25,81,238,7.2,False
Tyler Johnson,4,10,0,26,-220,140,8.7,False
