name,period,minutes_remaining,shot_made_flag,shot_distance,x,y,shot_clock,shot_2pnt
Tyson Chandler,1,8,1,0,0,1,24.0,True
Tyson Chandler,2,1,1,0,0,1,16.4,True
Tyson Chandler,1,6,1,0,0,1,14.0,True
Tyson Chandler,3,10,1,0,0,1,13.0,True
Tyson Chandler,1,8,1,0,0,1,9.7,True
Tyson Chandler,2,6,0,0,0,1,13.8,True
Tyson Chandler,1,11,1,0,0,1,10.4,True
Tyson Chandler,1,3,1,0,0,1,16.8,True
Tyson Chandler,1,6,1,0,0,1,13.6,True
Tyson Chandler,1,2,1,0,0,1,17.6,True
Tyson Chandler,2,4,1,0,0,1,24.0,True
Tyson Chandler,2,5,0,0,0,1,16.4,True
Tyson Chandler,2,4,1,0,0,1,18.9,True
Tyson Chandler,2,7,1,0,0,1,17.2,True
Tyson Chandler,1,2,1,0,0,1,3.9,True
Tyson Chandler,2,9,1,0,0,1,15.3,True
Tyson Chandler,2,3,1,0,0,1,24.0,True
Tyson Chandler,1,1,1,0,0,1,24.0,True
Tyson Chandler,3,7,1,0,0,1,24.0,True
Tyson Chandler,2,0,1,0,0,1,12.0,True
Tyson Chandler,2,4,1,0,0,1,24.0,True
Tyson Chandler,2,5,0,0,0,1,19.2,True
Tyson Chandler,2,6,1,0,0,1,18.4,True
Tyson Chandler,1,11,1,0,0,1,24.0,True
Tyson Chandler,1,5,1,0,0,1,24.0,True
Tyson Chandler,1,6,1,0,0,1,24.0,True
Tyson Chandler,3,7,1,0,0,1,15.2,True
Tyson Chandler,1,6,1,0,0,1,15.7,True
Tyson Chandler,2,0,1,0,0,1,10.1,True
Tyson Chandler,1,9,1,0,0,1,15.5,True
Tyson Chandler,3,5,1,0,0,1,16.5,True
Tyson Chandler,1,8,1,0,0,1,13.4,True
Tyson Chandler,4,6,1,0,0,1,14.6,True
Tyson Chandler,4,1,1,0,0,1,11.4,True
Tyson Chandler,1,9,1,0,0,1,18.8,True
Tyson Chandler,1,11,1,0,0,1,8.9,True
Tyson Chandler,2,1,1,0,0,1,18.0,True
Tyson Chandler,2,5,1,0,0,1,17.0,True
Tyson Chandler,4,3,1,0,0,-2,17.2,True
Tyson Chandler,3,5,1,0,0,1,16.5,True
Tyson Chandler,1,6,1,0,0,1,16.3,True
Tyson Chandler,1,9,1,0,0,1,6.0,True
Tyson Chandler,1,9,1,0,0,1,0.0,True
Tyson Chandler,5,4,1,0,0,1,13.0,True
Tyson Chandler,1,10,1,0,0,1,2.2,True
Tyson Chandler,3,10,0,0,0,1,14.9,True
Tyson Chandler,3,4,1,0,0,1,18.7,True
Tyson Chandler,2,11,1,0,0,1,9.9,True
Tyson Chandler,2,6,1,0,0,1,15.9,True
Tyson Chandler,2,4,1,0,0,1,8.0,True
Tyson Chandler,3,11,1,0,0,1,12.3,True
Tyson Chandler,3,10,1,0,0,1,9.1,True
Tyson Chandler,3,7,1,0,0,1,8.0,True
Tyson Chandler,2,0,1,0,0,1,17.7,True
Tyson Chandler,1,6,0,0,0,1,16.5,True
Tyson Chandler,1,10,1,0,0,1,18.1,True
Tyson Chandler,1,10,1,0,0,1,15.4,True
Tyson Chandler,1,5,1,0,0,1,18.4,True
Tyson Chandler,3,4,1,0,0,1,15.1,True
Tyson Chandler,1,5,1,0,0,1,24.0,True
Tyson Chandler,1,9,1,0,0,1,18.0,True
Tyson Chandler,1,7,1,0,0,1,16.3,True
Tyson Chandler,1,3,1,0,0,1,24.0,True
Tyson Chandler,2,4,1,0,0,1,18.5,True
Tyson Chandler,3,5,1,0,0,1,24.0,True
Tyson Chandler,4,4,1,0,0,1,17.9,True
Tyson Chandler,4,5,1,0,0,1,24.0,True
Tyson Chandler,3,10,1,0,0,1,13.2,True
Tyson Chandler,3,10,1,2,20,14,20.0,True
Tyson Chandler,2,4,1,0,0,1,17.2,True
Tyson Chandler,1,1,1,0,0,1,24.0,True
Tyson Chandler,1,5,1,0,0,1,18.8,True
Tyson Chandler,2,3,1,0,0,1,24.0,True
Tyson Chandler,2,5,1,0,0,1,18.0,True
Tyson Chandler,3,10,1,0,0,1,24.0,True
Tyson Chandler,3,11,1,0,0,1,24.0,True
