name,period,minutes_remaining,shot_made_flag,shot_distance,x,y,shot_clock,shot_2pnt
Wesley Johnson,1,0,1,0,0,1,19.9,True
Wesley Johnson,3,7,1,0,0,1,19.4,True
Wesley Johnson,3,6,1,0,0,1,20.4,True
Wesley Johnson,2,0,1,0,0,1,20.9,True
Wesley Johnson,3,7,1,0,-2,0,20.6,True
Wesley Johnson,1,4,1,0,0,1,24.0,True
Wesley Johnson,2,0,1,0,0,1,24.0,True
Wesley Johnson,4,6,0,0,-5,-5,20.0,True
Wesley Johnson,4,11,1,1,10,11,18.4,True
Wesley Johnson,4,7,1,0,0,1,20.8,True
Wesley Johnson,3,3,1,0,0,1,21.3,True
Wesley Johnson,4,1,1,0,0,1,21.7,True
Wesley Johnson,4,3,1,0,0,1,20.8,True
Wesley Johnson,2,3,1,0,0,1,17.3,True
Wesley Johnson,2,2,1,0,0,1,13.6,True
Wesley Johnson,2,0,1,0,0,1,8.0,True
Wesley Johnson,3,10,1,0,0,1,18.8,True
Wesley Johnson,3,2,1,0,0,1,22.8,True
Wesley Johnson,1,4,1,3,7,30,10.0,True
Wesley Johnson,1,8,1,0,9,4,21.0,True
Wesley Johnson,2,3,0,0,-8,-3,7.2,True
Wesley Johnson,3,6,0,11,106,37,11.5,True
Wesley Johnson,1,6,1,1,13,0,16.6,True
Wesley Johnson,3,7,1,2,-17,12,19.2,True
Wesley Johnson,3,2,0,1,12,-10,19.3,True
Wesley Johnson,3,4,0,0,4,-5,20.5,True
Wesley Johnson,3,11,0,0,4,8,16.5,True
Wesley Johnson,1,6,1,2,7,20,7.9,True
Wesley Johnson,3,3,0,2,19,19,20.8,True
Wesley Johnson,1,5,0,1,9,16,17.9,True
Wesley Johnson,3,6,1,2,20,2,10.3,True
Wesley Johnson,1,1,1,1,10,15,0.0,True
Wesley Johnson,3,10,1,1,15,6,19.8,True
Wesley Johnson,1,10,1,1,-11,4,13.9,True
Wesley Johnson,3,8,1,0,0,1,24.0,True
Wesley Johnson,5,0,1,0,0,1,18.4,True
Wesley Johnson,2,3,1,0,0,1,15.6,True
Wesley Johnson,2,2,0,0,0,1,21.9,True
Wesley Johnson,4,6,1,0,0,1,23.2,True
Wesley Johnson,2,0,1,0,0,1,0.0,True
Wesley Johnson,4,0,1,0,0,1,22.3,True
Wesley Johnson,2,7,1,0,0,1,7.5,True
Wesley Johnson,1,10,1,0,0,1,21.4,True
Wesley Johnson,4,6,1,0,0,1,19.2,True
Wesley Johnson,3,2,1,17,136,115,1.9,True
Wesley Johnson,3,8,1,17,-161,58,1.2,True
Wesley Johnson,1,8,0,14,-144,4,18.3,True
Wesley Johnson,2,9,0,12,119,20,8.6,True
Wesley Johnson,3,3,0,13,-73,119,19.0,True
Wesley Johnson,4,3,1,7,4,75,22.4,True
Wesley Johnson,4,4,1,4,45,12,5.7,True
Wesley Johnson,3,11,1,7,-34,71,10.9,True
Wesley Johnson,6,1,1,1,-13,14,10.3,True
Wesley Johnson,1,4,1,7,67,32,15.4,True
Wesley Johnson,4,10,1,23,-123,196,9.9,True
Wesley Johnson,1,4,1,17,-144,102,10.8,True
Wesley Johnson,1,4,1,6,64,9,15.0,True
Wesley Johnson,2,0,0,14,131,72,0.0,True
Wesley Johnson,1,9,1,25,149,201,17.0,False
Wesley Johnson,4,0,1,22,-147,170,16.9,True
Wesley Johnson,2,3,1,15,155,-3,9.1,True
Wesley Johnson,3,2,1,22,-139,175,14.5,True
Wesley Johnson,3,3,1,3,23,22,19.0,True
Wesley Johnson,1,10,0,17,-166,48,15.1,True
Wesley Johnson,1,0,0,24,10,244,0.0,False
Wesley Johnson,3,10,1,25,218,129,17.4,False
Wesley Johnson,3,3,1,17,-177,0,10.8,True
Wesley Johnson,2,0,0,24,203,142,0.0,False
