name,score1,msp1,score2,msp2,score3,msp3
Aaron Brooks,0.766,Jerryd Bayless,0.745,Skal Labissiere,0.74,Marreese Speights
Aaron Gordon,0.932,Tim Hardaway Jr,0.931,Jerian Grant,0.926,Gary Harris
Aaron Harrison,0.832,Henry Ellenson,0.805,Mason Plumlee,0.777,Isaiah Whitehead
Aaron Jackson,0.58,Omari Johnson,0.564,Raul Neto,0.559,Juancho Hernangomez
Abdel Nader,0.858,Taurean Prince,0.841,AlFarouq Aminu,0.836,Doug McDermott
Adreian Payne,0.605,Arron Afflalo,0.599,Elfrid Payton,0.597,MarShon Brooks
Al Horford,0.967,Jrue Holiday,0.965,Harrison Barnes,0.964,LeBron James
Al Jefferson,0.868,Enes Kanter,0.865,Marcin Gortat,0.863,Rudy Gay
Alan Williams,0.808,DeAndre Jordan,0.782,Nick Collison,0.751,Luc Mbah a Moute
Alec Burks,0.957,George Hill,0.957,Bradley Beal,0.956,Paul George
Alec Peters,0.728,Luke Babbitt,0.72,Jonathan Isaac,0.696,Trevor Ariza
Alex Abrines,0.818,Rajon Rondo,0.796,Mario Chalmers,0.784,Dillon Brooks
Alex Caruso,0.788,Kentavious CaldwellPope,0.778,Patrick Patterson,0.776,Luc Mbah a Moute
Alex Len,0.785,David West,0.783,DeMarcus Cousins,0.782,Enes Kanter
Alex Poythress,0.951,Andre Roberson,0.886,Furkan Korkmaz,0.812,John Holland
AlFarouq Aminu,0.884,Malik Monk,0.848,Skal Labissiere,0.845,Lance Thomas
Alfonzo McKinnie,0.732,Amir Johnson,0.721,Larry Drew II,0.69,Lucas Nogueira
Allen Crabbe,0.954,Andrew Wiggins,0.947,Courtney Lee,0.94,Jonathon Simmons
Amir Johnson,0.858,Trevor Booker,0.833,Brook Lopez,0.832,ETwaun Moore
Andre Drummond,0.895,Ed Davis,0.876,Bismack Biyombo,0.871,Steven Adams
Andre Iguodala,0.932,Nikola Vucevic,0.914,Dewayne Dedmon,0.913,Kentavious CaldwellPope
Andre Ingram,0.6,Tim Frazier,0.563,Tony Snell,0.559,Jalen Jones
Andre Roberson,0.951,Alex Poythress,0.88,Furkan Korkmaz,0.84,John Holland
Andrew Bogut,0.812,Lucas Nogueira,0.748,Vincent Hunter,0.718,Tyson Chandler
Andrew Harrison,0.943,Jrue Holiday,0.923,Kyrie Irving,0.921,Michael Beasley
Andrew White III,0.823,Rashad Vaughn,0.683,Okaro White,0.678,Joel Bolomboy
Andrew White,0.666,Alec Peters,0.637,Larry Drew II,0.633,DeAndre Bembry
Andrew Wiggins,0.973,DeMar DeRozan,0.971,Paul George,0.971,Bradley Beal
Ante Zizic,0.795,Pascal Siakam,0.793,Ian Mahinmi,0.758,Ivica Zubac
Anthony Davis,0.976,TJ Warren,0.973,Jamal Murray,0.967,Jordan Clarkson
Anthony Tolliver,0.859,Langston Galloway,0.855,Glenn Robinson III,0.847,Elfrid Payton
Antonio Blakeney,0.862,Langston Galloway,0.85,Bogdan Bogdanovic,0.839,Kyle OQuinn
